run,treatment,layer,diameter,sample_weight,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,n15korr,c13korr,nat_abun_15n,atom_15n,ape_n,n_pr_dw,n15_pr_dw,n15_pr_n,nat_abun_13c,atom_13c,ape_c,c_pr_dw,c13_pr_dw,c13_pr_c,tt,pipe_nr,pipe_diameter,veg,wet,cut,beriget
1,BCD,top,fine,4.18,,0.2,-27.27066817,0.045737998,1.67277398,1.094210474,40.01851627,36.57296033,0.2,-28.88029011,0.366,0.367752066,0.001752066,10.94210474,0.191712856,17.52065628,1.08,1.079467558,-5.32442e-4,400.1851627,-2.13075266,-5.324416943,D,12,17,B,D,C,FALSE
1,BCD,top,coarse,5.109,,2.9,-26.10650109,0.072690186,1.916782511,1.42278697,37.51776299,26.3692062,2.9,-27.71612303,0.366,0.368737289,0.002737289,14.2278697,0.389457953,27.37289283,1.08,1.080747626,7.47626e-4,375.1776299,2.804925826,7.47626085,D,12,17,B,D,C,FALSE
1,BCD,middle,fine,5.155,,-0.18,-26.15024355,0.085127052,1.904726929,1.651349219,36.94911599,22.37510732,-0.18,-27.75986549,0.366,0.367613403,0.001613403,16.51349219,0.266429171,16.13402957,1.08,1.080699529,6.99529e-4,369.4911599,2.584699179,6.995293688,D,12,17,B,D,C,FALSE
1,BCD,middle,coarse,4.683,,2.86,-25.92274515,0.053608318,1.79155504,1.144743079,38.25656715,33.41934783,2.86,-27.53236709,0.366,0.368722694,0.002722694,11.44743079,0.311678456,27.22693519,1.08,1.0809496730000001,9.49673e-4,382.5656715,3.633123439,9.496731435,D,12,17,B,D,C,FALSE
1,BCD,bottom,fine,4.696,,-2.333297332,-25.388979,0.063417613,1.653958973,1.350460239,35.22059143,26.0804357,1.572995761,-26.99860094,0.366,0.366827654,8.27654e-4,13.50460239,0.111771337,8.276536675,1.08,1.081536566,0.001536566,352.2059143,5.411875784,15.36565845,D,12,17,B,D,C,FALSE
1,BCD,bottom,coarse,4.723,,-1.38769489,-25.31031884,0.060308698,1.7911779,1.276915056,37.92457972,29.70015864,2.518598203,-26.91994078,0.366,0.36717271,0.00117271,12.76915056,0.149745156,11.72710396,1.08,1.0816230550000001,0.001623055,379.2457972,6.155366274,16.23054578,D,12,17,B,D,C,FALSE
1,BCW,top,fine,4.793,,-5.45518786,-26.89585389,0.074585018,1.758749586,1.556123899,36.69412865,23.58046726,-1.548894767,-28.50547583,0.366,0.365688438,-3.11562e-4,15.56123899,-0.048482951,-3.115622797,1.08,1.079879691,-1.20309e-4,366.9412865,-0.441461591,-1.203085091,C,10,17,B,W,C,FALSE
1,BCW,top,coarse,5.073,,-5.798551854,-24.75499231,0.09651611,1.86985268,1.902545036,36.85891346,19.37347751,-1.892258761,-26.36461425,0.366,0.365563138,-4.36862e-4,19.02545036,-0.083114883,-4.368615808,1.08,1.082233645,0.002233645,368.5891346,8.2329733,22.33645143,C,10,17,B,W,C,FALSE
1,BCW,middle,fine,4.155,,-7.51517456,-26.18624847,0.053362932,1.461932668,1.284306436,35.18490176,27.3960332,-3.608881466,-27.79587041,0.366,0.364936709,-0.001063291,12.84306436,-0.136559126,-10.63290829,1.08,1.08065994,6.5994e-4,351.8490176,2.321993722,6.599403739,C,10,17,B,W,C,FALSE
1,BCW,middle,coarse,4.887,,-5.381413389,-25.09955523,0.066371961,1.769198828,1.358133033,36.20214504,26.6558166,-1.475120296,-26.70917717,0.366,0.365715359,-2.84641e-4,13.58133033,-0.038658004,-2.846407742,1.08,1.081854793,0.001854793,362.0214504,6.714750268,18.54793483,C,10,17,B,W,C,FALSE
1,BCW,bottom,fine,4.338,,-4.518629141,-26.1197089,0.059738741,1.644269689,1.377103289,37.90386558,27.52434467,-0.612336048,-27.72933084,0.366,0.366030202,3.02022e-5,13.77103289,0.004159149,0.302021602,1.08,1.0807331040000001,7.33104e-4,379.0386558,2.778745755,7.331035271,C,10,17,B,W,C,FALSE
1,BCW,bottom,coarse,4.697,,-4.662370895,-24.76051738,0.057190496,1.745653166,1.217596242,37.16527924,30.52348386,-0.756077801,-26.37013932,0.366,0.365977749,-2.22512e-5,12.17596242,-0.002709301,-0.22251227,1.08,1.08222757,0.00222757,371.6527924,8.278827109,22.27570269,C,10,17,B,W,C,FALSE
1,BUD,top,fine,4.084,,-6.479474055,-26.32540799,0.051440905,1.516378419,1.259571611,37.12973603,29.47806676,-2.573180962,-27.93502993,0.366,0.365314658,-6.85342e-4,12.59571611,-0.086323794,-6.853424866,1.08,1.080506928,5.06928e-4,371.2973603,1.88221047,5.069280504,H,11,17,B,D,U,FALSE
1,BUD,top,coarse,4.183,,-0.070057823,-23.49128612,0.054967686,1.573479382,1.314073286,37.61605025,28.62553454,3.83623527,-25.10090806,0.366,0.367653521,0.001653521,13.14073286,0.217284789,16.53521091,1.08,1.083623083,0.003623083,376.1605025,13.6286056,36.2308257,H,11,17,B,D,U,FALSE
1,BUD,middle,fine,4.996,,-4.298792135,-25.52411717,0.065073296,1.797224181,1.302507923,35.97326223,27.61845943,-0.392499042,-27.13373911,0.366,0.366110424,1.10424e-4,13.02507923,0.01438277,1.104236686,1.08,1.081387978,0.001387978,359.7326223,4.993009036,13.87977827,H,11,17,B,D,U,FALSE
1,BUD,middle,coarse,4.527,,-5.177655641,-24.99916282,0.053082588,1.712769598,1.172577611,37.83453938,32.26612808,-1.271362548,-26.60878476,0.366,0.365789714,-2.10286e-4,11.72577611,-0.024657704,-2.102863313,1.08,1.081965177,0.001965177,378.3453938,7.435155202,19.65176615,H,11,17,B,D,U,FALSE
1,BUD,bottom,fine,4.249,,-6.297302211,-25.43651528,0.047930521,1.568161065,1.128042392,36.90659131,32.71737973,-2.391009118,-27.04613722,0.366,0.365381135,-6.18865e-4,11.28042392,-0.069810544,-6.188645433,1.08,1.081484298,0.001484298,369.0659131,5.478039753,14.84298484,H,11,17,B,D,U,FALSE
1,BUD,bottom,coarse,4.671,,-5.470774534,-25.00828419,0.03137896,1.750932149,0.671782489,37.48516696,55.79955949,-1.564481441,-26.61790613,0.366,0.36568275,-3.1725e-4,6.71782489,-0.021312307,-3.172501124,1.08,1.081955148,0.001955148,374.8516696,7.328903138,19.55147524,H,11,17,B,D,U,FALSE
1,BUW,top,fine,4.54,,-5.107071452,-26.64598104,0.066418517,1.774447895,1.462962926,39.08475539,26.71616259,-1.200778358,-28.25560298,0.366,0.365815471,-1.84529e-4,14.62962926,-0.026995918,-1.845290638,1.08,1.080154441,1.54441e-4,390.8475539,0.603630362,1.544413815,B,9,17,B,W,U,FALSE
1,BUW,top,coarse,4.159,,-4.517742646,-24.10691955,0.070483906,1.606230404,1.694732045,38.62059159,22.78861234,-0.611449553,-25.71654149,0.366,0.366030526,3.05257e-5,16.94732045,0.00517328,0.305256545,1.08,1.082946202,0.002946202,386.2059159,11.37840701,29.46202153,B,9,17,B,W,U,FALSE
1,BUW,middle,fine,5.031,,-7.294436126,-25.46517678,0.056699668,1.767569913,1.127005931,35.13357012,31.17425485,-3.388143033,-27.07479872,0.366,0.365017261,-9.82739e-4,11.27005931,-0.110755224,-9.827386098,1.08,1.081452784,0.001452784,351.3357012,5.104150304,14.52784413,B,9,17,B,W,U,FALSE
1,BUW,middle,coarse,4.867,,-4.615052242,-25.34190804,0.061778888,1.835786724,1.269342266,37.71906153,29.7154381,-0.708759149,-26.95152998,0.366,0.365995016,-4.98398e-6,12.69342266,-6.32638e-4,-0.04983979,1.08,1.081588322,0.001588322,377.1906153,5.990999689,15.88321514,B,9,17,B,W,U,FALSE
1,BUW,bottom,fine,4.306,,-7.097691402,-26.65459324,0.050518635,1.556273347,1.173214929,36.14197275,30.8059264,-3.191398309,-28.26421518,0.366,0.365089058,-9.10942e-4,11.73214929,-0.106873113,-9.109423229,1.08,1.080144972,1.44972e-4,361.4197275,0.523956643,1.449717884,B,9,17,B,W,U,FALSE
1,BUW,bottom,coarse,5.031,,-5.221668196,-24.841573,0.04612271,1.827585084,0.916770231,36.32647752,39.62440782,-1.315375103,-26.45119494,0.366,0.365773653,-2.26347e-4,9.167702313,-0.020750838,-2.263472034,1.08,1.082138449,0.002138449,363.2647752,7.768231087,21.38448762,B,9,17,B,W,U,FALSE
1,SCD,top,fine,4.093,,-2.211442928,-29.65776801,0.049552554,1.934078772,1.210665862,47.25332938,39.03085969,-2.169296132,-29.80640658,0.366,0.365462043,-5.37957e-4,12.10665862,-0.065128667,-5.379574109,1.08,1.078449217,-0.001550783,472.5332938,-7.327965885,-15.50782978,F,16,17,S,D,C,FALSE
1,SCD,top,coarse,4.289,,-5.407928467,-30.23992915,0.038572946,2.072469247,0.899345903,48.32056998,53.72857073,-5.365781672,-30.38856772,0.366,0.364295574,-0.001704426,8.993459034,-0.153286879,-17.04426282,1.08,1.077809072,-0.002190928,483.2056998,-10.58668798,-21.90927795,F,16,17,S,D,C,FALSE
1,SCD,middle,fine,4.186,,1.123172641,-28.85158568,0.062102469,1.73274139,1.48357546,41.39372647,27.90132865,1.165319436,-29.00022424,0.366,0.366678889,6.78889e-4,14.8357546,0.100718318,6.788890809,1.08,1.079335682,-6.64318e-4,413.9372647,-2.749859617,-6.643179658,F,16,17,S,D,C,FALSE
1,SCD,middle,coarse,4.463,,-0.346716538,-28.26100259,0.041266441,2.00041514,0.924634583,44.82220794,48.47559107,-0.304569742,-28.40964116,0.366,0.36614251,1.4251e-4,9.246345832,0.013176988,1.425102276,1.08,1.079985068,-1.49325e-5,448.2220794,-0.066930642,-0.149324733,F,16,17,S,D,C,FALSE
1,SCD,bottom,fine,4.142,,-0.686810379,-28.77604902,0.060233248,1.764483229,1.454206852,42.59978823,29.29417379,-0.644663584,-28.92468759,0.366,0.366018405,1.8405400000000002e-05,14.54206852,0.002676525,0.184053926,1.08,1.07941874,-5.8126e-4,425.9978823,-2.476154876,-5.812599026,F,16,17,S,D,C,FALSE
1,SCD,bottom,coarse,4.045,,0.487010289,-26.43879801,0.039676512,1.75079582,0.980877925,43.28296217,44.12675736,0.529157085,-26.58743658,0.366,0.366446747,4.46747e-4,9.808779245,0.043820436,4.467470966,1.08,1.081988649,0.001988649,432.8296217,8.607463114,19.8864927,F,16,17,S,D,C,FALSE
1,SCW,top,fine,4.767,,-2.127908865,-29.16915234,0.067778372,2.153956195,1.421824459,45.18473242,31.77940297,-2.085762069,-29.31779091,0.366,0.365492526,-5.07474e-4,14.21824459,-0.072153942,-5.074743343,1.08,1.078986493,-0.001013507,451.8473242,-4.579505254,-10.1350722,A,14,17,S,W,C,FALSE
