run,tt,treatment,aboveground,sample_weight,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,d15nkorr,d13ckorr,natabun_15n_atm_pct,atom_pct_15n,ape_pct_15n,n_mg_pr_gdw,n15_ug_pr_gdw,n15_ug_pr_gn,natabun_13c_atm_pct,atom_pct_13c,ape_pct_13c,c_mg_pr_gdw,c13_ug_pr_gdw,c13_ug_pr_gc,pipe_nr,pipe_diameter,veg,wet,cut,beriget
1,A,SCW,equisetum,3.968,,-2.397432251,-27.6449958,0.108807709,1.582734319,2.742129775,39.88745763,14.5461597,-2.334078084,-27.74479171,0.366,0.365401911,-5.98089e-4,27.42129775,-0.164003862,-5.980893527,1.077,1.080716104,0.003716104,398.8745763,14.82259263,37.16103635,14,17,S,W,C,FALSE
1,B,BUW,equisetum,3.647,,-1.858191428,-27.24294192,0.08127471,1.43086491,2.228536071,39.23402549,17.60529076,-1.794837261,-27.34273783,0.366,0.365598689,-4.01311e-4,22.28536071,-0.08943356,-4.013108035,1.077,1.081158177,0.004158177,392.3402549,16.31420335,41.58177283,9,17,B,W,U,FALSE
1,C,BCW,equisetum,3.481,,0.044369519,-26.47311513,0.095953511,1.349242783,2.756492689,38.76020634,14.06142178,0.107723687,-26.57291104,0.366,0.366292961,2.92961e-4,27.56492689,0.080754555,2.929612525,1.077,1.08200462,0.00500462,387.6020634,19.39801158,50.04620308,10,17,B,W,C,FALSE
1,D,BCD,equisetum,3.775,,0.092358433,-26.7614335,0.066843005,1.307583784,1.770675618,34.63798103,19.56201389,0.1557126,-26.86122942,0.366,0.366310473,3.10473e-4,17.70675618,0.054974693,3.104729772,1.077,1.081687609,0.004687609,346.3798103,16.23693128,46.87609035,12,17,B,D,C,FALSE
1,E,SUW,equisetum,3.576,,2.90756956,-27.85190605,0.087475488,1.330019857,2.446182551,37.19294902,15.20448627,2.970923727,-27.95170196,0.366,0.367337766,0.001337766,24.46182551,0.327242032,13.37766195,1.077,1.080488596,0.003488596,371.9294902,12.97511862,34.88596349,13,17,S,W,U,FALSE
1,F,SCD,equisetum,3.527,,0.992212715,-27.67415721,0.080207383,1.198177113,2.274096498,33.97156543,14.93848896,1.055566882,-27.77395313,0.366,0.366638839,6.38839e-4,22.74096498,0.145278234,6.388393569,1.077,1.080684039,0.003684039,339.7156543,12.51525852,36.84039392,16,17,S,D,C,FALSE
1,G,SUD,equisetum,3.832,,-0.022375877,-28.16583327,0.082020917,1.28379636,2.140420593,33.50199269,15.65206053,0.04097829,-28.26562919,0.366,0.366268605,2.68605e-4,21.40420593,0.057492779,2.686050541,1.077,1.080143417,0.003143417,335.0199269,10.53107335,31.43417003,15,17,S,D,U,FALSE
1,H,BUD,equisetum,3.805,,3.048313299,-27.20298744,0.087939166,1.346073762,2.311147598,35.37644577,15.3068743,3.111667467,-27.30278336,0.366,0.367389124,0.001389124,23.11147598,0.321047097,13.89124164,1.077,1.081202109,0.004202109,353.7644577,14.86556649,42.02108542,11,17,B,D,U,FALSE
1,A,SCW,bryophyte,3.231,,-1.528594098,-28.75269892,0.026382747,1.221575752,0.816550507,37.80797746,46.30206842,-1.465239931,-28.85249483,0.366,0.365718965,-2.81035e-4,8.165505073,-0.022947949,-2.810352693,1.077,1.079498121,0.002498121,378.0797746,9.444890913,24.98121177,14,17,S,W,C,FALSE
1,B,BUW,bryophyte,3.437,,-0.317220578,-28.15234752,0.042084926,1.127705162,1.224466851,32.81074082,26.79594046,-0.253866411,-28.25214343,0.366,0.366161013,1.61013e-4,12.24466851,0.019715451,1.610125315,1.077,1.080158245,0.003158245,328.1074082,10.36243694,31.58245343,9,17,B,W,U,FALSE
1,C,BCW,bryophyte,3.294,,-0.176136115,-28.66424073,0.042179358,1.254687191,1.280490543,38.09007866,29.74647401,-0.112781948,-28.76403664,0.366,0.366212496,2.12496e-4,12.80490543,0.027209918,2.124960473,1.077,1.079595387,0.002595387,380.9007866,9.885849799,25.95387079,10,17,B,W,C,FALSE
1,D,BCD,bryophyte,3.24,,0.382917534,-29.22342272,0.043249461,1.104957908,1.334859897,34.10363914,25.54847832,0.446271702,-29.32321863,0.366,0.366416501,4.16501e-4,13.34859897,0.05559709,4.1650131439999996,1.077,1.078980525,0.001980525,341.0363914,6.754309478,19.80524557,12,17,B,D,C,FALSE
1,E,SUW,bryophyte,3.492,,1.197782278,-29.02543316,0.039648876,1.26074739,1.135420287,36.10387716,31.79780876,1.261136446,-29.12522908,0.366,0.366713854,7.13854e-4,11.35420287,0.081052382,7.138535692,1.077,1.07919823,0.00219823,361.0387716,7.936461823,21.98229788,13,17,S,W,U,FALSE
1,F,SCD,bryophyte,3.614,,-1.952988981,-28.37110525,0.034862077,1.300982098,0.964639641,35.99839783,37.3179748,-1.889634813,-28.47090116,0.366,0.365564096,-4.35904e-4,9.646396413,-0.042049033,-4.359040571,1.077,1.079917708,0.002917708,359.9839783,10.503283,29.17708462,16,17,S,D,C,FALSE
1,G,SUD,bryophyte,3.325,,-1.98260505,-28.4765934,0.035578161,1.199820922,1.070019877,36.08483977,33.72352283,-1.919250883,-28.57638932,0.366,0.365553289,-4.46711e-4,10.70019877,-0.047799016,-4.467114738,1.077,1.079801718,0.002801718,360.8483977,10.10995331,28.01717667,15,17,S,D,U,FALSE
1,H,BUD,bryophyte,4.069,,-0.092465,-28.83916865,0.05152023,1.392731283,1.266164414,34.22785164,27.03270702,-0.029110832,-28.93896457,0.366,0.366243029,2.43029e-4,12.66164414,0.030771426,2.430286769,1.077,1.079403042,0.002403042,342.2785164,8.225094908,24.03041533,11,17,B,D,U,FALSE
1,A,SCW,lichen,3.59,,-1.2505555799999999,-23.10734094,0.140825094,1.343716693,3.922704565,37.42943433,9.541741856,-1.187201412,-23.20713685,0.366,0.365820425,-1.79575e-4,39.22704565,-0.070441821,-1.795746267,1.077,1.0857052,0.0087052,374.2943433,32.58306993,87.05199668,14,17,S,W,C,FALSE
1,E,SUW,lichen,3.286,,-0.184645377,-24.77616782,0.126632871,1.297926664,3.853708799,39.49868118,10.24952409,-0.12129121,-24.87596374,0.366,0.366209391,2.09391e-4,38.53708799,0.08069316,2.093909108,1.077,1.083870403,0.006870403,394.9868118,27.13718744,68.70403424,13,17,S,W,U,FALSE
1,F,SCD,lichen,3.751,,-0.618478466,-24.03524377,0.125090981,1.466309197,3.334870206,39.09115429,11.72194175,-0.555124298,-24.13503969,0.366,0.36605108,5.11e-5,33.34870206,0.017034356,0.51079517,1.077,1.084685023,0.007685023,390.9115429,30.04164112,76.85022781,16,17,S,D,C,FALSE
1,G,SUD,lichen,3.592,,-0.738103543,-27.02784012,0.108538946,1.393060769,3.021685577,38.7823154,12.83466278,-0.674749376,-27.12763604,0.366,0.366007427,7.43e-6,30.21685577,0.002244105,0.07426666,1.077,1.081394688,0.004394688,387.823154,17.04361886,43.94688323,15,17,S,D,U,FALSE
1,A,SCW,graminoid,3.382,,0.462631669,-28.17601201,0.043374819,1.303885804,1.282519782,38.55369024,30.06089323,0.525985836,-28.27580793,0.366,0.36644559,4.4559e-4,12.82519782,0.057147783,4.455898737,1.077,1.080132225,0.003132225,385.5369024,12.07588289,31.32224908,14,17,S,W,C,FALSE
