,,,,,,aboveground not sorted,,,aboveground sorted,,,,litter sorted,,,vascular,,,,,,,graminoids,,,bryo+lichen,,,,unidentified,,,dirt,,,poop,,
pipe nr,run,tt,veg_type,cut_treat,wet_treat,bag_g,fresh_g,aboveground_weight_tot_g,bag_g,fresh_g,aboveground_weight_tot_g,weight_sorted_excl.bag_g,litter_bag,litter_weight,where is the sample,vas_bag_g,vascular_weight_g,equ_weight,stem_weight,leaves_weight,rest_weight,where is the sample,grami_bag,graminoid_weight,where is the sample,bryo_bag,bryophyte_weight,lichen_weight,where is the sample,unid_bag,unidentified_weight,where is the sample,dirt_bag,dirt_weight,where is the sample,poop_bag,fresh_poop,dry_poop
9,1,B,B,U,W,4.97,17.17,13.83,4.97,17.17,14.22,3.78,1.09,1.18,epp. box 2 H4,0,0.04,0.02,0.03,0.01,0,"equ: epp box 2 G9, stem: epp. box 2 H1, leav: epp. box 2 H2",1.09,1.15,epp. box 2 H3,4.98,7.15,0,papbag,5.01,5.74,papbag,1.09,1.39,epp. box 2 H5,,,
10,1,C,B,C,W,4.92,8.14,7.53,4.48,11.11,10.05,1.39,10.22,10.3,epp. box 2 A5,10.22,10.35,0.05,0.03,0.05,0,"equ: epp. box 2 A1, stem: box 2 A2, leav: box 2 A3",10.22,10.24,epp. box 2 A4,4.48,5.84,0,papbag,5.02,5.25,papbag,10.22,10.26,epp. box 2 A6,,,
11,1,H,B,U,D,5.02,6.71,6.41,5.02,6.71,6.53,2.06,1.09,1.13,epp. box 2 I1,4.93,5.05,5.05,0,0,0,equ: papbag,4.94,5.05,papbag,4.94,6.16,0,papbag,1.09,1.59,epp. box 2 H9,1.09,1.16,epp. box 2 H7,,,
12,1,D,B,C,D,,,,5.38,12.73,11.99,1.65,61.02,61.05,epp. box 2 B2,14.38,14.53,0.02,0.00,0.00,0.13,"equ: epp. box 2 A7, cass: epp.box 2 A8, stem: epp. box 2 A9, leav: epp. box 2 B1, lic: epp. box 2 B2",61.03,61.06,epp. box 2 B3,4.99,6.17,0,papbag,5.01,5.23,papbag,61.01,61.02,epp. box 2 B4,,,
13,1,E,S,U,W,4.99,14.09,11.81,4.99,14.09,12.17,3.41,4.87,5.36,papbag,10.06,10.72,0.07,0.27,0.43,0.02,"equ: epp. box 2 I8, stem: papbag, leaves: papbag, rest: epp. box 2 I9",6.19,6.33,papbag,6.22,7.66,0.01,"papbag, lic: epp. box 3 B2",6.24,6.94,papbag,1.09,1.21,epp. box 3 B1,5.05,5.27,5.14
14,1,A,S,C,W,4.98,4.99,4.98,5.33,28.02,21.69,4.09,4.99,5.37,papbag,10.23,10.87,0.06,0.4,0.19,0,"equ: epp. box 2 B5, stem: papbag, leav: papbag",5.02,5.22,papbag,4.83,6.91,0.01,"papbag, lic: epp. box 2 B6",5.02,5.86,papbag,-,-,-,,,
15,1,G,S,U,D,5,22.97,19.19,5,22.97,19.8,4.87,5.01,5.64,papbag,0,0.79,0.01,0.44,0.33,0.01,"equ: epp. box 2 H6, stem: papbag, leav: epp. box 2 H7, rest: epp. box 2 H8",4.97,5.22,papbag,4.95,7.2,0.31,"papbag, lic: papbag",4.98,5.62,papbag,-,-,-,,,
16,1,F,S,C,D,6.47,6.54,6.37,4.55,23.75,19.26,3.68,5.01,5.51,papbag,14.38,14.9,0.03,0.28,0.2,0.03,"equ: epp. box 2 G7, bus: epp. box 2 G8, stem: papbag, leav: papbag",4.99,5.11,papbag,5.02,6.97,0.26,"papbag, lic: papbag",5.04,5.3,papbag,-,-,-,,,
20,2,A,B,U,D,4.98,10.76,9.95,4.99,10.76,10.27,1.32,1.09,1.13,epp. box 3 C9,4.31,4.38,0.04,0,0,0.01,"equ: epp. box 3 C7, Rest: epp. box 3 C8",4.96,5.09,papbag,4.97,5.84,0,papbag,1.09,1.23,epp. box 3 D1,-,-,-,,,
19,2,B,B,C,D,,,,5.28,9.34,9.02,0.94,10.22,10.23,epp. box 1 I4,10.22,10.23,0.01,0,0,0.00,"equ: epp. box 1 I1, bus: box 1 I2",10.22,10.27, epp. box 1 I3,4.97,5.81,0,papbag,10.22,10.27,epp. box 1 I5 ,-,-,-,,,
17,2,C,B,C,W,,,,5.03,9.32,8.79,0.94,14.37,14.41, epp. boy 1 I9,14.39,14.4,0.02,0.01,0,0,"equ: epp. box 1 I6, stem: epp. box 1 I7",14.38,14.39,epp. box 1 I8,4.99,5.77,0,papbag,14.38,14.45,epp. box 1 J3,14.38,14.4,epp. box 1 J1,,,
22,2,D,S,C,D,,,,5.32,17.68,13.74,2.11,10.22,10.44,epp. box 2 C4,10.22,10.74,0.07,0.2,0.23,0.00,"equ: epp. box 2 B7, bus: epp. box 2 B9, stem: epp. box 2 C1, leav: epp. box 2 C2",10.22,10.26,epp. box 2 C3,5,6.11,0.04,"papbag, lic: epp. box 2 B8",10.22,10.41,epp. box 2 C5,-,-,-,,,
21,2,E,S,C,W,,,,4.95,21.29,16.15,2.81,5,5.31,papbag,10.22,10.77,0.05,0.21,0.27,0,"equ: epp. box 1 J5, stem: papbag, leav: papbag",4.97,5.01,papbag,4.96,6.46,0.05,"papbag, lic: epp. box 1 1 J7",5,5.36,papbag,-,-,-,,,
24,2,F,S,U,D,5.05,25.73,21.87,5.05,25.73,22.67,4.41,4.96,5.4,papbag,4.31,4.88,0.02,0.33,0.21,0,"equ: epp box 3 D2, stem: papbag, leaves: papbag",4.91,5.08,papbag,4.93,6.38,0.07,"papbag, lic: epp. box 3 D3",4.98,6.53,papbag,1.09,1.3,epp. box 3 D4,,,
18,2,G,B,U,W,4.99,10.89,10.07,4.99,10.89,10.4,1.35,1.09,1.14,epp. box 3 C4,0,0.06,0.04,0.02,0,0,"equ: epp. box 3 B8, stem:epp. box 3 B9, Leav: epp. box 3 C1",1.09,1.15,epp. box 3 C2,5.02,6,0,"papbag, lic: epp. box 3 C3",1.09,1.17,epp. box 3 C5,1.09,1.1,epp. box 3 C6,,,
23,2,H,S,U,W,4.97,15.32,13.54,4.97,15.32,13.31,2.21,5.02,5.16,papbag,0,0.53,0.03,0.3,0.2,0,"equ: epp. box 3 D5, stem: papbag, leav: papbag, bus: epp. box 3 D6",4.99,5.02,papbag,4.99,6.25,0,papbag,4.97,5.14,papbag,1.09,1.14,epp. box 3 D7,,,
25,3,,B,C,D,,,,5.03,10.53,7.85,7.85,41.67,41.68,epp. box 1 E2,5.39,5.55,0.16,0,0,0,papbag,41.68,41.74,epp. box 1 E1,5.39,6.96,0,papbag,5.33,6.35,papbag,-,-,-,,,
26,3,C,B,U,D,4.95,10.18,8.93,4.95,10.18,9.22,1.07,1.09,1.09,epp. box 3 D8,0,0.02,0.02,0,0,0,"equ: epp. box 3 D9, rest: epp. box 3 E1",4.98,5.1,papbag,4.99,5.78,0,papbag,1.09,1.13,epp. box 3 E2,1.09,1.1,epp. box 3 E3,4.98,7.72,6.48
27,3,,B,C,W,,,,5.14,14.94,10.8,10.8,10.22,10.27,epp. box 1 E3,10.22,10.4,0.04,0.08,0.06,0.02,"equ: epp. box 1 E5, bus: epp. box 1 E7, stem: epp. box 1 E8, leav: epp. box 1 E9 ",5.33,5.52,papbag,5.36,9.35,0.01,"papbag, lic: epp. box 1 E6",5.43,6.37,papbag,10.23,10.72,epp. box 1 E4,,,
28,3,G,B,U,W,4.98,8.29,7.21,4.98,8.29,7.4,2.42,1.09,1.14,epp. box 3 E9,10.13,10.32,0.08,0.03,0.05,0,"equ: epp box 3 F1, stems: epp. box 3 F2, leaves: epp. box 3 F3",4.98,5.3,papbag,4.98,6.24,0,papbag,4.93,5.42,papbag,-,-,-,,,
29,3,D,S,U,W,4.98,20.78,15.65,4.98,20.78,15.96,2.75,1.09,1.21,epp. box 3 E4,10.05,10.42,0.05,0.15,0.11,0.03,"equ: epp box 3 E5, stems: epp box 3 E6, leaves: epp. box 3 E7, rest: epp. box 3 E8",5,5.06,papbag,4.97,6.74,0,papbag,4.95,5.31,papbag,-,-,-,-,-,-
