,,,,,mid,,,,,,top,,,,,,bottom,,,,,
,,,,,fine,,,coarse,,,fine,,,coarse,,,fine,,,coarse,,
run,pipe_nr,pipe_diameter,tt,ID,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry
1,9,17,B,BUW,6.25,6.7,6.3,6.25,7.1,6.38,6.31,6.66,6.32,6.24,6.78,6.26,6.25,6.37,6.25,6.19,6.85,6.29
1,10,17,C,BCW,6.17,6.64,6.21,6.2,7.3,6.4,6.27,6.43,6.26,6.28,7.13,6.42,6.2,6.44,6.23,6.26,7.05,6.38
1,11,17,H,BUD,6.2,6.58,6.33,6.29,7.44,6.51,6.22,6.38,6.22,6.25,6.52,6.27,6.19,6.87,6.29,0,0,0
1,12,17,D,BCD,6.18,6.39,6.2,6.22,7.5,6.51,6.21,6.42,6.23,6.29,6.53,6.29,6.23,6.53,6.24,6.2,6.56,6.27
1,13,17,E,SUW,6.21,6.71,6.3,6.18,7.17,6.38,6.25,6.75,6.34,6.2,8.15,6.68,6.18,6.43,6.23,6.2,6.56,6.26
1,14,17,A,SCW,6.24,6.65,6.33,6.24,7.3,6.55,6.18,9.91,6.38,6.25,8.98,7.05,6.16,6.35,6.21,6.23,6.57,6.24
1,15,17,G,SUD,6.22,6.85,6.35,6.18,6.68,6.26,6.25,9.4,6.6,6.23,9.73,7.16,6.2,6.41,6.21,0,0,0
1,16,17,F,SCD,6.29,7.12,6.47,6.22,7,6.44,6.22,6.69,6.33,6.16,7.93,6.83,6.18,6.43,6.21,6.26,6.44,6.26
2,17,17,C,BCW,4.78,5.13,4.85,4.8,5.59,4.97,4.84,5.38,4.94,5.09,5.78,5.23,5.12,5.35,5.13,5.06,5.19,5.08
2,18,17,G,BUW,4.77,5.05,4.8,4.81,5.74,4.98,4.82,4.99,4.85,4.84,5.06,4.87,5.03,5.22,5.06,5.06,5.2,5.08
2,19,17,B,BCD,4.75,5,4.81,4.8,5.11,4.85,4.82,4.91,4.85,0,0,0,5.18,5.48,5.28,5.15,5.38,5.16
2,20,17,A,BUD,4.82,5.77,4.97,4.79,6.29,5.07,4.82,5.05,4.87,4.83,5.4,4.96,4.81,5,4.85,4.81,5.67,4.98
2,21,17,E,SCW,4.8,5.72,4.96,4.79,6.02,5.05,5.07,5.86,5.38,5.06,7.54,6.02,5.06,5.41,5.1,5.05,5.19,5.05
2,22,17,D,SCD,4.79,5.42,4.92,4.83,6.19,5.17,4.82,5.22,4.91,4.82,7.49,5.72,5,5.25,5.08,5.06,5.57,5.15
2,23,17,H,SUW,4.7,5.18,4.86,4.75,6.41,5.26,5.03,5.62,5.18,5.04,7.57,5.78,6.31,6.52,6.32,6.33,6.93,6.35
2,24,17,F,SUD,4.82,5.25,4.91,4.82,5.49,4.92,4.8,5.12,4.87,4.86,5.8,5.14,5.07,5.32,5.1,5.09,5.22,5.1
3,25,17,A,BCD,6.23,6.49,6.26,6.26,7.25,6.47,6.33,6.44,6.37,6.35,6.69,6.41,6.31,6.54,6.31,6.24,6.34,6.27
3,27,17,B,BCW,6.26,6.57,6.29,6.28,7.05,6.39,6.35,6.42,6.36,6.31,6.61,6.38,6.3,6.39,6.33,6.25,6.51,6.32
3,26,17,C,BUD,6.2,6.49,6.21,6.32,7.18,6.45,6.31,6.57,6.33,6.32,6.82,6.33,6.31,6.77,6.35,6.29,7.14,6.4
3,29,17,D,SUW,6.24,6.61,6.29,6.26,7.02,6.4,6.22,7.03,6.42,6.25,8.05,6.75,6.29,6.54,6.3,6.33,6.85,6.35
3,32,17,E,SCD,6.22,6.7,6.29,6.3,7.1,6.46,6.26,6.64,6.35,6.24,7.75,6.71,6.26,6.72,6.34,6.23,6.44,6.27
