pipe_nr,pipe_diameter,tt,ID,mid_fine_bag,mid_fine_fresh,mid_fine_dry,mid_coarse_bag,mid_coarse_fresh,mid_coarse_dry,top_fine_bag,top_fine_fresh,top_fine_dry,top_coarse_bag,top_coarse_fresh,top_coarse_dry,bottom_fine_bag,bottom_fine_fresh,bottom_fine_dry,bottom_coarse_bag,bottom_coarse_fresh,bottom_coarse_dry,mid_fine,mid_coarse,top_fine,top_coarse,bottom_fine,bottom_coarse
9,17,B,BUW,6.25,6.7,6.3,6.25,7.1,6.38,6.31,6.66,6.32,6.24,6.78,6.26,6.25,6.37,6.25,6.19,6.85,6.29,0.04999999999999982,0.1299999999999999,0.010000000000000675,0.019999999999999574,0,0.09999999999999964
10,17,C,BCW,6.17,6.64,6.21,6.2,7.3,6.4,6.27,6.43,6.26,6.28,7.13,6.42,6.2,6.44,6.23,6.26,7.05,6.38,0.040000000000000036,0.20000000000000018,-0.009999999999999787,0.13999999999999968,0.03000000000000025,0.1200000000000001
11,17,H,BUD,6.2,6.58,6.33,6.29,7.44,6.51,6.22,6.38,6.22,6.25,6.52,6.27,6.19,6.87,6.29,0,0,0,0.1299999999999999,0.21999999999999975,0,0.019999999999999574,0.09999999999999964,0
12,17,D,BCD,6.18,6.39,6.2,6.22,7.5,6.51,6.21,6.42,6.23,6.29,6.53,6.29,6.23,6.53,6.24,6.2,6.56,6.27,0.020000000000000462,0.29000000000000004,0.020000000000000462,0,0.009999999999999787,0.0699999999999994
13,17,E,SUW,6.21,6.71,6.3,6.18,7.17,6.38,6.25,6.75,6.34,6.2,8.15,6.68,6.18,6.43,6.23,6.2,6.56,6.26,0.08999999999999986,0.20000000000000018,0.08999999999999986,0.47999999999999954,0.05000000000000071,0.05999999999999961
14,17,A,SCW,6.24,6.65,6.33,6.24,7.3,6.55,6.18,9.91,6.38,6.25,8.98,7.05,6.16,6.35,6.21,6.23,6.57,6.24,0.08999999999999986,0.3099999999999996,0.20000000000000018,0.7999999999999998,0.04999999999999982,0.009999999999999787
15,17,G,SUD,6.22,6.85,6.35,6.18,6.68,6.26,6.25,9.4,6.6,6.23,9.73,7.16,6.2,6.41,6.21,0,0,0,0.1299999999999999,0.08000000000000007,0.34999999999999964,0.9299999999999997,0.009999999999999787,0
16,17,F,SCD,6.29,7.12,6.47,6.22,7,6.44,6.22,6.69,6.33,6.16,7.93,6.83,6.18,6.43,6.21,6.26,6.44,6.26,0.17999999999999972,0.22000000000000064,0.11000000000000032,0.6699999999999999,0.03000000000000025,0
17,17,C,BCW,4.78,5.13,4.85,4.8,5.59,4.97,4.84,5.38,4.94,5.09,5.78,5.23,5.12,5.35,5.13,5.06,5.19,5.08,0.0699999999999994,0.16999999999999993,0.10000000000000053,0.14000000000000057,0.009999999999999787,0.020000000000000462
18,17,G,BUW,4.77,5.05,4.8,4.81,5.74,4.98,4.82,4.99,4.85,4.84,5.06,4.87,5.03,5.22,5.06,5.06,5.2,5.08,0.03000000000000025,0.17000000000000082,0.02999999999999936,0.03000000000000025,0.02999999999999936,0.020000000000000462
19,17,B,BCD,4.75,5,4.81,4.8,5.11,4.85,4.82,4.91,4.85,0,0,0,5.18,5.48,5.28,5.15,5.38,5.16,0.05999999999999961,0.04999999999999982,0.02999999999999936,0,0.10000000000000053,0.009999999999999787
20,17,A,BUD,4.82,5.77,4.97,4.79,6.29,5.07,4.82,5.05,4.87,4.83,5.4,4.96,4.81,5,4.85,4.81,5.67,4.98,0.14999999999999947,0.28000000000000025,0.04999999999999982,0.1299999999999999,0.040000000000000036,0.17000000000000082
21,17,E,SCW,4.8,5.72,4.96,4.79,6.02,5.05,5.07,5.86,5.38,5.06,7.54,6.02,5.06,5.41,5.1,5.05,5.19,5.05,0.16000000000000014,0.2599999999999998,0.3099999999999996,0.96,0.040000000000000036,0
22,17,D,SCD,4.79,5.42,4.92,4.83,6.19,5.17,4.82,5.22,4.91,4.82,7.49,5.72,5,5.25,5.08,5.06,5.57,5.15,0.1299999999999999,0.33999999999999986,0.08999999999999986,0.8999999999999995,0.08000000000000007,0.09000000000000075
23,17,H,SUW,4.7,5.18,4.86,4.75,6.41,5.26,5.03,5.62,5.18,5.04,7.57,5.78,6.31,6.52,6.32,6.33,6.93,6.35,0.16000000000000014,0.5099999999999998,0.14999999999999947,0.7400000000000002,0.010000000000000675,0.019999999999999574
24,17,F,SUD,4.82,5.25,4.91,4.82,5.49,4.92,4.8,5.12,4.87,4.86,5.8,5.14,5.07,5.32,5.1,5.09,5.22,5.1,0.08999999999999986,0.09999999999999964,0.07000000000000028,0.27999999999999936,0.02999999999999936,0.009999999999999787
25,17,A,BCD,6.23,6.49,6.26,6.26,7.25,6.47,6.33,6.44,6.37,6.35,6.69,6.41,6.31,6.54,6.31,6.24,6.34,6.27,0.02999999999999936,0.20999999999999996,0.040000000000000036,0.0600000000000005,0,0.02999999999999936
27,17,B,BCW,6.26,6.57,6.29,6.28,7.05,6.39,6.35,6.42,6.36,6.31,6.61,6.38,6.3,6.39,6.33,6.25,6.51,6.32,0.03000000000000025,0.10999999999999943,0.010000000000000675,0.07000000000000028,0.03000000000000025,0.07000000000000028
26,17,C,BUD,6.2,6.49,6.21,6.32,7.18,6.45,6.31,6.57,6.33,6.32,6.82,6.33,6.31,6.77,6.35,6.29,7.14,6.4,0.009999999999999787,0.1299999999999999,0.020000000000000462,0.009999999999999787,0.040000000000000036,0.11000000000000032
29,17,D,SUW,6.24,6.61,6.29,6.26,7.02,6.4,6.22,7.03,6.42,6.25,8.05,6.75,6.29,6.54,6.3,6.33,6.85,6.35,0.04999999999999982,0.14000000000000057,0.20000000000000018,0.5,0.009999999999999787,0.019999999999999574
32,17,E,SCD,6.22,6.7,6.29,6.3,7.1,6.46,6.26,6.64,6.35,6.24,7.75,6.71,6.26,6.72,6.34,6.23,6.44,6.27,0.07000000000000028,0.16000000000000014,0.08999999999999986,0.46999999999999975,0.08000000000000007,0.03999999999999915
30,17,F,SUD,6.21,6.71,6.33,6.28,6.79,6.32,6.32,6.82,6.39,6.23,8.09,6.79,6.33,6.47,6.33,6.25,6.76,6.35,0.1200000000000001,0.040000000000000036,0.0699999999999994,0.5599999999999996,0,0.09999999999999964
28,17,G,BUW,6.19,6.54,6.23,6.23,6.79,6.33,6.28,6.66,6.32,6.28,7.07,6.42,6.33,8.85,6.32,6.3,6.58,6.37,0.040000000000000036,0.09999999999999964,0.040000000000000036,0.13999999999999968,-0.009999999999999787,0.07000000000000028
31,17,H,SCW,6.34,6.66,6.36,6.35,6.83,6.42,6.27,6.69,6.3,6.31,8.03,6.72,6.26,6.47,6.25,6.26,8.35,6.62,0.020000000000000462,0.07000000000000028,0.03000000000000025,0.41000000000000014,-0.009999999999999787,0.3600000000000003
35,16.3,A,BCW,5.18,5.41,5.21,5.24,6.19,5.34,5.17,5.33,5.18,5.14,5.71,5.25,5.28,5.37,5.28,5.24,5.49,5.25,0.03000000000000025,0.09999999999999964,0.009999999999999787,0.11000000000000032,0,0.009999999999999787
40,16.3,B,SCW,5.24,5.58,5.26,5.28,5.96,5.39,5.22,5.43,5.23,5.16,5.79,5.35,5.25,5.44,5.27,5.07,5.79,5.2,0.019999999999999574,0.10999999999999943,0.010000000000000675,0.1899999999999995,0.019999999999999574,0.1299999999999999
36,16.3,C,BCD,4.81,4.96,4.85,4.8,5.21,4.94,5.13,5.3,5.16,5.24,5.74,5.28,5.23,5.5,5.24,5.28,5.51,5.29,0.040000000000000036,0.14000000000000057,0.03000000000000025,0.040000000000000036,0.009999999999999787,0.009999999999999787
39,16.3,D,SUD,4.87,5.17,4.91,4.79,5.18,4.85,5.18,5.52,5.21,5.19,7.2,5.8,5.27,5.41,5.27,5.19,5.21,5.19,0.040000000000000036,0.05999999999999961,0.03000000000000025,0.6099999999999994,0,0
33,16.3,E,BUW,4.79,5.08,4.84,4.79,5.27,4.92,5.14,5.29,5.15,5.23,5.57,5.25,5.3,5.37,5.31,5.2,5.35,5.15,0.04999999999999982,0.1299999999999999,0.010000000000000675,0.019999999999999574,0.009999999999999787,-0.04999999999999982
37,16.3,F,SUW,4.77,5.39,4.91,4.78,7.04,5.49,5.15,5.89,5.29,5.25,7.58,5.9,5.21,5.64,5.36,5.19,6.52,5.22,0.14000000000000057,0.71,0.13999999999999968,0.6500000000000004,0.15000000000000036,0.02999999999999936
34,16.3,G,BUD,4.81,5.04,4.82,4.8,5.15,4.84,5.14,5.37,5.15,5.21,6.22,5.39,5.3,5.43,5.31,5.27,5.51,5.28,0.010000000000000675,0.040000000000000036,0.010000000000000675,0.17999999999999972,0.009999999999999787,0.010000000000000675
38,16.3,H,SCD,4.81,5.12,4.88,4.76,5.73,4.94,5.23,6,5.35,5.17,6.89,5.64,5.26,5.48,5.27,5.29,5.51,5.3,0.07000000000000028,0.1800000000000006,0.11999999999999922,0.46999999999999975,0.009999999999999787,0.009999999999999787
45,16.3,A,SUW,5.11,5.79,5.28,5.08,5.63,5.28,4.81,6.11,5.24,4.92,7.6,5.88,5.05,5.25,5.06,5.12,5.18,5.12,0.16999999999999993,0.20000000000000018,0.4300000000000006,0.96,0.009999999999999787,0
48,16.3,B,SUD,5.13,5.62,5.22,5.14,5.75,5.29,4.84,5.62,5.04,4.9,6.38,5.44,5.02,5.23,5.03,5.02,5.47,5.08,0.08999999999999986,0.15000000000000036,0.20000000000000018,0.54,0.010000000000000675,0.0600000000000005
46,16.3,C,SCW,5,5.54,5.2,5.07,5.94,5.31,4.83,5.23,4.86,4.82,6.94,5.56,5.04,5.29,5.1,5.09,5.22,5.11,0.20000000000000018,0.23999999999999932,0.03000000000000025,0.7399999999999993,0.05999999999999961,0.020000000000000462
41,16.3,D,BUD,5.09,5.48,5.14,5.08,5.88,5.3,4.85,4.92,4.86,4.87,5.05,4.89,5.08,5.23,5.09,0,0,0,0.04999999999999982,0.21999999999999975,0.010000000000000675,0.019999999999999574,0.009999999999999787,0
44,16.3,E,BCD,5.07,5.18,5.07,0,0,0,4.88,5.04,4.89,4.8,4.89,4.8,6.41,6.44,6.41,0,0,0,0,0,0.009999999999999787,0,0,0
43,16.3,F,BCW,5.13,5.29,5.17,5.15,5.23,5.18,4.89,4.9,4.89,4.83,4.96,4.84,5.06,5.23,5.12,5.13,5.34,5.13,0.040000000000000036,0.02999999999999936,0,0.009999999999999787,0.0600000000000005,0
47,16.3,G,SCD,5.09,5.74,5.25,5.07,6.27,5.51,5.13,5.9,5.29,5.07,6.76,5.67,5.09,5.35,5.15,5.07,5.26,5.1,0.16000000000000014,0.4399999999999995,0.16000000000000014,0.5999999999999996,0.0600000000000005,0.02999999999999936
42,16.3,H,BUW,5.05,5.45,5.17,5.07,5.52,5.17,4.93,4.99,4.94,4.92,5.35,5,5.17,5.33,5.18,5.14,5.26,5.15,0.1200000000000001,0.09999999999999964,0.010000000000000675,0.08000000000000007,0.009999999999999787,0.010000000000000675
53,17,A,SCD,5.1,6.5,5.55,5.09,5.95,5.39,5.09,6.98,5.7,5.11,5.44,5.23,4.97,5.27,5.11,5.06,5.42,5.25,0.4500000000000002,0.2999999999999998,0.6100000000000003,0.1200000000000001,0.14000000000000057,0.1900000000000004
49,17,B,BUD,5.11,5.48,5.21,5.1,5.83,5.3,5.09,5.41,5.19,5.03,5.63,5.19,5.1,5.37,5.16,5.15,5.51,5.28,0.09999999999999964,0.20000000000000018,0.10000000000000053,0.16000000000000014,0.0600000000000005,0.1299999999999999
55,17,C,SUD,5.08,5.96,5.3,5.12,6.66,5.59,5.11,5.45,5.26,5.1,6.02,5.46,5.03,5.57,5.22,5.1,5.24,5.15,0.21999999999999975,0.46999999999999975,0.14999999999999947,0.3600000000000003,0.1899999999999995,0.05000000000000071
54,17,D,SCW,5.15,5.78,5.35,5.09,5.94,5.33,5.11,5.91,5.4,5.14,5.84,5.39,5.1,5.57,5.21,5.07,5.68,5.25,0.1999999999999993,0.2400000000000002,0.29000000000000004,0.25,0.11000000000000032,0.17999999999999972
50,17,E,BCW,5.07,5.45,5.14,5.07,5.6,5.21,5.09,5.17,5.15,5.14,5.28,5.2,5.15,5.38,5.22,5.13,5.37,5.21,0.0699999999999994,0.13999999999999968,0.0600000000000005,0.0600000000000005,0.0699999999999994,0.08000000000000007
51,17,F,BUW,5.12,5.52,5.22,5.09,5.31,5.14,5.04,5.13,5.07,5,5.14,5.03,5.1,5.25,5.18,5.04,5.14,5.12,0.09999999999999964,0.04999999999999982,0.03000000000000025,0.03000000000000025,0.08000000000000007,0.08000000000000007
56,17,G,SUW,5.13,5.78,5.31,5.1,6.29,5.44,5.04,5.67,5.28,4.99,7.37,5.81,5.1,5.42,5.2,5.12,5.35,5.19,0.17999999999999972,0.34000000000000075,0.2400000000000002,0.8199999999999994,0.10000000000000053,0.07000000000000028
52,17,H,BCD,5.15,5.51,5.27,0,0,0,4.99,5.1,5.04,5.01,5.07,5.04,5.08,5.28,5.15,0,0,0,0.11999999999999922,0,0.04999999999999982,0.03000000000000025,0.07000000000000028,0
