run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,minute,ppm
2,10/22/2025,1,20,BUD,A,ppm _room,609
2,10/22/2025,1,20,BUD,A,ppm_0,628
2,10/22/2025,1,20,BUD,A,ppm_1,629
2,10/22/2025,1,20,BUD,A,ppm_2,630
2,10/22/2025,1,20,BUD,A,ppm_3,633
2,10/22/2025,1,20,BUD,A,ppm_4,635
2,10/22/2025,1,20,BUD,A,ppm_5,637
2,10/22/2025,1,20,BUD,A,ppm_6,640
2,10/22/2025,1,19,BCD,B,ppm _room,710
2,10/22/2025,1,19,BCD,B,ppm_0,709
2,10/22/2025,1,19,BCD,B,ppm_1,709
2,10/22/2025,1,19,BCD,B,ppm_2,710
2,10/22/2025,1,19,BCD,B,ppm_3,711
2,10/22/2025,1,19,BCD,B,ppm_4,711
2,10/22/2025,1,19,BCD,B,ppm_5,712
2,10/22/2025,1,19,BCD,B,ppm_6,713
2,10/22/2025,1,17,BCW,C,ppm _room,715
2,10/22/2025,1,17,BCW,C,ppm_0,715
2,10/22/2025,1,17,BCW,C,ppm_1,720
2,10/22/2025,1,17,BCW,C,ppm_2,724
2,10/22/2025,1,17,BCW,C,ppm_3,728
2,10/22/2025,1,17,BCW,C,ppm_4,732
2,10/22/2025,1,17,BCW,C,ppm_5,736
2,10/22/2025,1,17,BCW,C,ppm_6,740
2,10/22/2025,1,22,SCD,D,ppm _room,716
2,10/22/2025,1,22,SCD,D,ppm_0,714
2,10/22/2025,1,22,SCD,D,ppm_1,728
2,10/22/2025,1,22,SCD,D,ppm_2,738
2,10/22/2025,1,22,SCD,D,ppm_3,747
2,10/22/2025,1,22,SCD,D,ppm_4,756
2,10/22/2025,1,22,SCD,D,ppm_5,765
2,10/22/2025,1,22,SCD,D,ppm_6,773
2,10/22/2025,1,21,SCW,E,ppm _room,718
2,10/22/2025,1,21,SCW,E,ppm_0,719
2,10/22/2025,1,21,SCW,E,ppm_1,727
2,10/22/2025,1,21,SCW,E,ppm_2,734
2,10/22/2025,1,21,SCW,E,ppm_3,741
2,10/22/2025,1,21,SCW,E,ppm_4,748
2,10/22/2025,1,21,SCW,E,ppm_5,756
2,10/22/2025,1,21,SCW,E,ppm_6,763
2,10/22/2025,1,24,SUD,F,ppm _room,688
2,10/22/2025,1,24,SUD,F,ppm_0,691
2,10/22/2025,1,24,SUD,F,ppm_1,697
2,10/22/2025,1,24,SUD,F,ppm_2,702
2,10/22/2025,1,24,SUD,F,ppm_3,708
2,10/22/2025,1,24,SUD,F,ppm_4,712
2,10/22/2025,1,24,SUD,F,ppm_5,718
2,10/22/2025,1,24,SUD,F,ppm_6,722
2,10/22/2025,1,18,BUW,G,ppm _room,643
2,10/22/2025,1,18,BUW,G,ppm_0,646
2,10/22/2025,1,18,BUW,G,ppm_1,652
2,10/22/2025,1,18,BUW,G,ppm_2,658
2,10/22/2025,1,18,BUW,G,ppm_3,664
2,10/22/2025,1,18,BUW,G,ppm_4,668
2,10/22/2025,1,18,BUW,G,ppm_5,673
2,10/22/2025,1,18,BUW,G,ppm_6,677
2,10/22/2025,1,23,SUW,H,ppm _room,647
2,10/22/2025,1,23,SUW,H,ppm_0,658
2,10/22/2025,1,23,SUW,H,ppm_1,668
2,10/22/2025,1,23,SUW,H,ppm_2,677
2,10/22/2025,1,23,SUW,H,ppm_3,685
2,10/22/2025,1,23,SUW,H,ppm_4,694
2,10/22/2025,1,23,SUW,H,ppm_5,701
2,10/22/2025,1,23,SUW,H,ppm_6,709
2,10/22/2025,2,20,BUD,A,ppm _room,634
2,10/22/2025,2,20,BUD,A,ppm_0,633
2,10/22/2025,2,20,BUD,A,ppm_1,639
2,10/22/2025,2,20,BUD,A,ppm_2,643
2,10/22/2025,2,20,BUD,A,ppm_3,649
2,10/22/2025,2,20,BUD,A,ppm_4,653
2,10/22/2025,2,20,BUD,A,ppm_5,658
2,10/22/2025,2,20,BUD,A,ppm_6,663
2,10/22/2025,2,19,BCD,B,ppm _room,652
2,10/22/2025,2,19,BCD,B,ppm_0,651
2,10/22/2025,2,19,BCD,B,ppm_1,654
2,10/22/2025,2,19,BCD,B,ppm_2,656
2,10/22/2025,2,19,BCD,B,ppm_3,658
2,10/22/2025,2,19,BCD,B,ppm_4,660
2,10/22/2025,2,19,BCD,B,ppm_5,662
2,10/22/2025,2,19,BCD,B,ppm_6,665
2,10/22/2025,2,17,BCW,C,ppm _room,675
2,10/22/2025,2,17,BCW,C,ppm_0,676
2,10/22/2025,2,17,BCW,C,ppm_1,683
2,10/22/2025,2,17,BCW,C,ppm_2,689
2,10/22/2025,2,17,BCW,C,ppm_3,696
2,10/22/2025,2,17,BCW,C,ppm_4,700
2,10/22/2025,2,17,BCW,C,ppm_5,707
2,10/22/2025,2,17,BCW,C,ppm_6,712
2,10/22/2025,2,22,SCD,D,ppm _room,653
2,10/22/2025,2,22,SCD,D,ppm_0,660
2,10/22/2025,2,22,SCD,D,ppm_1,677
2,10/22/2025,2,22,SCD,D,ppm_2,689
2,10/22/2025,2,22,SCD,D,ppm_3,700
2,10/22/2025,2,22,SCD,D,ppm_4,709
2,10/22/2025,2,22,SCD,D,ppm_5,718
2,10/22/2025,2,22,SCD,D,ppm_6,728
2,10/22/2025,2,21,SCW,E,ppm _room,666
2,10/22/2025,2,21,SCW,E,ppm_0,668
2,10/22/2025,2,21,SCW,E,ppm_1,677
2,10/22/2025,2,21,SCW,E,ppm_2,687
2,10/22/2025,2,21,SCW,E,ppm_3,696
2,10/22/2025,2,21,SCW,E,ppm_4,705
2,10/22/2025,2,21,SCW,E,ppm_5,713
2,10/22/2025,2,21,SCW,E,ppm_6,722
2,10/22/2025,2,24,SUD,F,ppm _room,667
2,10/22/2025,2,24,SUD,F,ppm_0,666
2,10/22/2025,2,24,SUD,F,ppm_1,675
2,10/22/2025,2,24,SUD,F,ppm_2,682
2,10/22/2025,2,24,SUD,F,ppm_3,688
2,10/22/2025,2,24,SUD,F,ppm_4,693
2,10/22/2025,2,24,SUD,F,ppm_5,699
2,10/22/2025,2,24,SUD,F,ppm_6,704
2,10/22/2025,2,18,BUW,G,ppm _room,717
2,10/22/2025,2,18,BUW,G,ppm_0,723
2,10/22/2025,2,18,BUW,G,ppm_1,725
2,10/22/2025,2,18,BUW,G,ppm_2,729
2,10/22/2025,2,18,BUW,G,ppm_3,732
2,10/22/2025,2,18,BUW,G,ppm_4,735
2,10/22/2025,2,18,BUW,G,ppm_5,739
2,10/22/2025,2,18,BUW,G,ppm_6,743
2,10/22/2025,2,23,SUW,H,ppm _room,777
2,10/22/2025,2,23,SUW,H,ppm_0,782
2,10/22/2025,2,23,SUW,H,ppm_1,792
2,10/22/2025,2,23,SUW,H,ppm_2,799
2,10/22/2025,2,23,SUW,H,ppm_3,805
2,10/22/2025,2,23,SUW,H,ppm_4,812
2,10/22/2025,2,23,SUW,H,ppm_5,819
2,10/22/2025,2,23,SUW,H,ppm_6,825
2,10/22/2025,6,20,BUD,A,ppm _room,509
2,10/22/2025,6,20,BUD,A,ppm_0,533
2,10/22/2025,6,20,BUD,A,ppm_1,539
2,10/22/2025,6,20,BUD,A,ppm_2,542
2,10/22/2025,6,20,BUD,A,ppm_3,546
2,10/22/2025,6,20,BUD,A,ppm_4,550
2,10/22/2025,6,20,BUD,A,ppm_5,554
2,10/22/2025,6,20,BUD,A,ppm_6,558
2,10/22/2025,6,19,BCD,B,ppm _room,690
2,10/22/2025,6,19,BCD,B,ppm_0,693
2,10/22/2025,6,19,BCD,B,ppm_1,694
2,10/22/2025,6,19,BCD,B,ppm_2,696
2,10/22/2025,6,19,BCD,B,ppm_3,697
2,10/22/2025,6,19,BCD,B,ppm_4,699
2,10/22/2025,6,19,BCD,B,ppm_5,701
2,10/22/2025,6,19,BCD,B,ppm_6,702
2,10/22/2025,6,17,BCW,C,ppm _room,786
2,10/22/2025,6,17,BCW,C,ppm_0,808
2,10/22/2025,6,17,BCW,C,ppm_1,811
2,10/22/2025,6,17,BCW,C,ppm_2,814
2,10/22/2025,6,17,BCW,C,ppm_3,818
2,10/22/2025,6,17,BCW,C,ppm_4,822
2,10/22/2025,6,17,BCW,C,ppm_5,826
2,10/22/2025,6,17,BCW,C,ppm_6,830
2,10/22/2025,6,22,SCD,D,ppm _room,735
2,10/22/2025,6,22,SCD,D,ppm_0,740
2,10/22/2025,6,22,SCD,D,ppm_1,751
2,10/22/2025,6,22,SCD,D,ppm_2,760
2,10/22/2025,6,22,SCD,D,ppm_3,767
2,10/22/2025,6,22,SCD,D,ppm_4,775
2,10/22/2025,6,22,SCD,D,ppm_5,782
2,10/22/2025,6,22,SCD,D,ppm_6,789
2,10/22/2025,6,21,SCW,E,ppm _room,727
2,10/22/2025,6,21,SCW,E,ppm_0,726
2,10/22/2025,6,21,SCW,E,ppm_1,736
2,10/22/2025,6,21,SCW,E,ppm_2,749
2,10/22/2025,6,21,SCW,E,ppm_3,760
2,10/22/2025,6,21,SCW,E,ppm_4,769
2,10/22/2025,6,21,SCW,E,ppm_5,779
2,10/22/2025,6,21,SCW,E,ppm_6,788
2,10/22/2025,6,24,SUD,F,ppm _room,727
2,10/22/2025,6,24,SUD,F,ppm_0,729
2,10/22/2025,6,24,SUD,F,ppm_1,736
2,10/22/2025,6,24,SUD,F,ppm_2,744
2,10/22/2025,6,24,SUD,F,ppm_3,749
2,10/22/2025,6,24,SUD,F,ppm_4,755
2,10/22/2025,6,24,SUD,F,ppm_5,762
2,10/22/2025,6,24,SUD,F,ppm_6,768
