run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm
4;11.11.2025;1;35;BCW;A;ppm _room;535
4;11.11.2025;1;35;BCW;A;ppm_0;544
4;11.11.2025;1;35;BCW;A;ppm_1;546
4;11.11.2025;1;35;BCW;A;ppm_2;550
4;11.11.2025;1;35;BCW;A;ppm_3;554
4;11.11.2025;1;35;BCW;A;ppm_4;558
4;11.11.2025;1;35;BCW;A;ppm_5;563
4;11.11.2025;1;35;BCW;A;ppm_6;567
4;11.11.2025;1;40;SCW;B;ppm _room;675
4;11.11.2025;1;40;SCW;B;ppm_0;678
4;11.11.2025;1;40;SCW;B;ppm_1;679
4;11.11.2025;1;40;SCW;B;ppm_2;684
4;11.11.2025;1;40;SCW;B;ppm_3;689
4;11.11.2025;1;40;SCW;B;ppm_4;695
4;11.11.2025;1;40;SCW;B;ppm_5;701
4;11.11.2025;1;40;SCW;B;ppm_6;707
4;11.11.2025;1;36;BCD;C;ppm _room;721
4;11.11.2025;1;36;BCD;C;ppm_0;733
4;11.11.2025;1;36;BCD;C;ppm_1;735
4;11.11.2025;1;36;BCD;C;ppm_2;736
4;11.11.2025;1;36;BCD;C;ppm_3;738
4;11.11.2025;1;36;BCD;C;ppm_4;741
4;11.11.2025;1;36;BCD;C;ppm_5;743
4;11.11.2025;1;36;BCD;C;ppm_6;746
4;11.11.2025;1;39;SUD;D;ppm _room;704
4;11.11.2025;1;39;SUD;D;ppm_0;705
4;11.11.2025;1;39;SUD;D;ppm_1;715
4;11.11.2025;1;39;SUD;D;ppm_2;719
4;11.11.2025;1;39;SUD;D;ppm_3;724
4;11.11.2025;1;39;SUD;D;ppm_4;728
4;11.11.2025;1;39;SUD;D;ppm_5;732
4;11.11.2025;1;39;SUD;D;ppm_6;736
4;11.11.2025;1;33;BUW;E;ppm _room;684
4;11.11.2025;1;33;BUW;E;ppm_0;696
4;11.11.2025;1;33;BUW;E;ppm_1;712
4;11.11.2025;1;33;BUW;E;ppm_2;726
4;11.11.2025;1;33;BUW;E;ppm_3;739
4;11.11.2025;1;33;BUW;E;ppm_4;750
4;11.11.2025;1;33;BUW;E;ppm_5;761
4;11.11.2025;1;33;BUW;E;ppm_6;774
4;11.11.2025;1;37;SUW;F;ppm _room;664
