Gosha's id. nr. ,run,tt,treatment,layer,Mic N (ug/g),Mic C (ug/g),Mic C/N,DTN (ug/g),15N-DTN (ug/g),13C-DOC (ug/g),Mic 15N (ng/g),Mic 13C (ng/g) ,DOC (ug/g),comment
1,1,A,SCW,top,42.70049137,478.8776829,11.21480497,5.761644966,-0.00019088,0.00058909,3.400416945,-12.4823537,113.4189873,
2,1,B,BUW,top,52.92406351,353.0550027,6.670973075,2.381847683,-1.37988E-05,-8.59258E-05,6.428701629,-2.90784495,26.20638963,
3,1,C,BCW,top,45.84192857,298.4503969,6.510424107,0.891173425,7.3393E-06,-0.000390242,-0.696801767,-3.554334461,13.85200213,
4,1,D,BCD,top,26.77819687,188.2045753,7.028276629,5.072241576,-0.000100371,-0.000339186,13.90505815,-8.033637559,41.26932695,
5,1,E,SUW,top,44.25783218,450.8393673,10.18665726,3.466917123,-6.79305E-05,-0.000618225,6.80392426,-13.0234648,60.3437494,
6,1,F,SCD,top,,1784.166263,,6.180286788,-0.000112655,-0.000550617,,-11.1302368,117.7867366,removed negative mic N
7,1,G,SUD,top,79.57261367,1098.145153,13.80054145,3.913176156,1.98748E-05,-0.000801801,-3.152114864,-21.32626208,70.87503804,
8,1,H,BUD,top,54.04166006,340.8100386,6.306431709,0.352490748,1.3273E-05,-0.000714774,-1.606202684,0.66406394,4.877205045,
9,2,A,BUD,top,34.47922553,232.8923932,6.754571473,8.431489257,0.04570265,0.033542247,316.7857026,268.7867715,96.8175374,
10,2,B,BCD,top,17.10874778,123.648193,7.227191292,1.744509483,0.008418348,0.01041302,55.78190307,45.7384589,25.09113892,
11,2,C,BCW,top,45.74721041,242.7345724,5.305997245,7.417406183,0.024193383,0.008713624,370.48935,228.2223335,77.72156104,
12,2,D,SCD,top,-10.67447536,-94.3642596,8.840177752,13.96136084,0.066233391,0.13674081,4.310663117,-217.7903409,216.6741979,
13,2,E,SCW,top,30.65767357,283.9014381,9.260371224,5.672677307,0.043613665,0.047917306,137.4785633,-2.594217208,103.5709754,
14,2,F,SUD,top,80.62700113,751.8777794,9.32538441,3.463833943,0.018808802,0.024386131,636.2409187,726.6576458,64.46901787,
15,2,G,BUW,top,52.66995787,281.4286664,5.343248369,2.399308392,0.016929787,-0.000316015,265.9729148,164.2505829,20.20329623,
16,2,H,SUW,top,78.73263194,488.1388357,6.19995577,7.557414357,0.035929983,0.038841571,358.8122922,393.3393298,121.5481165,
17,3,A,BCD,top,65.9713193,541.6429241,8.210278798,1.583354974,0.01743802,-5.99655E-05,536.7591319,396.7861891,19.74500677,
18,3,B,BCW,top,52.98252755,281.7539842,5.317866044,4.323598985,0.014741945,0.013053937,364.2263412,314.6659373,54.39243792,
19,3,C,BUD,top,76.16595248,591.5310959,7.766345416,2.184348342,0.004599687,0.000478612,410.2372194,269.886732,28.12794424,
20,3,D,SUW,top,88.07094605,647.4981568,7.352006375,8.999545932,0.042665457,0.04795952,320.0942277,1442.242813,124.8899333,
21,3,E,SCD,top,7.781270945,39.08579061,5.023059971,8.826144207,0.050494919,0.056636976,225.5267423,242.9919462,134.0226066,
22,3,F,SUD,top,4.786925899,97.49820873,20.36760351,5.797556318,0.027477118,0.025316072,98.75575447,39.3367679,95.8943542,
23,3,G,BUW,top,78.0284538,445.8429276,5.713850601,2.200696382,0.005421217,0.001326665,315.0628556,188.0403394,27.17281982,
24,3,H,SCW,top,14.83590124,103.0710865,6.947409859,9.024023911,0.035897385,0.036509578,100.9995914,23.75832544,130.7752044,
25,4,A,BCW,top,18.67637536,146.6811115,7.853831844,2.302791162,0.005664258,0.002056767,100.6447823,88.13682673,34.2866008,
26,4,B,SCW,top,34.39450154,379.4228482,11.03149722,7.455337467,0.002323371,0.002852379,7.768361217,-8.815613646,127.6577632,
27,4,C,BCD,top,8.379558531,73.44262564,8.764498197,1.217298826,0.002744114,0.000368107,120.6404069,99.89096392,18.14616443,
28,4,D,SUD,top,13.78563426,98.27509223,7.128804549,8.536116952,0.045500214,0.036187522,112.0699089,26.66648911,95.27214675,
29,4,E,BUW,top,36.74070763,339.5322633,9.241309851,1.718618762,0.005204201,0.003513534,213.1290174,135.6725615,25.72631099,
30,4,F,SUW,top,34.45762472,245.7035637,7.130600721,8.995684475,0.028547544,0.0275641,308.8121969,110.1194211,109.8722494,
31,4,G,BUD,top,24.86588703,205.3326234,8.257603003,1.907255074,0.002034809,0.00042798,252.2447151,175.2572113,30.79848588,
32,4,H,SCD,top,10.85988573,153.4830411,14.13302541,6.434897745,0.006495584,0.006698663,64.83585337,27.69769485,92.9537463,
33,5,A,SUW,top,,,,8.326255406,0.038379809,0.040202766,,,151.0459847,fum sample lost
34,5,B,SUD,top,10.21517707,167.9777673,16.44394083,3.050913448,0.009287577,0.014373358,112.5534248,50.59960055,76.94193686,
35,5,C,SCW,top,18.67357359,377.6504128,20.22378903,2.217654355,0.003883955,0.004744903,268.0741284,124.8926147,46.60346176,
36,5,D,BUD,top,8.035579333,83.69875812,10.41602038,2.799155318,0.009081378,0.00909417,282.3860162,200.8792136,45.31683799,
37,5,E,BCD,top,3.914712616,61.12037182,15.61299074,1.48669426,0.000433862,0.000394421,17.05412639,12.81493281,45.21561104,
38,5,F,BCW,top,16.86057682,180.3658277,10.69748856,1.667575462,0.003862778,0.004010471,130.5376755,73.71001371,33.06093583,
39,5,G,SCD,top,19.44172034,256.897029,13.2136984,4.757028381,0.021315349,0.028139277,287.4121032,106.4934425,117.8129156,
40,5,H,BUW,top,21.64052424,232.5475265,10.74592851,0.597330768,0.000302273,-0.000352294,109.2750942,95.79872413,9.658810094,
41,6,A,SCD,top,13.44228261,183.5650711,13.65579615,5.850779454,0.021349111,0.023255482,140.2807369,31.38269492,125.6623029,
42,6,B,BUD,top,25.63491071,202.5756817,7.902336153,1.670942372,0.000553799,0.000405017,132.218644,75.5086316,25.71295363,
43,6,C,SUD,top,5.127053045,13.15942778,2.566665034,10.7600657,0.005328788,0.003502953,95.2609618,36.3290053,155.8259682,
44,6,D,SCW,top,26.41145752,240.9772008,9.123964499,2.296012042,0.009306606,0.012637153,311.8835645,144.4780671,49.78011704,
45,6,E,BCW,top,8.884266554,98.26368097,11.06041567,1.613088306,0.003206874,0.003068051,129.0562475,106.5690436,24.57226277,
46,6,F,BUW,top,15.77187336,149.6051966,9.485569229,0.625346352,0.000607599,0.001008608,90.26198922,73.22895272,11.15071373,
47,6,G,SUW,top,14.45944751,186.2606439,12.88158789,6.143060581,0.03787198,0.046624512,101.2292608,-6.086429316,117.6363324,
48,6,H,BCD,top,8.541641291,100.2844973,11.74065895,1.544855378,0.000317749,-9.26056E-05,0.537856608,-4.653523606,25.4988615,
97,1,A,SCW,mid,37.42183008,299.4622709,8.002341688,4.472144403,-3.31081E-05,0.001085337,-0.316197377,2.974892899,50.91537571,
98,1,B,BUW,mid,12.20016614,102.5667513,8.406996278,3.200367392,-1.83631E-05,0.000882248,0.358536973,1.983223435,39.80694303,
99,1,C,BCW,mid,6.936589991,69.74316294,10.05438739,1.243953561,2.45716E-05,0.000415234,0.440747331,1.038289464,16.01678701,
100,1,D,BCD,mid,7.368689749,46.83899446,6.356488881,4.246189114,6.84524E-05,0.0009315,0.078911883,0.954117647,50.92136092,
101,1,E,SUW,mid,18.47496066,189.4643637,10.25519714,1.43189563,5.60124E-05,0.000671416,0.285344212,1.785066356,17.29480023,
102,1,F,SCD,mid,24.24494194,242.4318945,9.999277173,1.383128283,-1.74741E-05,0.0004034,0.26460584,2.724992074,19.80286567,
103,1,G,SUD,mid,55.2157624,496.4784489,8.991607238,1.171117366,-4.8819E-07,0.0005282,-0.930146311,2.938345026,15.63591919,
104,1,H,BUD,mid,27.34244518,294.9799755,10.78835391,1.832242872,-0.000005929,0.000694857,-0.142396532,3.16744625,26.1308858,
105,2,A,BUD,mid,-3.14414054,-30.72129527,9.770967576,2.966961751,0.037444337,0.018591221,16.48337052,160.5329046,35.72747758,
106,2,B,BCD,mid,-7.887819841,-89.106892,11.29677069,4.447687278,0.023097629,0.005668763,-50.25075579,-1.457890192,52.83471472,
107,2,C,BCW,mid,3.150576595,26.97246526,8.561120306,1.34157091,0.009755947,0.001350275,37.77557043,84.1924844,16.9081719,
108,2,D,SCD,mid,-5.801944967,-51.06178458,8.800804708,6.404764899,0.01708587,0.010858442,10.7552798,41.10065937,69.18065339,
109,2,E,SCW,mid,6.506222931,42.61971431,6.550607744,2.453145695,0.005009669,0.003152489,94.5650603,117.0748048,31.59421191,
110,2,F,SUD,mid,5.846115841,40.47172414,6.922839923,1.123071869,0.000638648,0.001236195,22.55701967,34.73059997,15.6768927,
111,2,G,BUW,mid,1.474808288,18.68856025,12.67185735,0.980316902,0.002328969,0.001670548,42.15957347,87.45751661,11.4517833,
112,2,H,SUW,mid,3.689124079,37.42823542,10.14556155,2.988084849,0.002202527,0.003521082,75.14482332,112.1875602,41.8409205,
113,3,A,BCD,mid,18.80547355,177.7130008,9.450067841,1.171858954,0.001799277,0.000530457,28.85673629,41.05056887,13.48011338,
114,3,B,BCW,mid,6.879995256,74.48569648,10.82641684,1.008680498,0.002296265,0.000974013,115.806768,193.9113338,12.44352871,
115,3,C,BUD,mid,8.64148803,124.1253002,14.36388036,1.420867798,0.00095228,0.001073601,29.21123231,43.24740235,16.97372536,
116,3,D,SUW,mid,19.54685529,149.399555,7.643150405,10.63021026,0.003915068,0.004345737,107.5604257,115.1274593,119.7290234,
117,3,E,SCD,mid,11.73555263,114.4396316,9.751533237,3.040201508,0.001399867,0.002912018,135.0994484,135.9467279,43.35341162,
118,3,F,SUD,mid,3.739620584,48.37092956,12.93471583,2.66844141,0.003362478,0.004376992,84.6379127,122.8283183,36.15214765,
