run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,BCD,top,fine,1,A1,1,4.18,,445,EliseLabRoots_1.raw,3.7327805,0.2,6.038832,-27.27066817,4.18,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.045737998,1.67277398,1.094210474,40.01851627,36.57296033,0.2,-28.88029011,0.366,4.106293093,0.367752066,0.001752066,10.94210474,0.191712856,17.52065628,1.08,-28.88029011,1.079467558,-0.000532442,400.1851627,-2.13075266,-5.324416943
1,BCD,top,coarse,1,A2,2,5.109,,446,EliseLabRoots_2.raw,5.932409,2.9,6.91972,-26.10650109,5.109,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.072690186,1.916782511,1.42278697,37.51776299,26.3692062,2.9,-27.71612303,0.366,6.806293093,0.368737289,0.002737289,14.2278697,0.389457953,27.37289283,1.08,-27.71612303,1.080747626,0.000747626,375.1776299,2.804925826,7.47626085
1,BCD,middle,fine,1,A3,3,5.155,,447,EliseLabRoots_3.raw,6.9474095,-0.18,6.8761985,-26.15024355,5.155,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.085127052,1.904726929,1.651349219,36.94911599,22.37510732,-0.18,-27.75986549,0.366,3.726293093,0.367613403,0.001613403,16.51349219,0.266429171,16.13402957,1.08,-27.75986549,1.080699529,0.000699529,369.4911599,2.584699179,6.995293688
1,BCD,middle,coarse,1,A4,4,4.683,,448,EliseLabRoots_4.raw,4.375095,2.86,6.46764,-25.92274515,4.683,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.053608318,1.79155504,1.144743079,38.25656715,33.41934783,2.86,-27.53236709,0.366,6.766293093,0.368722694,0.002722694,11.44743079,0.311678456,27.22693519,1.08,-27.53236709,1.080949673,0.000949673,382.5656715,3.633123439,9.496731435
1,BCD,bottom,fine,1,A5,5,4.696,,449,EliseLabRoots_5.raw,5.1756535,-2.333297332,5.9709085,-25.388979,4.696,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.063417613,1.653958973,1.350460239,35.22059143,26.0804357,1.572995761,-26.99860094,0.366,1.572995761,0.366827654,0.000827654,13.50460239,0.111771337,8.276536675,1.08,-26.99860094,1.081536566,0.001536566,352.2059143,5.411875784,15.36565845
1,BCD,bottom,coarse,1,A6,6,4.723,,450,EliseLabRoots_6.raw,4.921928,-1.38769489,6.4662785,-25.31031884,4.723,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.060308698,1.7911779,1.276915056,37.92457972,29.70015864,2.518598203,-26.91994078,0.366,2.518598203,0.36717271,0.00117271,12.76915056,0.149745156,11.72710396,1.08,-26.91994078,1.081623055,0.001623055,379.2457972,6.155366274,16.23054578
1,BCW,top,fine,1,A7,7,4.793,,451,EliseLabRoots_7.raw,6.0870505,-5.45518786,6.34921,-26.89585389,4.793,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.074585018,1.758749586,1.556123899,36.69412865,23.58046726,-1.548894767,-28.50547583,0.366,-1.548894767,0.365688438,-0.000311562,15.56123899,-0.048482951,-3.115622797,1.08,-28.50547583,1.079879691,-0.000120309,366.9412865,-0.441461591,-1.203085091
1,BCW,top,coarse,1,A8,8,5.073,,452,EliseLabRoots_8.raw,7.876896,-5.798551854,6.7503,-24.75499231,5.073,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.09651611,1.86985268,1.902545036,36.85891346,19.37347751,-1.892258761,-26.36461425,0.366,-1.892258761,0.365563138,-0.000436862,19.02545036,-0.083114883,-4.368615808,1.08,-26.36461425,1.082233645,0.002233645,368.5891346,8.2329733,22.33645143
1,BCW,middle,fine,1,A9,9,4.155,,453,EliseLabRoots_9.raw,4.3550685,-7.51517456,5.27768,-26.18624847,4.155,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.053362932,1.461932668,1.284306436,35.18490176,27.3960332,-3.608881466,-27.79587041,0.366,-3.608881466,0.364936709,-0.001063291,12.84306436,-0.136559126,-10.63290829,1.08,-27.79587041,1.08065994,0.00065994,351.8490176,2.321993722,6.599403739
1,BCW,middle,coarse,1,A10,10,4.887,,454,EliseLabRoots_10.raw,5.4167645,-5.381413389,6.3869325,-25.09955523,4.887,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.066371961,1.769198828,1.358133033,36.20214504,26.6558166,-1.475120296,-26.70917717,0.366,-1.475120296,0.365715359,-0.000284641,13.58133033,-0.038658004,-2.846407742,1.08,-26.70917717,1.081854793,0.001854793,362.0214504,6.714750268,18.54793483
1,BCW,bottom,fine,1,A11,11,4.338,,455,EliseLabRoots_11.raw,4.8754125,-4.518629141,5.9359295,-26.1197089,4.338,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.059738741,1.644269689,1.377103289,37.90386558,27.52434467,-0.612336048,-27.72933084,0.366,-0.612336048,0.366030202,3.02022E-05,13.77103289,0.004159149,0.302021602,1.08,-27.72933084,1.080733104,0.000733104,379.0386558,2.778745755,7.331035271
