run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,BCD,top,fine,1,A1,1,4.18,,1.094,40.02,36.57,3.53,-28.88,0.366,3.53,0.368,0.002,10.9,0.2,15.4,1.08,-28.88,1.079,-0.001,400,-2.13,-5.32
1,BCD,top,coarse,1,A2,2,5.109,"do not use 15N, redo",1.423,37.52,26.37,6.20,-27.72,0.366,6.20,0.369,0.003,14.2,0.4,25.2,1.08,-27.72,1.081,0.001,375,2.80,7.48
1,BCD,middle,fine,1,A3,3,5.155,,1.651,36.95,22.38,3.48,-27.76,0.366,3.48,0.368,0.002,16.5,0.3,15.2,1.08,-27.76,1.081,0.001,369,2.58,7.00
1,BCD,middle,coarse,1,A4,4,4.683,"do not use 15N, redo",1.145,38.26,33.42,3.48,-27.53,0.366,12.67,0.371,0.005,11.4,0.6,48.8,1.08,-27.53,1.081,0.001,383,3.63,9.50
1,BCD,bottom,fine,1,A5,5,4.696,,1.350,35.22,26.08,1.57,-27.00,0.366,1.57,0.367,0.001,13.5,0.1,8.3,1.08,-27.00,1.082,0.002,352,5.41,15.37
1,BCD,bottom,coarse,1,A6,6,4.723,,1.277,37.92,29.70,2.52,-26.92,0.366,2.52,0.367,0.001,12.8,0.1,11.7,1.08,-26.92,1.082,0.002,379,6.16,16.23
1,BCW,top,fine,1,A7,7,4.793,,1.556,36.69,23.58,-1.55,-28.51,0.366,-1.55,0.366,0.000,15.6,0.0,-3.1,1.08,-28.51,1.080,0.000,367,-0.44,-1.20
1,BCW,top,coarse,1,A8,8,5.073,,1.903,36.86,19.37,-1.89,-26.36,0.366,-1.89,0.366,0.000,19.0,-0.1,-4.4,1.08,-26.36,1.082,0.002,369,8.23,22.34
1,BCW,middle,fine,1,A9,9,4.155,,1.284,35.18,27.40,-3.61,-27.80,0.366,-3.61,0.365,-0.001,12.8,-0.1,-10.6,1.08,-27.80,1.081,0.001,352,2.32,6.60
1,BCW,middle,coarse,1,A10,10,4.887,,1.358,36.20,26.66,-1.48,-26.71,0.366,-1.48,0.366,0.000,13.6,0.0,-2.8,1.08,-26.71,1.082,0.002,362,6.71,18.55
