run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,,,,,,,,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C),,
1,BCD,top,fine,1,A1,1,4.18,,,,,,,,,445,EliseLabRoots_1.raw,3.73,-0.37,6.04,-27.27,4.18,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.04573800,1.67277398,1.09421047,40.01851627,36.57296033,3.53490512,-28.88029011,0.36600000,3.53490512,0.36754357,0.00154357,10.94210474,0.16889850,15.43565003,1.08000000,-28.88029011,1.07946756,-0.00053244,400.18516268,-2.13075266,-5.32441694,,
1,BCD,top,coarse,1,A2,2,5.109,,,,,,,,,446,EliseLabRoots_2.raw,5.93,2.30,6.92,-26.11,5.109,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.07269019,1.91678251,1.42278697,37.51776299,26.36920620,6.20211904,-27.71612303,0.36600000,6.20211904,0.36851683,0.00251683,14.22786970,0.35809119,25.16829282,1.08000000,-27.71612303,1.08074763,0.00074763,375.17762988,2.80492583,7.47626085,2.51683E-05,2.51683E-05
1,BCD,middle,fine,1,A3,3,5.155,,,,,,,,,447,EliseLabRoots_3.raw,6.95,-0.43,6.88,-26.15,5.155,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.08512705,1.90472693,1.65134922,36.94911599,22.37510732,3.48038921,-27.75986549,0.36600000,3.48038921,0.36752367,0.00152367,16.51349219,0.25161145,15.23671989,1.08000000,-27.75986549,1.08069953,0.00069953,369.49115991,2.58469918,6.99529369,1.52367E-05,
1,BCD,middle,coarse,1,A4,4,4.683,,,,,,,,,448,EliseLabRoots_4.raw,4.38,8.76,6.47,-25.92,4.683,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05360832,1.79155504,1.14474308,38.25656715,33.41934783,12.66556081,-27.53236709,0.36600000,12.66556081,0.37087526,0.00487526,11.44743079,0.55809147,48.75255283,1.08000000,-27.53236709,1.08094967,0.00094967,382.56567153,3.63312344,9.49673144,4.87526E-05,
1,BCD,bottom,fine,1,A5,5,4.696,,,,,,,,,449,EliseLabRoots_5.raw,5.18,-2.33,5.97,-25.39,4.696,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.06341761,1.65395897,1.35046024,35.22059143,26.08043570,1.57299576,-26.99860094,0.36600000,1.57299576,0.36682765,0.00082765,13.50460239,0.11177134,8.27653668,1.08000000,-26.99860094,1.08153657,0.00153657,352.20591429,5.41187578,15.36565845,8.27654E-06,
1,BCD,bottom,coarse,1,A6,6,4.723,,,,,,,,,450,EliseLabRoots_6.raw,4.92,-1.39,6.47,-25.31,4.723,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.06030870,1.79117790,1.27691506,37.92457972,29.70015864,2.51859820,-26.91994078,0.36600000,2.51859820,0.36717271,0.00117271,12.76915056,0.14974516,11.72710396,1.08000000,-26.91994078,1.08162305,0.00162305,379.24579723,6.15536627,16.23054578,,
1,BCW,top,fine,1,A7,7,4.793,,,,,,,,,451,EliseLabRoots_7.raw,6.09,-5.46,6.35,-26.90,4.793,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.07458502,1.75874959,1.55612390,36.69412865,23.58046726,-1.54889477,-28.50547583,0.36600000,-1.54889477,0.36568844,-0.00031156,15.56123899,-0.04848295,-3.11562280,1.08000000,-28.50547583,1.07987969,-0.00012031,366.94128652,-0.44146159,-1.20308509,,
1,BCW,top,coarse,1,A8,8,5.073,,,,,,,,,452,EliseLabRoots_8.raw,7.88,-5.80,6.75,-24.75,5.073,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.09651611,1.86985268,1.90254504,36.85891346,19.37347751,-1.89225876,-26.36461425,0.36600000,-1.89225876,0.36556314,-0.00043686,19.02545036,-0.08311488,-4.36861581,1.08000000,-26.36461425,1.08223365,0.00223365,368.58913457,8.23297330,22.33645143,,
1,BCW,middle,fine,1,A9,9,4.155,,,,,,,,,453,EliseLabRoots_9.raw,4.36,-7.52,5.28,-26.19,4.155,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05336293,1.46193267,1.28430644,35.18490176,27.39603320,-3.60888147,-27.79587041,0.36600000,-3.60888147,0.36493671,-0.00106329,12.84306436,-0.13655913,-10.63290829,1.08000000,-27.79587041,1.08065994,0.00065994,351.84901762,2.32199372,6.59940374,,
