nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,1,A,SCW,equisetum,1,A1,3.968,,379,EliseLabAboveTray1_1.raw,9.821551,-2.397432251,5.68512,-27.6449958,3.968,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.108807709,1.582734319,2.742129775,39.88745763,14.5461597,-2.334078084,-27.74479171,0.366,-2.334078084,0.365401911,-0.000598089,27.42129775,-0.164003862,-5.980893527,1.077,-27.74479171,1.080716104,0.003716104,398.8745763,14.82259263,37.16103635
2,1,B,BUW,equisetum,1,A2,3.647,,380,EliseLabAboveTray1_2.raw,7.336279,-1.858191428,5.139611,-27.24294192,3.647,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.08127471,1.43086491,2.228536071,39.23402549,17.60529076,-1.794837261,-27.34273783,0.366,-1.794837261,0.365598689,-0.000401311,22.28536071,-0.08943356,-4.013108035,1.077,-27.34273783,1.081158177,0.004158177,392.3402549,16.31420335,41.58177283
3,1,C,BCW,equisetum,1,A3,3.481,,381,EliseLabAboveTray1_3.raw,8.661264,0.044369519,4.8464275,-26.47311513,3.481,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.095953511,1.349242783,2.756492689,38.76020634,14.06142178,0.107723687,-26.57291104,0.366,0.107723687,0.366292961,0.000292961,27.56492689,0.080754555,2.929612525,1.077,-26.57291104,1.08200462,0.00500462,387.6020634,19.39801158,50.04620308
4,1,D,BCD,equisetum,1,A4,3.775,,382,EliseLabAboveTray1_4.raw,6.033598,0.092358433,4.69679,-26.7614335,3.775,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.066843005,1.307583784,1.770675618,34.63798103,19.56201389,0.1557126,-26.86122942,0.366,0.1557126,0.366310473,0.000310473,17.70675618,0.054974693,3.104729772,1.077,-26.86122942,1.081687609,0.004687609,346.3798103,16.23693128,46.87609035
5,1,E,SUW,equisetum,1,A5,3.576,,383,EliseLabAboveTray1_5.raw,7.8959935,2.90756956,4.7773795,-27.85190605,3.576,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.087475488,1.330019857,2.446182551,37.19294902,15.20448627,2.970923727,-27.95170196,0.366,2.970923727,0.367337766,0.001337766,24.46182551,0.327242032,13.37766195,1.077,-27.95170196,1.080488596,0.003488596,371.9294902,12.97511862,34.88596349
6,1,F,SCD,equisetum,1,A6,3.527,,384,EliseLabAboveTray1_6.raw,7.2399365,0.992212715,4.3038055,-27.67415721,3.527,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.080207383,1.198177113,2.274096498,33.97156543,14.93848896,1.055566882,-27.77395313,0.366,1.055566882,0.366638839,0.000638839,22.74096498,0.145278234,6.388393569,1.077,-27.77395313,1.080684039,0.003684039,339.7156543,12.51525852,36.84039392
7,1,G,SUD,equisetum,1,A7,3.832,,385,EliseLabAboveTray1_7.raw,7.4036355,-0.022375877,4.6113465,-28.16583327,3.832,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.082020917,1.28379636,2.140420593,33.50199269,15.65206053,0.04097829,-28.26562919,0.366,0.04097829,0.366268605,0.000268605,21.40420593,0.057492779,2.686050541,1.077,-28.26562919,1.080143417,0.003143417,335.0199269,10.53107335,31.43417003
8,1,H,BUD,equisetum,1,A8,3.805,,386,EliseLabAboveTray1_8.raw,7.9378475,3.048313299,4.8350445,-27.20298744,3.805,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.087939166,1.346073762,2.311147598,35.37644577,15.3068743,3.111667467,-27.30278336,0.366,3.111667467,0.367389124,0.001389124,23.11147598,0.321047097,13.89124164,1.077,-27.30278336,1.081202109,0.004202109,353.7644577,14.86556649,42.02108542
9,1,A,SCW,bryophyte,1,A9,3.231,,387,EliseLabAboveTray1_9.raw,2.38144425,-1.528594098,4.3878525,-28.75269892,3.231,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.026382747,1.221575752,0.816550507,37.80797746,46.30206842,-1.465239931,-28.85249483,0.366,-1.465239931,0.365718965,-0.000281035,8.165505073,-0.022947949,-2.810352693,1.077,-28.85249483,1.079498121,0.002498121,378.0797746,9.444890913,24.98121177
