,Time,1
S/N,,958943
Type,,TGP-4020
Description,,A_0
Property,,Temperature
1,2025-10-11 21:04:00,-6.229 °C
2,2025-10-11 21:14:00,-6.270 °C
3,2025-10-11 21:24:00,-6.303 °C
4,2025-10-11 21:34:00,-6.333 °C
5,2025-10-11 21:44:00,-6.349 °C
6,2025-10-11 21:54:00,-6.349 °C
7,2025-10-11 22:04:00,-6.337 °C
8,2025-10-11 22:14:00,-6.297 °C
9,2025-10-11 22:24:00,-6.221 °C
10,2025-10-11 22:34:00,-6.229 °C
11,2025-10-11 22:44:00,-6.261 °C
12,2025-10-11 22:54:00,-6.291 °C
13,2025-10-11 23:04:00,-6.326 °C
14,2025-10-11 23:14:00,-6.352 °C
15,2025-10-11 23:24:00,-6.354 °C
16,2025-10-11 23:34:00,-6.352 °C
17,2025-10-11 23:44:00,-6.339 °C
18,2025-10-11 23:54:00,-6.284 °C
19,2025-10-12 00:04:00,-6.215 °C
20,2025-10-12 00:14:00,-6.242 °C
21,2025-10-12 00:24:00,-6.284 °C
22,2025-10-12 00:34:00,-6.111 °C
23,2025-10-12 00:44:00,-6.177 °C
24,2025-10-12 00:54:00,-6.251 °C
25,2025-10-12 01:04:00,-6.286 °C
26,2025-10-12 01:14:00,-6.301 °C
27,2025-10-12 01:24:00,-6.307 °C
28,2025-10-12 01:34:00,-6.280 °C
29,2025-10-12 01:44:00,-6.217 °C
30,2025-10-12 01:54:00,-6.200 °C
31,2025-10-12 02:04:00,-6.244 °C
32,2025-10-12 02:14:00,-6.286 °C
33,2025-10-12 02:24:00,-6.320 °C
34,2025-10-12 02:34:00,-6.345 °C
35,2025-10-12 02:44:00,-6.362 °C
36,2025-10-12 02:54:00,-6.368 °C
37,2025-10-12 03:04:00,-6.352 °C
38,2025-10-12 03:14:00,-6.293 °C
39,2025-10-12 03:24:00,-6.227 °C
40,2025-10-12 03:34:00,-6.246 °C
41,2025-10-12 03:44:00,-6.282 °C
42,2025-10-12 03:54:00,-6.312 °C
43,2025-10-12 04:04:00,-6.349 °C
44,2025-10-12 04:14:00,-6.366 °C
45,2025-10-12 04:24:00,-6.371 °C
46,2025-10-12 04:34:00,-6.371 °C
47,2025-10-12 04:44:00,-6.331 °C
48,2025-10-12 04:54:00,-6.253 °C
49,2025-10-12 05:04:00,-6.244 °C
50,2025-10-12 05:14:00,-6.288 °C
51,2025-10-12 05:24:00,-6.322 °C
52,2025-10-12 05:34:00,-6.350 °C
53,2025-10-12 05:44:00,-6.368 °C
54,2025-10-12 05:54:00,-6.375 °C
55,2025-10-12 06:04:00,-6.371 °C
56,2025-10-12 06:14:00,-6.324 °C
57,2025-10-12 06:24:00,-6.238 °C
58,2025-10-12 06:34:00,-6.248 °C
59,2025-10-12 06:44:00,-6.288 °C
60,2025-10-12 06:54:00,-6.328 °C
61,2025-10-12 07:04:00,-6.360 °C
62,2025-10-12 07:14:00,-6.369 °C
63,2025-10-12 07:24:00,-6.375 °C
64,2025-10-12 07:34:00,-6.366 °C
65,2025-10-12 07:44:00,-6.333 °C
66,2025-10-12 07:54:00,-6.234 °C
67,2025-10-12 08:04:00,-6.257 °C
68,2025-10-12 08:14:00,-6.301 °C
69,2025-10-12 08:24:00,-6.335 °C
70,2025-10-12 08:34:00,-6.168 °C
71,2025-10-12 08:44:00,-6.219 °C
72,2025-10-12 08:54:00,-6.291 °C
73,2025-10-12 09:04:00,-6.308 °C
74,2025-10-12 09:14:00,-6.307 °C
75,2025-10-12 09:24:00,-6.263 °C
76,2025-10-12 09:34:00,-6.198 °C
77,2025-10-12 09:44:00,-6.236 °C
78,2025-10-12 09:54:00,-6.284 °C
79,2025-10-12 10:04:00,-6.310 °C
80,2025-10-12 10:14:00,-6.345 °C
81,2025-10-12 10:24:00,-6.366 °C
82,2025-10-12 10:34:00,-6.373 °C
83,2025-10-12 10:44:00,-6.358 °C
84,2025-10-12 10:54:00,-6.293 °C
85,2025-10-12 11:04:00,-6.225 °C
86,2025-10-12 11:14:00,-6.253 °C
87,2025-10-12 11:24:00,-6.297 °C
88,2025-10-12 11:34:00,-6.331 °C
89,2025-10-12 11:44:00,-6.360 °C
90,2025-10-12 11:54:00,-6.381 °C
91,2025-10-12 12:04:00,-6.375 °C
92,2025-10-12 12:14:00,-6.358 °C
93,2025-10-12 12:24:00,-6.303 °C
94,2025-10-12 12:34:00,-6.230 °C
95,2025-10-12 12:44:00,-6.272 °C
96,2025-10-12 12:54:00,-6.314 °C
97,2025-10-12 13:04:00,-6.354 °C
98,2025-10-12 13:14:00,-6.379 °C
99,2025-10-12 13:24:00,-6.389 °C
100,2025-10-12 13:34:00,-6.377 °C
101,2025-10-12 13:44:00,-6.329 °C
102,2025-10-12 13:54:00,-6.244 °C
103,2025-10-12 14:04:00,-6.259 °C
104,2025-10-12 14:14:00,-6.314 °C
105,2025-10-12 14:24:00,-6.347 °C
106,2025-10-12 14:34:00,-6.379 °C
107,2025-10-12 14:44:00,-6.394 °C
108,2025-10-12 14:54:00,-6.383 °C
109,2025-10-12 15:04:00,-6.347 °C
110,2025-10-12 15:14:00,-6.246 °C
111,2025-10-12 15:24:00,-6.253 °C
112,2025-10-12 15:34:00,-6.295 °C
113,2025-10-12 15:44:00,-6.335 °C
114,2025-10-12 15:54:00,-6.368 °C
115,2025-10-12 16:04:00,-6.389 °C
116,2025-10-12 16:14:00,-6.389 °C
117,2025-10-12 16:24:00,-6.358 °C
118,2025-10-12 16:34:00,-6.358 °C
119,2025-10-12 16:44:00,-6.385 °C
120,2025-10-12 16:54:00,-6.381 °C
121,2025-10-12 17:04:00,-6.343 °C
122,2025-10-12 17:14:00,-6.261 °C
123,2025-10-12 17:24:00,-6.251 °C
124,2025-10-12 17:34:00,-6.297 °C
125,2025-10-12 17:44:00,-6.333 °C
126,2025-10-12 17:54:00,-6.364 °C
127,2025-10-12 18:04:00,-6.394 °C
128,2025-10-12 18:14:00,-6.394 °C
129,2025-10-12 18:24:00,-6.375 °C
130,2025-10-12 18:34:00,-6.312 °C
131,2025-10-12 18:44:00,-6.244 °C
132,2025-10-12 18:54:00,-6.288 °C
133,2025-10-12 19:04:00,-6.329 °C
134,2025-10-12 19:14:00,-6.362 °C
135,2025-10-12 19:24:00,-6.385 °C
136,2025-10-12 19:34:00,-6.394 °C
137,2025-10-12 19:44:00,-6.369 °C
138,2025-10-12 19:54:00,-6.337 °C
