,Time,1
S/N,,957652
Type,,TGP-4020
Description,,"E7,5"
Property,,Temperature
1,2025-10-11 22:30:00,-6.145 °C
2,2025-10-11 22:40:00,-6.413 °C
3,2025-10-11 22:50:00,-6.772 °C
4,2025-10-11 23:00:00,-7.289 °C
5,2025-10-11 23:10:00,-7.904 °C
6,2025-10-11 23:20:00,-8.395 °C
7,2025-10-11 23:30:00,-7.211 °C
8,2025-10-11 23:40:00,-5.632 °C
9,2025-10-11 23:50:00,-5.790 °C
10,2025-10-12 00:00:00,-5.986 °C
11,2025-10-12 00:10:00,-6.219 °C
12,2025-10-12 00:20:00,-6.526 °C
13,2025-10-12 00:30:00,-6.031 °C
14,2025-10-12 00:40:00,-8.905 °C
15,2025-10-12 00:50:00,-8.237 °C
16,2025-10-12 01:00:00,-8.403 °C
17,2025-10-12 01:10:00,-7.346 °C
18,2025-10-12 01:20:00,-5.939 °C
19,2025-10-12 01:30:00,-5.729 °C
20,2025-10-12 01:40:00,-5.884 °C
21,2025-10-12 01:50:00,-6.082 °C
22,2025-10-12 02:00:00,-6.347 °C
23,2025-10-12 02:10:00,-6.647 °C
24,2025-10-12 02:20:00,-7.120 °C
25,2025-10-12 02:30:00,-7.614 °C
26,2025-10-12 02:40:00,-8.228 °C
27,2025-10-12 02:50:00,-7.898 °C
28,2025-10-12 03:00:00,-5.846 °C
29,2025-10-12 03:10:00,-5.758 °C
30,2025-10-12 03:20:00,-5.956 °C
31,2025-10-12 03:30:00,-6.194 °C
32,2025-10-12 03:40:00,-6.471 °C
33,2025-10-12 03:50:00,-6.822 °C
34,2025-10-12 04:00:00,-7.313 °C
35,2025-10-12 04:10:00,-7.933 °C
36,2025-10-12 04:20:00,-8.345 °C
37,2025-10-12 04:30:00,-7.033 °C
38,2025-10-12 04:40:00,-5.664 °C
39,2025-10-12 04:50:00,-5.874 °C
40,2025-10-12 05:00:00,-6.120 °C
41,2025-10-12 05:10:00,-6.446 °C
42,2025-10-12 05:20:00,-6.826 °C
43,2025-10-12 05:30:00,-7.320 °C
44,2025-10-12 05:40:00,-7.999 °C
45,2025-10-12 05:50:00,-8.343 °C
46,2025-10-12 06:00:00,-6.455 °C
47,2025-10-12 06:10:00,-5.712 °C
48,2025-10-12 06:20:00,-5.918 °C
49,2025-10-12 06:30:00,-6.154 °C
50,2025-10-12 06:40:00,-6.457 °C
51,2025-10-12 06:50:00,-6.847 °C
52,2025-10-12 07:00:00,-7.387 °C
53,2025-10-12 07:10:00,-7.975 °C
54,2025-10-12 07:20:00,-8.313 °C
55,2025-10-12 07:30:00,-6.480 °C
56,2025-10-12 07:40:00,-5.692 °C
57,2025-10-12 07:50:00,-5.905 °C
58,2025-10-12 08:00:00,-6.196 °C
59,2025-10-12 08:10:00,-6.532 °C
60,2025-10-12 08:20:00,-6.957 °C
61,2025-10-12 08:30:00,-6.113 °C
62,2025-10-12 08:40:00,-8.620 °C
63,2025-10-12 08:50:00,-8.371 °C
64,2025-10-12 09:00:00,-7.194 °C
65,2025-10-12 09:10:00,-5.635 °C
66,2025-10-12 09:20:00,-5.791 °C
67,2025-10-12 09:30:00,-5.990 °C
68,2025-10-12 09:40:00,-6.230 °C
69,2025-10-12 09:50:00,-6.549 °C
70,2025-10-12 10:00:00,-6.917 °C
71,2025-10-12 10:10:00,-7.483 °C
72,2025-10-12 10:20:00,-8.152 °C
73,2025-10-12 10:30:00,-7.837 °C
74,2025-10-12 10:40:00,-5.880 °C
75,2025-10-12 10:50:00,-5.765 °C
76,2025-10-12 11:00:00,-5.974 °C
77,2025-10-12 11:10:00,-6.215 °C
78,2025-10-12 11:20:00,-6.526 °C
79,2025-10-12 11:30:00,-6.917 °C
80,2025-10-12 11:40:00,-7.455 °C
81,2025-10-12 11:50:00,-8.186 °C
82,2025-10-12 12:00:00,-7.693 °C
83,2025-10-12 12:10:00,-5.741 °C
84,2025-10-12 12:20:00,-5.775 °C
85,2025-10-12 12:30:00,-5.988 °C
86,2025-10-12 12:40:00,-6.288 °C
87,2025-10-12 12:50:00,-6.647 °C
88,2025-10-12 13:00:00,-7.163 °C
89,2025-10-12 13:10:00,-7.886 °C
90,2025-10-12 13:20:00,-8.383 °C
91,2025-10-12 13:30:00,-6.463 °C
92,2025-10-12 13:40:00,-5.707 °C
93,2025-10-12 13:50:00,-5.912 °C
94,2025-10-12 14:00:00,-6.187 °C
95,2025-10-12 14:10:00,-6.561 °C
96,2025-10-12 14:20:00,-7.009 °C
97,2025-10-12 14:30:00,-7.663 °C
98,2025-10-12 14:40:00,-8.393 °C
99,2025-10-12 14:50:00,-6.776 °C
100,2025-10-12 15:00:00,-5.688 °C
101,2025-10-12 15:10:00,-5.899 °C
102,2025-10-12 15:20:00,-6.158 °C
103,2025-10-12 15:30:00,-6.461 °C
104,2025-10-12 15:40:00,-6.863 °C
105,2025-10-12 15:50:00,-7.430 °C
106,2025-10-12 16:00:00,-8.172 °C
107,2025-10-12 16:10:00,-7.585 °C
108,2025-10-12 16:20:00,-5.624 °C
109,2025-10-12 16:30:00,-6.930 °C
110,2025-10-12 16:40:00,-8.371 °C
111,2025-10-12 16:50:00,-6.674 °C
112,2025-10-12 17:00:00,-5.705 °C
113,2025-10-12 17:10:00,-5.874 °C
114,2025-10-12 17:20:00,-6.094 °C
115,2025-10-12 17:30:00,-6.406 °C
116,2025-10-12 17:40:00,-6.778 °C
117,2025-10-12 17:50:00,-7.309 °C
118,2025-10-12 18:00:00,-8.066 °C
119,2025-10-12 18:10:00,-8.037 °C
120,2025-10-12 18:20:00,-5.886 °C
121,2025-10-12 18:30:00,-5.767 °C
122,2025-10-12 18:40:00,-6.007 °C
123,2025-10-12 18:50:00,-6.308 °C
124,2025-10-12 19:00:00,-6.680 °C
125,2025-10-12 19:10:00,-7.188 °C
126,2025-10-12 19:20:00,-7.882 °C
127,2025-10-12 19:30:00,-8.347 °C
128,2025-10-12 19:40:00,-6.305 °C
129,2025-10-12 19:50:00,-5.711 °C
130,2025-10-12 20:00:00,-5.920 °C
131,2025-10-12 20:10:00,-6.173 °C
132,2025-10-12 20:20:00,-6.507 °C
133,2025-10-12 20:30:00,-6.959 °C
134,2025-10-12 20:40:00,-7.583 °C
135,2025-10-12 20:50:00,-8.317 °C
136,2025-10-12 21:00:00,-7.357 °C
137,2025-10-12 21:10:00,-5.639 °C
138,2025-10-12 21:20:00,-5.846 °C
139,2025-10-12 21:30:00,-6.086 °C
140,2025-10-12 21:40:00,-6.429 °C
141,2025-10-12 21:50:00,-6.795 °C
142,2025-10-12 22:00:00,-7.293 °C
143,2025-10-12 22:10:00,-7.993 °C
144,2025-10-12 22:20:00,-8.281 °C
145,2025-10-12 22:30:00,-5.888 °C
146,2025-10-12 22:40:00,-5.776 °C
147,2025-10-12 22:50:00,-6.020 °C
148,2025-10-12 23:00:00,-6.293 °C
149,2025-10-12 23:10:00,-6.628 °C
150,2025-10-12 23:20:00,-7.089 °C
151,2025-10-12 23:30:00,-7.734 °C
152,2025-10-12 23:40:00,-8.403 °C
153,2025-10-12 23:50:00,-6.907 °C
154,2025-10-13 00:00:00,-5.667 °C
155,2025-10-13 00:10:00,-5.874 °C
156,2025-10-13 00:20:00,-6.135 °C
157,2025-10-13 00:30:00,-7.634 °C
158,2025-10-13 00:40:00,-7.532 °C
159,2025-10-13 00:50:00,-5.739 °C
160,2025-10-13 01:00:00,-5.916 °C
161,2025-10-13 01:10:00,-6.115 °C
162,2025-10-13 01:20:00,-6.383 °C
163,2025-10-13 01:30:00,-6.739 °C
164,2025-10-13 01:40:00,-7.223 °C
165,2025-10-13 01:50:00,-7.884 °C
166,2025-10-13 02:00:00,-8.389 °C
167,2025-10-13 02:10:00,-6.293 °C
168,2025-10-13 02:20:00,-5.739 °C
169,2025-10-13 02:30:00,-5.950 °C
170,2025-10-13 02:40:00,-6.238 °C
171,2025-10-13 02:50:00,-6.559 °C
172,2025-10-13 03:00:00,-7.004 °C
173,2025-10-13 03:10:00,-7.579 °C
174,2025-10-13 03:20:00,-8.329 °C
175,2025-10-13 03:30:00,-7.174 °C
176,2025-10-13 03:40:00,-5.664 °C
177,2025-10-13 03:50:00,-5.844 °C
178,2025-10-13 04:00:00,-6.109 °C
179,2025-10-13 04:10:00,-6.410 °C
180,2025-10-13 04:20:00,-6.845 °C
181,2025-10-13 04:30:00,-7.404 °C
182,2025-10-13 04:40:00,-8.112 °C
183,2025-10-13 04:50:00,-8.019 °C
