,Time,1
S/N,,958896
Type,,TGP-4020
Description,,"G7,5"
Property,,Temperature
1,2025-10-19 16:21:00,22.703 °C
2,2025-10-19 16:31:00,22.694 °C
3,2025-10-19 16:41:00,22.684 °C
4,2025-10-19 16:51:00,22.669 °C
5,2025-10-19 17:01:00,22.656 °C
6,2025-10-19 17:11:00,22.641 °C
7,2025-10-19 17:21:00,22.625 °C
8,2025-10-19 17:31:00,22.604 °C
9,2025-10-19 17:41:00,22.584 °C
10,2025-10-19 17:51:00,22.562 °C
11,2025-10-19 18:01:00,22.542 °C
12,2025-10-19 18:11:00,22.521 °C
13,2025-10-19 18:21:00,22.499 °C
14,2025-10-19 18:31:00,22.477 °C
15,2025-10-19 18:41:00,22.454 °C
16,2025-10-19 18:51:00,22.432 °C
17,2025-10-19 19:01:00,22.411 °C
18,2025-10-19 19:11:00,22.378 °C
19,2025-10-19 19:21:00,22.349 °C
20,2025-10-19 19:31:00,22.330 °C
21,2025-10-19 19:41:00,22.317 °C
22,2025-10-19 19:51:00,22.317 °C
23,2025-10-19 20:01:00,22.321 °C
24,2025-10-19 20:11:00,22.310 °C
25,2025-10-19 20:21:00,22.307 °C
26,2025-10-19 20:31:00,22.318 °C
27,2025-10-19 20:41:00,22.314 °C
28,2025-10-19 20:51:00,22.304 °C
29,2025-10-19 21:01:00,22.292 °C
30,2025-10-19 21:11:00,22.279 °C
31,2025-10-19 21:21:00,22.265 °C
32,2025-10-19 21:31:00,22.252 °C
33,2025-10-19 21:41:00,22.236 °C
34,2025-10-19 21:51:00,22.222 °C
35,2025-10-19 22:01:00,22.206 °C
36,2025-10-19 22:11:00,22.190 °C
37,2025-10-19 22:21:00,22.174 °C
38,2025-10-19 22:31:00,22.158 °C
39,2025-10-19 22:41:00,22.148 °C
40,2025-10-19 22:51:00,22.141 °C
41,2025-10-19 23:01:00,22.138 °C
42,2025-10-19 23:11:00,22.135 °C
43,2025-10-19 23:21:00,22.131 °C
44,2025-10-19 23:31:00,22.122 °C
45,2025-10-19 23:41:00,22.115 °C
46,2025-10-19 23:51:00,22.106 °C
47,2025-10-20 00:01:00,22.096 °C
48,2025-10-20 00:11:00,22.084 °C
49,2025-10-20 00:21:00,22.074 °C
50,2025-10-20 00:31:00,22.073 °C
51,2025-10-20 00:41:00,22.076 °C
52,2025-10-20 00:51:00,22.083 °C
53,2025-10-20 01:01:00,22.084 °C
54,2025-10-20 01:11:00,22.084 °C
55,2025-10-20 01:21:00,22.084 °C
56,2025-10-20 01:31:00,22.084 °C
57,2025-10-20 01:41:00,22.082 °C
58,2025-10-20 01:51:00,22.077 °C
59,2025-10-20 02:01:00,22.073 °C
60,2025-10-20 02:11:00,22.066 °C
61,2025-10-20 02:21:00,22.058 °C
