,Time,1
S/N,,955242
Type,,TGP-4020
Description,,D25
Property,,Temperature
1,2025-11-17 16:37:00,21.865 °C
2,2025-11-17 16:47:00,21.797 °C
3,2025-11-17 16:57:00,21.844 °C
4,2025-11-17 17:07:00,21.867 °C
5,2025-11-17 17:17:00,21.895 °C
6,2025-11-17 17:27:00,21.975 °C
7,2025-11-17 17:37:00,22.022 °C
8,2025-11-17 17:47:00,22.057 °C
9,2025-11-17 17:57:00,22.084 °C
10,2025-11-17 18:07:00,22.113 °C
11,2025-11-17 18:17:00,22.138 °C
12,2025-11-17 18:27:00,22.167 °C
13,2025-11-17 18:37:00,22.197 °C
14,2025-11-17 18:47:00,22.220 °C
15,2025-11-17 18:57:00,22.249 °C
16,2025-11-17 19:07:00,22.272 °C
17,2025-11-17 19:17:00,22.297 °C
18,2025-11-17 19:27:00,22.317 °C
19,2025-11-17 19:37:00,22.337 °C
20,2025-11-17 19:47:00,22.362 °C
21,2025-11-17 19:57:00,22.382 °C
22,2025-11-17 20:07:00,22.402 °C
23,2025-11-17 20:17:00,22.418 °C
24,2025-11-17 20:27:00,22.440 °C
25,2025-11-17 20:37:00,22.460 °C
26,2025-11-17 20:47:00,22.477 °C
27,2025-11-17 20:57:00,22.492 °C
28,2025-11-17 21:07:00,22.506 °C
29,2025-11-17 21:17:00,22.522 °C
30,2025-11-17 21:27:00,22.539 °C
31,2025-11-17 21:37:00,22.555 °C
32,2025-11-17 21:47:00,22.570 °C
33,2025-11-17 21:57:00,22.581 °C
34,2025-11-17 22:07:00,22.591 °C
35,2025-11-17 22:17:00,22.607 °C
36,2025-11-17 22:27:00,22.616 °C
37,2025-11-17 22:37:00,22.622 °C
38,2025-11-17 22:47:00,22.626 °C
39,2025-11-17 22:57:00,22.633 °C
40,2025-11-17 23:07:00,22.623 °C
41,2025-11-17 23:17:00,22.596 °C
42,2025-11-17 23:27:00,22.571 °C
43,2025-11-17 23:37:00,22.536 °C
44,2025-11-17 23:47:00,22.497 °C
45,2025-11-17 23:57:00,22.457 °C
46,2025-11-18 00:07:00,22.418 °C
47,2025-11-18 00:17:00,22.382 °C
48,2025-11-18 00:27:00,22.344 °C
49,2025-11-18 00:37:00,22.304 °C
50,2025-11-18 00:47:00,22.263 °C
51,2025-11-18 00:57:00,22.227 °C
52,2025-11-18 01:07:00,22.191 °C
53,2025-11-18 01:17:00,22.157 °C
54,2025-11-18 01:27:00,22.125 °C
55,2025-11-18 01:37:00,22.095 °C
56,2025-11-18 01:47:00,22.066 °C
57,2025-11-18 01:57:00,22.040 °C
58,2025-11-18 02:07:00,22.014 °C
59,2025-11-18 02:17:00,21.986 °C
60,2025-11-18 02:27:00,21.963 °C
61,2025-11-18 02:37:00,21.939 °C
62,2025-11-18 02:47:00,21.913 °C
63,2025-11-18 02:57:00,21.904 °C
64,2025-11-18 03:07:00,21.926 °C
65,2025-11-18 03:17:00,21.924 °C
66,2025-11-18 03:27:00,21.913 °C
67,2025-11-18 03:37:00,21.893 °C
68,2025-11-18 03:47:00,21.894 °C
69,2025-11-18 03:57:00,21.936 °C
70,2025-11-18 04:07:00,21.968 °C
71,2025-11-18 04:17:00,21.994 °C
72,2025-11-18 04:27:00,22.004 °C
73,2025-11-18 04:37:00,21.999 °C
74,2025-11-18 04:47:00,21.989 °C
75,2025-11-18 04:57:00,21.978 °C
76,2025-11-18 05:07:00,21.956 °C
77,2025-11-18 05:17:00,21.937 °C
78,2025-11-18 05:27:00,21.917 °C
79,2025-11-18 05:37:00,21.891 °C
80,2025-11-18 05:47:00,21.864 °C
81,2025-11-18 05:57:00,21.845 °C
82,2025-11-18 06:07:00,21.867 °C
83,2025-11-18 06:17:00,21.906 °C
84,2025-11-18 06:27:00,21.852 °C
85,2025-11-18 06:37:00,21.796 °C
86,2025-11-18 06:47:00,21.737 °C
