,Time,1
S/N,,957648
Type,,TGP-4020
Description,,E0
Property,,Temperature
1,2025-11-27 22:35:00,-6.687 °C
2,2025-11-27 22:45:00,-7.281 °C
3,2025-11-27 22:55:00,-7.320 °C
4,2025-11-27 23:05:00,-5.643 °C
5,2025-11-27 23:15:00,-6.090 °C
6,2025-11-27 23:25:00,-6.614 °C
7,2025-11-27 23:35:00,-7.244 °C
8,2025-11-27 23:45:00,-7.383 °C
9,2025-11-27 23:55:00,-5.639 °C
10,2025-11-28 00:05:00,-6.109 °C
11,2025-11-28 00:15:00,-6.657 °C
12,2025-11-28 00:25:00,-7.443 °C
13,2025-11-28 00:35:00,-5.716 °C
14,2025-11-28 00:45:00,-6.670 °C
15,2025-11-28 00:55:00,-7.188 °C
16,2025-11-28 01:05:00,-7.587 °C
17,2025-11-28 01:15:00,-5.694 °C
18,2025-11-28 01:25:00,-5.948 °C
19,2025-11-28 01:35:00,-6.444 °C
20,2025-11-28 01:45:00,-7.060 °C
21,2025-11-28 01:55:00,-7.583 °C
22,2025-11-28 02:05:00,-5.889 °C
23,2025-11-28 02:15:00,-5.937 °C
24,2025-11-28 02:25:00,-6.473 °C
25,2025-11-28 02:35:00,-7.124 °C
26,2025-11-28 02:45:00,-7.581 °C
27,2025-11-28 02:55:00,-5.891 °C
28,2025-11-28 03:05:00,-5.920 °C
29,2025-11-28 03:15:00,-6.436 °C
30,2025-11-28 03:25:00,-7.058 °C
31,2025-11-28 03:35:00,-7.565 °C
32,2025-11-28 03:45:00,-5.893 °C
33,2025-11-28 03:55:00,-5.933 °C
34,2025-11-28 04:05:00,-6.490 °C
35,2025-11-28 04:15:00,-7.108 °C
36,2025-11-28 04:25:00,-7.545 °C
37,2025-11-28 04:35:00,-5.816 °C
38,2025-11-28 04:45:00,-5.946 °C
39,2025-11-28 04:55:00,-6.511 °C
40,2025-11-28 05:05:00,-7.223 °C
41,2025-11-28 05:15:00,-7.451 °C
42,2025-11-28 05:25:00,-5.641 °C
43,2025-11-28 05:35:00,-6.080 °C
44,2025-11-28 05:45:00,-6.701 °C
45,2025-11-28 05:55:00,-7.336 °C
46,2025-11-28 06:05:00,-7.040 °C
47,2025-11-28 06:15:00,-5.748 °C
48,2025-11-28 06:25:00,-6.238 °C
49,2025-11-28 06:35:00,-6.872 °C
50,2025-11-28 06:45:00,-7.463 °C
51,2025-11-28 06:55:00,-6.352 °C
52,2025-11-28 07:05:00,-5.814 °C
53,2025-11-28 07:15:00,-6.349 °C
54,2025-11-28 07:25:00,-6.990 °C
