,Time,1
S/N,,958943
Type,,TGP-4020
Description,,A_0
Property,,Temperature
1,2025-11-27 22:13:00,-6.431 °C
2,2025-11-27 22:23:00,-6.699 °C
3,2025-11-27 22:33:00,-6.884 °C
4,2025-11-27 22:43:00,-6.809 °C
5,2025-11-27 22:53:00,-6.132 °C
6,2025-11-27 23:03:00,-6.400 °C
7,2025-11-27 23:13:00,-6.672 °C
8,2025-11-27 23:23:00,-6.855 °C
9,2025-11-27 23:33:00,-6.855 °C
10,2025-11-27 23:43:00,-6.145 °C
11,2025-11-27 23:53:00,-6.411 °C
12,2025-11-28 00:03:00,-6.691 °C
13,2025-11-28 00:13:00,-6.892 °C
14,2025-11-28 00:23:00,-6.834 °C
15,2025-11-28 00:33:00,-6.538 °C
16,2025-11-28 00:43:00,-7.091 °C
17,2025-11-28 00:53:00,-6.973 °C
18,2025-11-28 01:03:00,-6.265 °C
19,2025-11-28 01:13:00,-6.350 °C
20,2025-11-28 01:23:00,-6.628 °C
21,2025-11-28 01:33:00,-6.861 °C
22,2025-11-28 01:43:00,-6.922 °C
23,2025-11-28 01:53:00,-6.341 °C
24,2025-11-28 02:03:00,-6.310 °C
25,2025-11-28 02:13:00,-6.624 °C
26,2025-11-28 02:23:00,-6.868 °C
27,2025-11-28 02:33:00,-6.919 °C
28,2025-11-28 02:43:00,-6.297 °C
29,2025-11-28 02:53:00,-6.326 °C
30,2025-11-28 03:03:00,-6.599 °C
31,2025-11-28 03:13:00,-6.859 °C
32,2025-11-28 03:23:00,-6.932 °C
33,2025-11-28 03:33:00,-6.345 °C
34,2025-11-28 03:43:00,-6.310 °C
35,2025-11-28 03:53:00,-6.620 °C
36,2025-11-28 04:03:00,-6.870 °C
37,2025-11-28 04:13:00,-6.915 °C
38,2025-11-28 04:23:00,-6.291 °C
39,2025-11-28 04:33:00,-6.329 °C
40,2025-11-28 04:43:00,-6.624 °C
41,2025-11-28 04:53:00,-6.907 °C
42,2025-11-28 05:03:00,-6.990 °C
43,2025-11-28 05:13:00,-6.105 °C
44,2025-11-28 05:23:00,-6.345 °C
45,2025-11-28 05:33:00,-6.680 °C
46,2025-11-28 05:43:00,-6.973 °C
47,2025-11-28 05:53:00,-6.897 °C
48,2025-11-28 06:03:00,-6.048 °C
49,2025-11-28 06:13:00,-6.432 °C
50,2025-11-28 06:23:00,-6.768 °C
51,2025-11-28 06:33:00,-7.019 °C
52,2025-11-28 06:43:00,-6.603 °C
53,2025-11-28 06:53:00,-6.135 °C
54,2025-11-28 07:03:00,-6.475 °C
55,2025-11-28 07:13:00,-6.839 °C
56,2025-11-28 07:23:00,-7.023 °C
57,2025-11-28 07:33:00,-6.350 °C
58,2025-11-28 07:43:00,-6.210 °C
59,2025-11-28 07:53:00,-6.545 °C
60,2025-11-28 08:03:00,-6.874 °C
61,2025-11-28 08:13:00,-6.984 °C
62,2025-11-28 08:23:00,-6.172 °C
63,2025-11-28 08:33:00,-6.710 °C
64,2025-11-28 08:43:00,-7.250 °C
65,2025-11-28 08:53:00,-6.708 °C
66,2025-11-28 09:03:00,-6.183 °C
67,2025-11-28 09:13:00,-6.507 °C
68,2025-11-28 09:23:00,-6.822 °C
69,2025-11-28 09:33:00,-6.994 °C
70,2025-11-28 09:43:00,-6.326 °C
71,2025-11-28 09:53:00,-6.219 °C
72,2025-11-28 10:03:00,-6.557 °C
73,2025-11-28 10:13:00,-6.884 °C
74,2025-11-28 10:23:00,-7.000 °C
75,2025-11-28 10:33:00,-6.431 °C
76,2025-11-28 10:43:00,-6.745 °C
77,2025-11-28 10:53:00,-6.208 °C
78,2025-11-28 11:03:00,-6.001 °C
79,2025-11-28 11:13:00,-6.259 °C
80,2025-11-28 11:23:00,-6.532 °C
81,2025-11-28 11:33:00,-6.691 °C
82,2025-11-28 11:43:00,-6.605 °C
83,2025-11-28 11:53:00,-5.878 °C
84,2025-11-28 12:03:00,-6.128 °C
85,2025-11-28 12:13:00,-6.350 °C
86,2025-11-28 12:23:00,-6.185 °C
87,2025-11-28 12:33:00,-6.046 °C
88,2025-11-28 12:43:00,-6.368 °C
89,2025-11-28 12:53:00,-6.630 °C
90,2025-11-28 13:03:00,-6.710 °C
91,2025-11-28 13:13:00,-5.933 °C
92,2025-11-28 13:23:00,-6.139 °C
93,2025-11-28 13:33:00,-6.545 °C
94,2025-11-28 13:43:00,-6.735 °C
95,2025-11-28 13:53:00,-6.060 °C
96,2025-11-28 14:03:00,-6.077 °C
97,2025-11-28 14:13:00,-6.622 °C
98,2025-11-28 14:23:00,-6.660 °C
99,2025-11-28 14:33:00,-6.695 °C
100,2025-11-28 14:43:00,-6.737 °C
101,2025-11-28 14:53:00,-6.749 °C
102,2025-11-28 15:03:00,-6.739 °C
103,2025-11-28 15:13:00,-6.526 °C
104,2025-11-28 15:23:00,-6.067 °C
105,2025-11-28 15:33:00,-5.974 °C
106,2025-11-28 15:43:00,-6.175 °C
107,2025-11-28 15:53:00,-6.387 °C
108,2025-11-28 16:03:00,-6.566 °C
109,2025-11-28 16:13:00,-6.687 °C
110,2025-11-28 16:23:00,-6.755 °C
111,2025-11-28 16:33:00,-6.143 °C
112,2025-11-28 16:43:00,-6.739 °C
113,2025-11-28 16:53:00,-6.757 °C
114,2025-11-28 17:03:00,-6.162 °C
115,2025-11-28 17:13:00,-5.999 °C
116,2025-11-28 17:23:00,-6.227 °C
117,2025-11-28 17:33:00,-6.461 °C
118,2025-11-28 17:43:00,-6.680 °C
119,2025-11-28 17:53:00,-6.762 °C
120,2025-11-28 18:03:00,-6.312 °C
121,2025-11-28 18:13:00,-5.952 °C
122,2025-11-28 18:23:00,-6.288 °C
123,2025-11-28 18:33:00,-6.564 °C
124,2025-11-28 18:43:00,-6.730 °C
125,2025-11-28 18:53:00,-6.657 °C
126,2025-11-28 19:03:00,-5.880 °C
127,2025-11-28 19:13:00,-6.128 °C
128,2025-11-28 19:23:00,-6.457 °C
129,2025-11-28 19:33:00,-6.676 °C
130,2025-11-28 19:43:00,-6.762 °C
131,2025-11-28 19:53:00,-6.118 °C
132,2025-11-28 20:03:00,-6.012 °C
133,2025-11-28 20:13:00,-6.331 °C
134,2025-11-28 20:23:00,-6.564 °C
135,2025-11-28 20:33:00,-6.770 °C
136,2025-11-28 20:43:00,-6.448 °C
137,2025-11-28 20:53:00,-5.925 °C
138,2025-11-28 21:03:00,-6.229 °C
