run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
5,11/20/2025,1,,SUW,A,1014,-,-,0.6,2,0.8,0.9,1,0.8,-,-,-,,
5,11/20/2025,1,,SUD,B,1014,-,-,1.5,1.6,0.8,0.6,0.9,0.8,-,-,-,,
5,11/20/2025,1,,SCW,C,1014,-,-,2.8,3,0.6,0.9,0.6,0.6,-,-,-,,
5,11/20/2025,1,,BUD,D,1014,-,-,1.6,1.8,0.5,1.1,0.7,0.5,-,-,-,,
5,11/20/2025,1,,BCD,E,1014,-,-,1.3,1,0.7,0.9,0.9,0.7,-,-,-,,
5,11/20/2025,1,,BCW,F,1014,-,-,2,2.8,0.6,0.6,0.8,0.6,-,-,-,,
5,11/20/2025,1,,SCD,G,1014,-,-,4,2.5,1,0.9,0.8,1,-,-,-,,
5,11/20/2025,1,,BUW,H,1014,-,-,0.5,0.6,0.6,0.9,1,0.6,-,-,-,,
5,11/20/2025,2,,SUW,A,1014,-,-,0.6,2,0.8,1,0.9,0.5,-,-,-,,
5,11/20/2025,2,,SUD,B,1014,-,-,1.5,1.6,0.8,0.6,1,0.8,-,-,-,,
5,11/20/2025,2,,SCW,C,1014,-,-,2.8,3,0.6,0.8,0.9,0.6,-,-,-,,
5,11/20/2025,2,,BUD,D,1014,-,-,1.6,1.8,0.5,0.9,0.8,0.7,-,-,-,,
5,11/20/2025,2,,BCD,E,1014,-,-,1.3,1,0.7,0.8,1,1,-,-,-,,
5,11/20/2025,2,,BCW,F,1014,-,-,2,2.8,0.6,0.6,0.7,0.6,-,-,-,,
5,11/20/2025,2,,SCD,G,1014,-,-,4,2.5,1,0.8,0.7,0.8,-,-,-,,
5,11/20/2025,2,,BUW,H,1014,-,-,0.5,0.6,0.6,0.7,0.6,0.9,-,-,-,,
5,11/20/2025,6,,SUW,A,1013,-,-,0.6,2,0.8,1,0.8,0.2,0.6,0.8,0.5,,
5,11/20/2025,6,,SUD,B,1013,-,-,1.5,1.6,0.8,0.9,1,1,0.7,0.5,0.7,,
5,11/20/2025,6,,SCW,C,1013,-,-,2.8,3,0.6,0.7,0.9,0.9,0.5,0.6,0.9,,
5,11/20/2025,6,,BUD,D,1013,-,-,1.6,1.8,0.5,1,0.9,0.5,0.7,0.2,1.1,,
5,11/20/2025,6,,BCD,E,1014,-,-,1.3,1,0.7,0.8,0.9,0.8,0.7,0.8,0.6,,
5,11/20/2025,6,,BCW,F,1014,-,-,2,2.8,0.6,0.8,1,0.6,0.9,0.8,0.5,,
5,11/20/2025,6,,SCD,G,1014,-,-,4,2.5,1,0.8,0.8,1,0.7,0.6,0.8,,
5,11/20/2025,6,,BUW,H,1014,-,-,0.5,0.6,0.6,1.1,1.1,0.5,0.7,0.9,0.7,,
5,11/20/2025,12,,SUW,A,1013,1.6,2.8,0.6,2,0.8,0.7,1,0.5,-,-,-,,
5,11/20/2025,12,,SUD,B,1013,2,2.2,1.5,1.6,0.8,0.9,1,0.7,-,-,-,,
5,11/20/2025,12,,SCW,C,1013,1.7,2.1,2.8,3,0.6,0.8,0.9,1,-,-,-,,
5,11/20/2025,12,,BUD,D,1013,2.7,2,1.6,1.8,0.5,0.8,1,0.4,-,-,-,,
5,11/20/2025,12,,BCD,E,1012,3,3,1.3,1,0.7,0.6,0.6,0.8,-,-,-,,
5,11/20/2025,12,,BCW,F,1012,2.7,2.5,2,2.8,0.6,0.7,0.9,0.8,-,-,-,,
5,11/20/2025,12,,SCD,G,1012,1.9,2.3,4,2.5,1,0.9,0.7,0.5,-,-,-,,
