run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;13.10.2025;1;14;SCW;A;ppm _room;916;
1;13.10.2025;1;14;SCW;A;ppm_0;901;
1;13.10.2025;1;14;SCW;A;ppm_1;915;
1;13.10.2025;1;14;SCW;A;ppm_2;919;
1;13.10.2025;1;14;SCW;A;ppm_3;923;
1;13.10.2025;1;14;SCW;A;ppm_4;929;
1;13.10.2025;1;14;SCW;A;ppm_5;933;
1;13.10.2025;1;14;SCW;A;ppm_6;927;
1;13.10.2025;1;9;BUW;B;ppm _room;894;
1;13.10.2025;1;9;BUW;B;ppm_0;914;
1;13.10.2025;1;9;BUW;B;ppm_1;932;
1;13.10.2025;1;9;BUW;B;ppm_2;940;
1;13.10.2025;1;9;BUW;B;ppm_3;948;
1;13.10.2025;1;9;BUW;B;ppm_4;956;
1;13.10.2025;1;9;BUW;B;ppm_5;963;
1;13.10.2025;1;9;BUW;B;ppm_6;970;
1;13.10.2025;1;10;BCW;C;ppm _room;840;
1;13.10.2025;1;10;BCW;C;ppm_0;841;
1;13.10.2025;1;10;BCW;C;ppm_1;855;
1;13.10.2025;1;10;BCW;C;ppm_2;862;
1;13.10.2025;1;10;BCW;C;ppm_3;868;
1;13.10.2025;1;10;BCW;C;ppm_4;874;
1;13.10.2025;1;10;BCW;C;ppm_5;880;
1;13.10.2025;1;10;BCW;C;ppm_6;885;
1;13.10.2025;1;12;BCD;D;ppm _room;781;
1;13.10.2025;1;12;BCD;D;ppm_0;788;
1;13.10.2025;1;12;BCD;D;ppm_1;792;
1;13.10.2025;1;12;BCD;D;ppm_2;797;
1;13.10.2025;1;12;BCD;D;ppm_3;800;
1;13.10.2025;1;12;BCD;D;ppm_4;805;
1;13.10.2025;1;12;BCD;D;ppm_5;809;
1;13.10.2025;1;12;BCD;D;ppm_6;812;
1;13.10.2025;1;13;SUW;E;ppm _room;758;
1;13.10.2025;1;13;SUW;E;ppm_0;749;
1;13.10.2025;1;13;SUW;E;ppm_1;785;
1;13.10.2025;1;13;SUW;E;ppm_2;809;
1;13.10.2025;1;13;SUW;E;ppm_3;829;
1;13.10.2025;1;13;SUW;E;ppm_4;849;
1;13.10.2025;1;13;SUW;E;ppm_5;865;
1;13.10.2025;1;13;SUW;E;ppm_6;881;
1;13.10.2025;1;16;SCD;F;ppm _room;668;
1;13.10.2025;1;16;SCD;F;ppm_0;667;
1;13.10.2025;1;16;SCD;F;ppm_1;700;
1;13.10.2025;1;16;SCD;F;ppm_2;720;
1;13.10.2025;1;16;SCD;F;ppm_3;734;
1;13.10.2025;1;16;SCD;F;ppm_4;750;
1;13.10.2025;1;16;SCD;F;ppm_5;763;
1;13.10.2025;1;16;SCD;F;ppm_6;776;
1;13.10.2025;1;15;SUD;G;ppm _room;615;
1;13.10.2025;1;15;SUD;G;ppm_0;609;
1;13.10.2025;1;15;SUD;G;ppm_1;642;
1;13.10.2025;1;15;SUD;G;ppm_2;661;
1;13.10.2025;1;15;SUD;G;ppm_3;679;
1;13.10.2025;1;15;SUD;G;ppm_4;696;
1;13.10.2025;1;15;SUD;G;ppm_5;712;
1;13.10.2025;1;15;SUD;G;ppm_6;726;
1;13.10.2025;1;11;BUD;H;ppm _room;597;
1;13.10.2025;1;11;BUD;H;ppm_0;598;
1;13.10.2025;1;11;BUD;H;ppm_1;617;
1;13.10.2025;1;11;BUD;H;ppm_2;629;
1;13.10.2025;1;11;BUD;H;ppm_3;638;
1;13.10.2025;1;11;BUD;H;ppm_4;649;
