run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm
3;02.11.2025;1;;BCD;A;ppm _room;540
3;02.11.2025;1;;BCD;A;ppm_0;565
3;02.11.2025;1;;BCD;A;ppm_1;567
3;02.11.2025;1;;BCD;A;ppm_2;571
3;02.11.2025;1;;BCD;A;ppm_3;574
3;02.11.2025;1;;BCD;A;ppm_4;579
3;02.11.2025;1;;BCD;A;ppm_5;583
3;02.11.2025;1;;BCD;A;ppm_6;587
3;02.11.2025;1;;BCW;B;ppm _room;656
3;02.11.2025;1;;BCW;B;ppm_0;658
3;02.11.2025;1;;BCW;B;ppm_1;662
3;02.11.2025;1;;BCW;B;ppm_2;663
3;02.11.2025;1;;BCW;B;ppm_3;665
3;02.11.2025;1;;BCW;B;ppm_4;667
3;02.11.2025;1;;BCW;B;ppm_5;669
3;02.11.2025;1;;BCW;B;ppm_6;672
3;02.11.2025;1;;BUD;C;ppm _room;728
3;02.11.2025;1;;BUD;C;ppm_0;724
3;02.11.2025;1;;BUD;C;ppm_1;727
3;02.11.2025;1;;BUD;C;ppm_2;728
3;02.11.2025;1;;BUD;C;ppm_3;730
3;02.11.2025;1;;BUD;C;ppm_4;732
3;02.11.2025;1;;BUD;C;ppm_5;734
3;02.11.2025;1;;BUD;C;ppm_6;736
3;02.11.2025;1;;SUW;D;ppm _room;725
3;02.11.2025;1;;SUW;D;ppm_0;729
3;02.11.2025;1;;SUW;D;ppm_1;735
3;02.11.2025;1;;SUW;D;ppm_2;741
3;02.11.2025;1;;SUW;D;ppm_3;757
3;02.11.2025;1;;SUW;D;ppm_4;753
3;02.11.2025;1;;SUW;D;ppm_5;759
3;02.11.2025;1;;SUW;D;ppm_6;765
3;02.11.2025;1;;SCD;E;ppm _room;711
3;02.11.2025;1;;SCD;E;ppm_0;715
3;02.11.2025;1;;SCD;E;ppm_1;720
3;02.11.2025;1;;SCD;E;ppm_2;724
3;02.11.2025;1;;SCD;E;ppm_3;729
3;02.11.2025;1;;SCD;E;ppm_4;733
3;02.11.2025;1;;SCD;E;ppm_5;737
3;02.11.2025;1;;SCD;E;ppm_6;740
3;02.11.2025;1;;SUD;F;ppm _room;673
3;02.11.2025;1;;SUD;F;ppm_0;675
3;02.11.2025;1;;SUD;F;ppm_1;686
3;02.11.2025;1;;SUD;F;ppm_2;696
3;02.11.2025;1;;SUD;F;ppm_3;702
3;02.11.2025;1;;SUD;F;ppm_4;710
3;02.11.2025;1;;SUD;F;ppm_5;716
3;02.11.2025;1;;SUD;F;ppm_6;723
3;02.11.2025;1;;BUW;G;ppm _room;656
3;02.11.2025;1;;BUW;G;ppm_0;656
3;02.11.2025;1;;BUW;G;ppm_1;662
3;02.11.2025;1;;BUW;G;ppm_2;670
3;02.11.2025;1;;BUW;G;ppm_3;675
3;02.11.2025;1;;BUW;G;ppm_4;681
3;02.11.2025;1;;BUW;G;ppm_5;687
3;02.11.2025;1;;BUW;G;ppm_6;693
