run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,minute,ppm
6,11/29/2025,1,53,SCD,A,ppm _room,613
6,11/29/2025,1,53,SCD,A,ppm_0,626
6,11/29/2025,1,53,SCD,A,ppm_1,634
6,11/29/2025,1,53,SCD,A,ppm_2,641
6,11/29/2025,1,53,SCD,A,ppm_3,646
6,11/29/2025,1,53,SCD,A,ppm_4,653
6,11/29/2025,1,53,SCD,A,ppm_5,660
6,11/29/2025,1,53,SCD,A,ppm_6,666
6,11/29/2025,1,49,BUD,B,ppm _room,691
6,11/29/2025,1,49,BUD,B,ppm_0,691
6,11/29/2025,1,49,BUD,B,ppm_1,693
6,11/29/2025,1,49,BUD,B,ppm_2,694
6,11/29/2025,1,49,BUD,B,ppm_3,695
6,11/29/2025,1,49,BUD,B,ppm_4,696
6,11/29/2025,1,49,BUD,B,ppm_5,699
6,11/29/2025,1,49,BUD,B,ppm_6,703
6,11/29/2025,1,55,SUD,C,ppm _room,703
6,11/29/2025,1,55,SUD,C,ppm_0,704
6,11/29/2025,1,55,SUD,C,ppm_1,708
6,11/29/2025,1,55,SUD,C,ppm_2,711
6,11/29/2025,1,55,SUD,C,ppm_3,716
6,11/29/2025,1,55,SUD,C,ppm_4,720
6,11/29/2025,1,55,SUD,C,ppm_5,723
6,11/29/2025,1,55,SUD,C,ppm_6,727
6,11/29/2025,1,54,SCW,D,ppm _room,728
6,11/29/2025,1,54,SCW,D,ppm_0,726
6,11/29/2025,1,54,SCW,D,ppm_1,733
6,11/29/2025,1,54,SCW,D,ppm_2,727
6,11/29/2025,1,54,SCW,D,ppm_3,744
6,11/29/2025,1,54,SCW,D,ppm_4,748
6,11/29/2025,1,54,SCW,D,ppm_5,755
6,11/29/2025,1,54,SCW,D,ppm_6,759
6,11/29/2025,1,50,BCW,E,ppm _room,790
6,11/29/2025,1,50,BCW,E,ppm_0,784
6,11/29/2025,1,50,BCW,E,ppm_1,785
6,11/29/2025,1,50,BCW,E,ppm_2,786
6,11/29/2025,1,50,BCW,E,ppm_3,787
6,11/29/2025,1,50,BCW,E,ppm_4,788
6,11/29/2025,1,50,BCW,E,ppm_5,789
6,11/29/2025,1,50,BCW,E,ppm_6,790
6,11/29/2025,1,51,BUW,F,ppm _room,694
6,11/29/2025,1,51,BUW,F,ppm_0,694
6,11/29/2025,1,51,BUW,F,ppm_1,703
6,11/29/2025,1,51,BUW,F,ppm_2,708
6,11/29/2025,1,51,BUW,F,ppm_3,712
6,11/29/2025,1,51,BUW,F,ppm_4,718
6,11/29/2025,1,51,BUW,F,ppm_5,721
6,11/29/2025,1,51,BUW,F,ppm_6,724
6,11/29/2025,1,56,SUW,G,ppm _room,709
6,11/29/2025,1,56,SUW,G,ppm_0,715
6,11/29/2025,1,56,SUW,G,ppm_1,722
6,11/29/2025,1,56,SUW,G,ppm_2,731
6,11/29/2025,1,56,SUW,G,ppm_3,738
6,11/29/2025,1,56,SUW,G,ppm_4,745
6,11/29/2025,1,56,SUW,G,ppm_5,752
6,11/29/2025,1,56,SUW,G,ppm_6,758
6,11/29/2025,1,52,BCD,H,ppm _room,716
6,11/29/2025,1,52,BCD,H,ppm_0,715
6,11/29/2025,1,52,BCD,H,ppm_1,716
6,11/29/2025,1,52,BCD,H,ppm_2,719
6,11/29/2025,1,52,BCD,H,ppm_3,720
6,11/29/2025,1,52,BCD,H,ppm_4,722
6,11/29/2025,1,52,BCD,H,ppm_5,723
6,11/29/2025,1,52,BCD,H,ppm_6,724
6,11/29/2025,2,53,SCD,A,ppm _room,525
6,11/29/2025,2,53,SCD,A,ppm_0,585
6,11/29/2025,2,53,SCD,A,ppm_1,589
6,11/29/2025,2,53,SCD,A,ppm_2,594
6,11/29/2025,2,53,SCD,A,ppm_3,598
6,11/29/2025,2,53,SCD,A,ppm_4,603
6,11/29/2025,2,53,SCD,A,ppm_5,608
6,11/29/2025,2,53,SCD,A,ppm_6,613
6,11/29/2025,2,49,BUD,B,ppm _room,677
6,11/29/2025,2,49,BUD,B,ppm_0,679
6,11/29/2025,2,49,BUD,B,ppm_1,680
6,11/29/2025,2,49,BUD,B,ppm_2,681
6,11/29/2025,2,49,BUD,B,ppm_3,682
6,11/29/2025,2,49,BUD,B,ppm_4,683
6,11/29/2025,2,49,BUD,B,ppm_5,684
6,11/29/2025,2,49,BUD,B,ppm_6,685
6,11/29/2025,2,55,SUD,C,ppm _room,745
6,11/29/2025,2,55,SUD,C,ppm_0,749
6,11/29/2025,2,55,SUD,C,ppm_1,750
6,11/29/2025,2,55,SUD,C,ppm_2,752
