run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_cm,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
2,10/22/2025,1,20,BUD,A,1000,-,3.5,4,3.7,1.7,1.5,1,-,-,-,,
2,10/22/2025,1,19,BCD,B,1000,-,5,3.4,4,1.7,1.3,2.2,-,-,-,,
2,10/22/2025,1,17,BCW,C,1000,-,2.8,2.7,3.5,1.7,2,1.7,-,-,-,,
2,10/22/2025,1,22,SCD,D,1000,-,1,2.5,2.5,1.4,1.5,1.3,-,-,-,,
2,10/22/2025,1,21,SCW,E,1000,-,3,2.5,2.5,1.8,1.2,1.7,-,-,-,,
2,10/22/2025,1,24,SUD,F,1001,-,4,2.8,3,1.7,1.4,1,-,-,-,,
2,10/22/2025,1,18,BUW,G,1001,-,3.8,3,2.5,1.9,1,0.9,-,-,-,,
2,10/22/2025,1,23,SUW,H,1000,-,3,3,2.7,1.7,1.5,1.6,-,-,-,,
2,10/22/2025,2,20,BUD,A,1001,-,3.5,4,3.7,1.8,1.9,1.4,-,-,-,,
2,10/22/2025,2,19,BCD,B,1001,-,5,3.4,4,1.3,1.7,1.6,-,-,-,,
2,10/22/2025,2,17,BCW,C,1001,-,2.8,2.7,3.5,1.8,1.4,1.6,-,-,-,,
2,10/22/2025,2,22,SCD,D,1001,-,1,2.5,2.5,1,1.6,1,-,-,-,,
2,10/22/2025,2,21,SCW,E,1000,-,3,2.5,2.5,1.3,1.6,1,-,-,-,,
2,10/22/2025,2,24,SUD,F,1000,-,4,2.8,3,1.5,1.7,1,-,-,-,,
2,10/22/2025,2,18,BUW,G,1000,-,3.8,3,2.5,1.4,0.5,1.5,-,-,-,,
2,10/22/2025,2,23,SUW,H,1000,-,3,3,2.7,1.6,1.6,1.4,-,-,-,,
2,10/22/2025,6,20,BUD,A,1001,-,3.5,4,3.7,1.6,1.5,0.5,1.4,1.5,1.1,,
2,10/22/2025,6,19,BCD,B,1002,-,5,3.4,4,0.9,1.2,1.3,1.7,1.8,1.2,,
2,10/22/2025,6,17,BCW,C,1002,-,2.8,2.7,3.5,1.4,1.1,0.8,1.2,1.9,1,,
2,10/22/2025,6,22,SCD,D,1001,-,1,2.5,2.5,0.6,1,1.1,1.1,1.3,1.1,,
2,10/22/2025,6,21,SCW,E,1001,-,3,2.5,2.5,1.1,1.1,1.2,1.3,1.6,1.7,,
2,10/22/2025,6,24,SUD,F,1001,-,4,2.8,3,0.7,1.4,1.2,1.6,1.2,1.3,,
2,10/22/2025,6,18,BUW,G,1002,-,3.8,3,2.5,0.7,1.9,0.9,1.8,1.5,1.7,,
2,10/22/2025,6,23,SUW,H,1001,-,3,3,2.7,0.7,1.4,1.2,1.5,1.4,1.5,,
2,10/22/2025,12,20,BUD,A,1002,3.2,3.5,4,3.7,1.6,1.3,1.4,-,-,-,,
2,10/22/2025,12,19,BCD,B,1002,4.2,5,3.4,4,1.3,1.1,1.3,-,-,-,,
2,10/22/2025,12,17,BCW,C,1002,4.8,2.8,2.7,3.5,1.1,0.9,1.3,-,-,-,,
2,10/22/2025,12,22,SCD,D,1002,3.4,1,2.5,2.5,1.6,1.1,1.2,-,-,-,,
