run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_cm,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
4,11/11/2025,1,35,BCW,A,1016,-,-,-,3.5,2.9,0.5,1.1,1.1,0.5,-,-,-,,
4,11/11/2025,1,40,SCW,B,1016,-,-,-,2.4,1.5,1.3,0.9,0.9,1.3,-,-,-,,
4,11/11/2025,1,36,BCD,C,1016,-,-,-,1,1,1.4,1.9,2,1.4,-,-,-,,
4,11/11/2025,1,39,SUD,D,1016,-,-,-,4,4.5,1,0.8,0.7,1,-,-,-,,
4,11/11/2025,1,33,BUW,E,1016,-,-,-,0.7,0.7,1.1,1.3,0.7,1.1,-,-,-,,
4,11/11/2025,1,37,SUW,F,1016,-,-,-,2,2,0.7,1.1,0.9,0.7,-,-,-,,
4,11/11/2025,1,34,BUD,G,1016,-,-,-,1.4,1.1,0.5,1.2,1,0.5,-,-,-,,
4,11/11/2025,1,38,SCD,H,1016,-,-,-,0.6,2,1.2,1.4,1,1.2,-,-,-,,
4,11/11/2025,2,35,BCW,A,1016,-,-,-,3.5,2.9,0.5,1,0.5,1.5,-,-,-,,
4,11/11/2025,2,40,SCW,B,1016,-,-,-,2.4,1.5,1.3,1,1.4,0.5,-,-,-,,
4,11/11/2025,2,36,BCD,C,1016,-,-,-,1,1,1.4,1.7,2,1,-,-,-,,
4,11/11/2025,2,39,SUD,D,1016,-,-,-,4,4.5,1,0.7,0.8,1,-,-,-,,
4,11/11/2025,2,33,BUW,E,1016,-,-,-,0.7,0.7,1.1,1,1,0.6,-,-,-,,
4,11/11/2025,2,37,SUW,F,1016,-,-,-,2,2,0.7,1,0.5,0.6,-,-,-,,
