run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
6,11/29/2025,1,53,SCD,A,975,-,-,4.4,4.6,5,1.1,1,1,-,-,-,,
6,11/29/2025,1,49,BUD,B,975,-,-,3,2.9,4,1,1,0.3,-,-,-,,
6,11/29/2025,1,55,SUD,C,975,-,-,3.3,4,4,0.9,0.8,1.5,-,-,-,,
6,11/29/2025,1,54,SCW,D,975,-,-,2.8,4.2,3.8,0.5,0.7,0.4,-,-,-,,
6,11/29/2025,1,50,BCW,E,975,-,-,4.8,3,3.4,1.1,0.5,0.9,-,-,-,,
6,11/29/2025,1,51,BUW,F,975,-,-,2.3,4.5,4.3,0.5,1,1,-,-,-,,
6,11/29/2025,1,56,SUW,G,975,-,-,3.9,3.5,3.8,1.2,0.7,0.5,-,-,-,,
6,11/29/2025,1,52,BCD,H,975,-,-,4.6,4.5,5,1.3,1,1,-,-,-,,
6,11/29/2025,2,53,SCD,A,975,-,-,4.4,4.6,5,0.8,0.8,0.7,-,-,-,,
6,11/29/2025,2,49,BUD,B,975,-,-,3,2.9,4,0.8,0.8,1.1,-,-,-,,
6,11/29/2025,2,55,SUD,C,975,-,-,3.3,4,4,0.8,0.5,1.2,-,-,-,,
6,11/29/2025,2,54,SCW,D,975,-,-,2.8,4.2,3.8,0.6,0.7,0.7,-,-,-,,
6,11/29/2025,2,50,BCW,E,975,-,-,4.8,3,3.4,0.7,0.7,0.4,-,-,-,,
6,11/29/2025,2,51,BUW,F,975,-,-,2.3,4.5,4.3,0.8,0.8,1,-,-,-,,
6,11/29/2025,2,56,SUW,G,974,-,-,3.9,3.5,3.8,1,0.7,0.7,-,-,-,,
6,11/29/2025,2,52,BCD,H,974,-,-,4.6,4.5,5,0.8,0.6,0.2,-,-,-,,
6,11/29/2025,6,53,SCD,A,974,-,-,4.4,4.6,5,0.8,1,1,0.7,0.6,1,,
6,11/29/2025,6,49,BUD,B,974,-,-,3,2.9,4,0.4,1,0.7,0.6,0.9,0.7,,
6,11/29/2025,6,55,SUD,C,974,-,-,3.3,4,4,0.5,0.7,1,1.4,1,1.1,,
6,11/29/2025,6,54,SCW,D,974,-,-,2.8,4.2,3.8,1.1,0.6,0.8,0.4,0.5,0.8,,
6,11/29/2025,6,50,BCW,E,974,-,-,4.8,3,3.4,1.2,0.8,0.6,1,1.3,0.8,,
6,11/29/2025,6,51,BUW,F,974,-,-,2.3,4.5,4.3,0.6,0.7,0.8,0.5,0.6,0.8,,
6,11/29/2025,6,56,SUW,G,974,-,-,3.9,3.5,3.8,0.8,0.3,1,1.3,0.4,0.3,,
6,11/29/2025,6,52,BCD,H,974,-,-,4.6,4.5,5,0.6,0.7,0.1,1.3,1.2,0.6,,
6,11/29/2025,12,53,SCD,A,974,3.3,3.0,4.4,4.6,5,1.2,0.8,0.8,-,-,-,,
6,11/29/2025,12,49,BUD,B,974,1.8,1.8,3,2.9,4,0.8,0.7,1,-,-,-,,
6,11/29/2025,12,55,SUD,C,974,2.5,2.0,3.3,4,4,0.8,0.9,0.6,-,-,-,,
6,11/29/2025,12,54,SCW,D,974,2.2,1.9,2.8,4.2,3.8,0.8,0.8,0.6,-,-,-,,
6,11/29/2025,12,50,BCW,E,974,1.7,1.8,4.8,3,3.4,1,1,1.2,-,-,-,,
6,11/29/2025,12,51,BUW,F,974,3.0,2.1,2.3,4.5,4.3,1.1,0.7,0.6,-,-,-,,
6,11/29/2025,12,56,SUW,G,974,1.7,2.1,3.9,3.5,3.8,0.3,1.3,0.4,-,-,-,,
6,11/29/2025,12,52,BCD,H,974,2.7,3.4,4.6,4.5,5,0.6,0.9,0.5,-,-,-,,
6,11/30/2025,24,53,SCD,A,976,3.4,3.7,4.4,4.6,5,0.8,0.8,1,1,0.4,0.7,,
6,11/30/2025,24,49,BUD,B,976,1.6,2.7,3,2.9,4,0.7,1,1,1.1,0.4,1.1,,
6,11/30/2025,24,55,SUD,C,976,3.4,3.0,3.3,4,4,1,0.9,0.9,1.2,1.3,1.5,,
6,11/30/2025,24,54,SCW,D,975,1.9,1.9,2.8,4.2,3.8,0.7,1.1,0.5,1.4,0.8,1.4,,
6,11/30/2025,24,50,BCW,E,975,1.1,1.1,4.8,3,3.4,1.2,0.9,0.5,1.1,1.1,1.3,,
6,11/30/2025,24,51,BUW,F,975,2.6,1.6,2.3,4.5,4.3,0.7,0.5,0.6,1.5,0.5,0.9,,
6,11/30/2025,24,56,SUW,G,975,1.9,2.0,3.9,3.5,3.8,1.1,0.8,1,0.6,1,0.9,,
6,11/30/2025,24,52,BCD,H,975,1.5,2.8,4.6,4.5,5,0.9,1.1,0.76,1,0.4,0.5,,
6,11/30/2025,30,53,SCD,A,977,-,-,4.4,4.6,5,1,0.6,0.5,-,-,-,,
6,11/30/2025,30,49,BUD,B,977,-,-,3,2.9,4,0.5,0.6,1.2,-,-,-,,
6,11/30/2025,30,55,SUD,C,977,-,-,3.3,4,4,0.9,1.1,1.1,-,-,-,,
6,11/30/2025,30,54,SCW,D,977,-,-,2.8,4.2,3.8,0.8,0.7,0.4,-,-,-,,
6,11/30/2025,30,50,BCW,E,977,-,-,4.8,3,3.4,0.8,0.9,0.8,-,-,-,,
6,11/30/2025,30,51,BUW,F,978,-,-,2.3,4.5,4.3,0.9,0.6,0.5,-,-,-,,
6,11/30/2025,30,56,SUW,G,979,-,-,3.9,3.5,3.8,0.3,1.2,0.6,-,-,-,,
6,11/30/2025,30,52,BCD,H,979,-,-,4.6,4.5,5,0.4,0.9,0.6,-,-,-,,
6,11/30/2025,36,53,SCD,A,980,2.8,2.5,4.4,4.6,5,0.6,0.9,0.8,-,-,-,,
6,11/30/2025,36,49,BUD,B,980,1.6,1.5,3,2.9,4,0.8,1,0.8,-,-,-,,
6,11/30/2025,36,55,SUD,C,980,1.5,1.8,3.3,4,4,0.9,0.9,1.2,-,-,-,,
6,11/30/2025,36,54,SCW,D,980,1.7,2.0,2.8,4.2,3.8,1,0.9,0.6,-,-,-,,
6,11/30/2025,36,50,BCW,E,980,1.4,1.6,4.8,3,3.4,1,1.1,0.8,-,-,-,,
6,11/30/2025,36,51,BUW,F,980,2.4,1.5,2.3,4.5,4.3,0.6,0.6,0.5,-,-,-,,
6,11/30/2025,36,56,SUW,G,979,1.2,1.3,3.9,3.5,3.8,0.6,0.6,0.3,-,-,-,,
6,11/30/2025,36,52,BCD,H,979,2.0,2.4,4.6,4.5,5,0.6,1,0.2,-,-,-,,
6,12/1/2025,48,53,SCD,A,987,2.7,2.8,4.4,4.6,5,1,1.2,1.1,0.6,0.9,1,,
6,12/1/2025,48,49,BUD,B,987,1.5,1.6,3,2.9,4,0.6,0.8,0.5,0.9,0.6,1.2,,
6,12/1/2025,48,55,SUD,C,988,2.3,2.5,3.3,4,4,1,0.7,1,1.1,0.9,1.6,,
6,12/1/2025,48,54,SCW,D,988,1.0,1.3,2.8,4.2,3.8,0.9,0.9,0.6,0.9,0.7,0.8,,
6,12/1/2025,48,50,BCW,E,987,1.2,0.9,4.8,3,3.4,0.8,0,0.4,0.7,1.3,0.8,,
6,12/1/2025,48,51,BUW,F,987,1.9,2.7,2.3,4.5,4.3,1,0.7,0.8,1,0.6,0.9,,
6,12/1/2025,48,56,SUW,G,987,2.0,2.3,3.9,3.5,3.8,1.2,0.3,0.6,1.5,0.3,0.5,,
6,12/1/2025,48,52,BCD,H,987,1.6,2.5,4.6,4.5,5,1.2,0.4,0.4,1.4,1,0.6,,
6,12/1/2025,54,53,SCD,A,991,-,-,4.4,4.6,5,1.1,0.9,0.6,-,-,-,,
6,12/1/2025,54,49,BUD,B,991,-,-,3,2.9,4,1.1,1.2,1.2,-,-,-,,
6,12/1/2025,54,55,SUD,C,991,-,-,3.3,4,4,1.1,1.2,1.2,-,-,-,,
6,12/1/2025,54,54,SCW,D,991,-,-,2.8,4.2,3.8,0.7,0.9,0.6,-,-,-,,
6,12/1/2025,54,50,BCW,E,991,-,-,4.8,3,3.4,0.9,1.3,1,-,-,-,,
6,12/1/2025,54,51,BUW,F,992,-,-,2.3,4.5,4.3,0.9,0.8,0.3,-,-,-,,
6,12/1/2025,54,56,SUW,G,992,-,-,3.9,3.5,3.8,0.2,1.5,0.5,-,-,-,,
6,12/1/2025,54,52,BCD,H,992,-,-,4.6,4.5,5,0.4,1,0.6,-,-,-,,
6,12/1/2025,60,53,SCD,A,994,3.9,3.6,4.4,4.6,5,1,0.8,0.7,-,-,-,,
6,12/1/2025,60,49,BUD,B,994,3.3,2.5,3,2.9,4,0.9,0.8,0.7,-,-,-,,
6,12/1/2025,60,55,SUD,C,994,3.2,3.1,3.3,4,4,0.9,1.1,1.2,-,-,-,,
6,12/1/2025,60,54,SCW,D,994,2.8,2.3,2.8,4.2,3.8,0.7,0.5,0.7,-,-,-,,
6,12/1/2025,60,50,BCW,E,994,2,2.1,4.8,3,3.4,0.8,1,1,-,-,-,,
6,12/1/2025,60,51,BUW,F,994,2.6,2,2.3,4.5,4.3,0.7,0.5,0.4,-,-,-,,
6,12/1/2025,60,56,SUW,G,994,2.5,2.6,3.9,3.5,3.8,0.2,1.3,0.3,-,-,-,,
6,12/1/2025,60,52,BCD,H,994,2.6,3,4.6,4.5,5,0.2,0.8,0.8,-,-,-,,
6,12/2/2025,72,53,SCD,A,1000,3.1,4.1,4.4,4.6,5,0.4,0.7,1,-,-,-,,
6,12/2/2025,72,49,BUD,B,1000,2.8,3.4,3,2.9,4,1,0.9,0.7,-,-,-,,
