,Time,1
S/N,,958875
Type,,TGP-4020
Description,,D2W_DEEP
Property,,Temperature
1,2025-10-24 15:00:00,2.971
2,2025-10-24 15:10:00,2.854
3,2025-10-24 15:20:00,2.968
4,2025-10-24 15:30:00,3.139
5,2025-10-24 15:40:00,3.501
6,2025-10-24 15:50:00,3.288
7,2025-10-24 16:00:00,2.747
8,2025-10-24 16:10:00,3.317
9,2025-10-24 16:20:00,3.446
10,2025-10-24 16:30:00,3.122
11,2025-10-24 16:40:00,3.315
12,2025-10-24 16:50:00,3.614
13,2025-10-24 17:00:00,2.731
14,2025-10-24 17:10:00,2.745
15,2025-10-24 17:20:00,2.943
16,2025-10-24 17:30:00,3.454
17,2025-10-24 17:40:00,3.573
18,2025-10-24 17:50:00,3.203
19,2025-10-24 18:00:00,2.817
20,2025-10-24 18:10:00,3.028
21,2025-10-24 18:20:00,3.436
22,2025-10-24 18:30:00,3.555
23,2025-10-24 18:40:00,3.312
24,2025-10-24 18:50:00,3.441
25,2025-10-24 19:00:00,3.090
26,2025-10-24 19:10:00,2.890
27,2025-10-24 19:20:00,3.345
28,2025-10-24 19:30:00,3.778
29,2025-10-24 19:40:00,3.538
30,2025-10-24 19:50:00,2.594
31,2025-10-24 20:00:00,2.936
32,2025-10-24 20:10:00,3.511
33,2025-10-24 20:20:00,3.719
34,2025-10-24 20:30:00,3.452
35,2025-10-24 20:40:00,3.116
36,2025-10-24 20:50:00,2.840
37,2025-10-24 21:00:00,3.165
38,2025-10-24 21:10:00,3.609
39,2025-10-24 21:20:00,3.492
40,2025-10-24 21:30:00,3.282
41,2025-10-24 21:40:00,3.111
42,2025-10-24 21:50:00,2.756
43,2025-10-24 22:00:00,3.205
44,2025-10-24 22:10:00,3.611
45,2025-10-24 22:20:00,3.713
46,2025-10-24 22:30:00,3.349
47,2025-10-24 22:40:00,3.131
48,2025-10-24 22:50:00,2.903
49,2025-10-24 23:00:00,3.251
50,2025-10-24 23:10:00,3.681
51,2025-10-24 23:20:00,3.466
52,2025-10-24 23:30:00,3.239
53,2025-10-24 23:40:00,3.223
54,2025-10-24 23:50:00,2.923
55,2025-10-25 00:00:00,3.203
56,2025-10-25 00:10:00,3.584
57,2025-10-25 00:20:00,3.703
58,2025-10-25 00:30:00,3.371
59,2025-10-25 00:40:00,2.726
60,2025-10-25 00:50:00,2.922
61,2025-10-25 01:00:00,3.482
62,2025-10-25 01:10:00,3.714
63,2025-10-25 01:20:00,3.403
64,2025-10-25 01:30:00,2.687
65,2025-10-25 01:40:00,2.973
66,2025-10-25 01:50:00,3.344
67,2025-10-25 02:00:00,3.457
68,2025-10-25 02:10:00,3.430
69,2025-10-25 02:20:00,3.325
70,2025-10-25 02:30:00,3.306
71,2025-10-25 02:40:00,2.321
72,2025-10-25 02:50:00,3.202
73,2025-10-25 03:00:00,3.945
74,2025-10-25 03:10:00,3.933
75,2025-10-25 03:20:00,2.481
76,2025-10-25 03:30:00,2.761
77,2025-10-25 03:40:00,3.578
78,2025-10-25 03:50:00,3.512
79,2025-10-25 04:00:00,3.195
80,2025-10-25 04:10:00,3.366
81,2025-10-25 04:20:00,3.080
82,2025-10-25 04:30:00,2.936
83,2025-10-25 04:40:00,3.243
84,2025-10-25 04:50:00,3.635
85,2025-10-25 05:00:00,3.692
86,2025-10-25 05:10:00,3.254
87,2025-10-25 05:20:00,2.652
88,2025-10-25 05:30:00,3.048
89,2025-10-25 05:40:00,3.816
90,2025-10-25 05:50:00,3.449
91,2025-10-25 06:00:00,2.906
92,2025-10-25 06:10:00,3.135
93,2025-10-25 06:20:00,3.128
