,Time,1
S/N,,958880
Type,,TGP-4020
Description,,D2W_SHAL
Property,,Temperature
1,2025-10-24 15:00:00,2.744
2,2025-10-24 15:10:00,2.650
3,2025-10-24 15:20:00,2.805
4,2025-10-24 15:30:00,3.005
5,2025-10-24 15:40:00,3.458
6,2025-10-24 15:50:00,3.095
7,2025-10-24 16:00:00,2.468
8,2025-10-24 16:10:00,2.976
9,2025-10-24 16:20:00,2.979
10,2025-10-24 16:30:00,2.789
11,2025-10-24 16:40:00,3.060
12,2025-10-24 16:50:00,3.290
13,2025-10-24 17:00:00,2.166
14,2025-10-24 17:10:00,2.324
15,2025-10-24 17:20:00,2.755
16,2025-10-24 17:30:00,3.385
17,2025-10-24 17:40:00,3.454
18,2025-10-24 17:50:00,2.959
19,2025-10-24 18:00:00,2.529
20,2025-10-24 18:10:00,2.869
21,2025-10-24 18:20:00,3.355
22,2025-10-24 18:30:00,3.431
23,2025-10-24 18:40:00,3.080
24,2025-10-24 18:50:00,3.256
25,2025-10-24 19:00:00,2.785
26,2025-10-24 19:10:00,2.662
27,2025-10-24 19:20:00,3.259
28,2025-10-24 19:30:00,3.701
29,2025-10-24 19:40:00,3.320
30,2025-10-24 19:50:00,2.255
31,2025-10-24 20:00:00,2.816
32,2025-10-24 20:10:00,3.449
33,2025-10-24 20:20:00,3.622
34,2025-10-24 20:30:00,3.243
35,2025-10-24 20:40:00,2.787
36,2025-10-24 20:50:00,2.554
37,2025-10-24 21:00:00,3.050
38,2025-10-24 21:10:00,3.527
39,2025-10-24 21:20:00,3.286
40,2025-10-24 21:30:00,3.056
41,2025-10-24 21:40:00,2.867
42,2025-10-24 21:50:00,2.497
43,2025-10-24 22:00:00,3.119
44,2025-10-24 22:10:00,3.540
45,2025-10-24 22:20:00,3.563
46,2025-10-24 22:30:00,3.133
47,2025-10-24 22:40:00,2.840
48,2025-10-24 22:50:00,2.650
49,2025-10-24 23:00:00,3.131
50,2025-10-24 23:10:00,3.600
51,2025-10-24 23:20:00,3.234
52,2025-10-24 23:30:00,3.000
53,2025-10-24 23:40:00,3.020
54,2025-10-24 23:50:00,2.684
55,2025-10-25 00:00:00,3.079
56,2025-10-25 00:10:00,3.509
57,2025-10-25 00:20:00,3.565
58,2025-10-25 00:30:00,3.136
59,2025-10-25 00:40:00,2.365
60,2025-10-25 00:50:00,2.769
61,2025-10-25 01:00:00,3.423
62,2025-10-25 01:10:00,3.594
63,2025-10-25 01:20:00,3.154
64,2025-10-25 01:30:00,2.331
65,2025-10-25 01:40:00,2.864
66,2025-10-25 01:50:00,3.229
67,2025-10-25 02:00:00,3.336
68,2025-10-25 02:10:00,3.254
69,2025-10-25 02:20:00,3.131
70,2025-10-25 02:30:00,2.874
71,2025-10-25 02:40:00,2.000
72,2025-10-25 02:50:00,3.168
73,2025-10-25 03:00:00,3.956
74,2025-10-25 03:10:00,3.741
75,2025-10-25 03:20:00,1.989
76,2025-10-25 03:30:00,2.591
77,2025-10-25 03:40:00,3.606
78,2025-10-25 03:50:00,3.344
79,2025-10-25 04:00:00,2.999
80,2025-10-25 04:10:00,3.226
81,2025-10-25 04:20:00,2.843
82,2025-10-25 04:30:00,2.732
83,2025-10-25 04:40:00,3.116
84,2025-10-25 04:50:00,3.551
85,2025-10-25 05:00:00,3.509
86,2025-10-25 05:10:00,2.949
87,2025-10-25 05:20:00,2.328
88,2025-10-25 05:30:00,2.933
89,2025-10-25 05:40:00,3.880
90,2025-10-25 05:50:00,3.221
91,2025-10-25 06:00:00,2.660
92,2025-10-25 06:10:00,2.713
93,2025-10-25 06:20:00,2.726
94,2025-10-25 06:30:00,3.047
95,2025-10-25 06:40:00,3.127
96,2025-10-25 06:50:00,3.242
97,2025-10-25 07:00:00,2.842
98,2025-10-25 07:10:00,2.164
99,2025-10-25 07:20:00,2.708
100,2025-10-25 07:30:00,3.136
101,2025-10-25 07:40:00,3.543
102,2025-10-25 07:50:00,2.636
103,2025-10-25 08:00:00,2.412
104,2025-10-25 08:10:00,3.037
105,2025-10-25 08:20:00,3.547
106,2025-10-25 08:30:00,2.989
107,2025-10-25 08:40:00,2.944
108,2025-10-25 08:50:00,3.412
109,2025-10-25 09:00:00,2.623
110,2025-10-25 09:10:00,2.407
111,2025-10-25 09:20:00,3.103
112,2025-10-25 09:30:00,3.576
113,2025-10-25 09:40:00,3.403
114,2025-10-25 09:50:00,2.405
115,2025-10-25 10:00:00,2.623
116,2025-10-25 10:10:00,3.275
117,2025-10-25 10:20:00,3.419
118,2025-10-25 10:30:00,2.912
119,2025-10-25 10:40:00,3.055
120,2025-10-25 10:50:00,3.087
121,2025-10-25 11:00:00,2.467
122,2025-10-25 11:10:00,2.999
123,2025-10-25 11:20:00,3.090
124,2025-10-25 11:30:00,3.175
125,2025-10-25 11:40:00,3.141
126,2025-10-25 11:50:00,2.273
127,2025-10-25 12:00:00,2.776
128,2025-10-25 12:10:00,3.069
129,2025-10-25 12:20:00,3.157
130,2025-10-25 12:30:00,3.224
131,2025-10-25 12:40:00,3.111
132,2025-10-25 12:50:00,2.407
133,2025-10-25 13:00:00,2.662
134,2025-10-25 13:10:00,3.407
135,2025-10-25 13:20:00,3.505
136,2025-10-25 13:30:00,2.555
137,2025-10-25 13:40:00,2.520
138,2025-10-25 13:50:00,2.947
139,2025-10-25 14:00:00,3.355
140,2025-10-25 14:10:00,3.162
141,2025-10-25 14:20:00,3.357
142,2025-10-25 14:30:00,2.010
143,2025-10-25 14:40:00,2.229
144,2025-10-25 14:50:00,3.369
145,2025-10-25 15:00:00,3.741
146,2025-10-25 15:10:00,2.834
147,2025-10-25 15:20:00,2.608
148,2025-10-25 15:30:00,2.613
149,2025-10-25 15:40:00,3.068
150,2025-10-25 15:50:00,3.002
151,2025-10-25 16:00:00,3.482
152,2025-10-25 16:10:00,3.361
153,2025-10-25 16:20:00,2.020
154,2025-10-25 16:30:00,2.621
155,2025-10-25 16:40:00,3.476
156,2025-10-25 16:50:00,3.237
157,2025-10-25 17:00:00,2.597
158,2025-10-25 17:10:00,2.882
159,2025-10-25 17:20:00,2.662
160,2025-10-25 17:30:00,2.944
161,2025-10-25 17:40:00,3.376
162,2025-10-25 17:50:00,3.253
163,2025-10-25 18:00:00,3.285
164,2025-10-25 18:10:00,2.821
165,2025-10-25 18:20:00,2.594
166,2025-10-25 18:30:00,3.125
167,2025-10-25 18:40:00,3.420
168,2025-10-25 18:50:00,3.283
169,2025-10-25 19:00:00,3.155
170,2025-10-25 19:10:00,2.732
171,2025-10-25 19:20:00,2.689
172,2025-10-25 19:30:00,3.008
173,2025-10-25 19:40:00,3.547
174,2025-10-25 19:50:00,3.280
175,2025-10-25 20:00:00,2.936
176,2025-10-25 20:10:00,2.549
177,2025-10-25 20:20:00,3.058
178,2025-10-25 20:30:00,3.493
179,2025-10-25 20:40:00,3.229
180,2025-10-25 20:50:00,3.331
181,2025-10-25 21:00:00,2.763
182,2025-10-25 21:10:00,2.563
183,2025-10-25 21:20:00,3.301
184,2025-10-25 21:30:00,3.809
185,2025-10-25 21:40:00,2.914
186,2025-10-25 21:50:00,2.302
187,2025-10-25 22:00:00,3.021
188,2025-10-25 22:10:00,3.527
189,2025-10-25 22:20:00,3.256
190,2025-10-25 22:30:00,3.179
191,2025-10-25 22:40:00,3.179
192,2025-10-25 22:50:00,2.719
193,2025-10-25 23:00:00,2.726
194,2025-10-25 23:10:00,3.390
195,2025-10-25 23:20:00,3.627
196,2025-10-25 23:30:00,2.745
197,2025-10-25 23:40:00,2.631
198,2025-10-25 23:50:00,2.904
199,2025-10-26 00:00:00,3.390
200,2025-10-26 00:10:00,3.500
201,2025-10-26 00:20:00,3.232
202,2025-10-26 00:30:00,2.808
203,2025-10-26 00:40:00,2.450
204,2025-10-26 00:50:00,3.080
205,2025-10-26 01:00:00,3.665
206,2025-10-26 01:10:00,3.329
207,2025-10-26 01:20:00,3.010
208,2025-10-26 01:30:00,2.576
209,2025-10-26 01:40:00,3.077
210,2025-10-26 01:50:00,3.138
211,2025-10-26 02:00:00,3.235
212,2025-10-26 02:10:00,3.411
213,2025-10-26 02:20:00,2.523
214,2025-10-26 02:30:00,2.073
215,2025-10-26 02:40:00,3.120
216,2025-10-26 02:50:00,3.854
217,2025-10-26 03:00:00,3.248
218,2025-10-26 03:10:00,2.766
219,2025-10-26 03:20:00,2.710
220,2025-10-26 03:30:00,3.012
221,2025-10-26 03:40:00,3.635
222,2025-10-26 03:50:00,2.596
223,2025-10-26 04:00:00,2.589
224,2025-10-26 04:10:00,3.447
225,2025-10-26 04:20:00,3.568
226,2025-10-26 04:30:00,2.679
227,2025-10-26 04:40:00,2.963
228,2025-10-26 04:50:00,3.258
229,2025-10-26 05:00:00,3.149
230,2025-10-26 05:10:00,3.301
231,2025-10-26 05:20:00,2.613
232,2025-10-26 05:30:00,2.899
233,2025-10-26 05:40:00,3.727
234,2025-10-26 05:50:00,2.859
235,2025-10-26 06:00:00,2.563
236,2025-10-26 06:10:00,3.392
237,2025-10-26 06:20:00,3.342
238,2025-10-26 06:30:00,2.803
239,2025-10-26 06:40:00,3.090
240,2025-10-26 06:50:00,3.143
241,2025-10-26 07:00:00,3.144
242,2025-10-26 07:10:00,3.360
243,2025-10-26 07:20:00,2.171
244,2025-10-26 07:30:00,2.756
245,2025-10-26 07:40:00,3.246
246,2025-10-26 07:50:00,2.637
247,2025-10-26 08:00:00,2.888
248,2025-10-26 08:10:00,2.600
249,2025-10-26 08:20:00,2.798
250,2025-10-26 08:30:00,3.576
251,2025-10-26 08:40:00,2.111
252,2025-10-26 08:50:00,2.679
253,2025-10-26 09:00:00,3.207
254,2025-10-26 09:10:00,2.756
255,2025-10-26 09:20:00,2.399
256,2025-10-26 09:30:00,3.005
257,2025-10-26 09:40:00,3.144
258,2025-10-26 09:50:00,2.708
259,2025-10-26 10:00:00,2.906
260,2025-10-26 10:10:00,2.813
261,2025-10-26 10:20:00,2.915
262,2025-10-26 10:30:00,3.317
263,2025-10-26 10:40:00,2.410
264,2025-10-26 10:50:00,2.761
265,2025-10-26 11:00:00,2.978
266,2025-10-26 11:10:00,2.960
267,2025-10-26 11:20:00,3.060
268,2025-10-26 11:30:00,2.302
269,2025-10-26 11:40:00,2.943
270,2025-10-26 11:50:00,3.353
271,2025-10-26 12:00:00,2.981
272,2025-10-26 12:10:00,2.558
273,2025-10-26 12:20:00,2.886
274,2025-10-26 12:30:00,2.745
275,2025-10-26 12:40:00,2.928
276,2025-10-26 12:50:00,2.846
277,2025-10-26 13:00:00,2.374
278,2025-10-26 13:10:00,2.957
279,2025-10-26 13:20:00,2.726
280,2025-10-26 13:30:00,2.560
281,2025-10-26 13:40:00,3.203
282,2025-10-26 13:50:00,2.755
283,2025-10-26 14:00:00,2.515
284,2025-10-26 14:10:00,3.415
285,2025-10-26 14:20:00,2.300
286,2025-10-26 14:30:00,2.494
287,2025-10-26 14:40:00,3.261
288,2025-10-26 14:50:00,3.184
289,2025-10-26 15:00:00,2.581
290,2025-10-26 15:10:00,2.870
291,2025-10-26 15:20:00,2.821
292,2025-10-26 15:30:00,2.898
293,2025-10-26 15:40:00,3.294
294,2025-10-26 15:50:00,2.676
295,2025-10-26 16:00:00,2.718
296,2025-10-26 16:10:00,3.100
297,2025-10-26 16:20:00,3.026
298,2025-10-26 16:30:00,2.952
299,2025-10-26 16:40:00,2.747
300,2025-10-26 16:50:00,2.652
301,2025-10-26 17:00:00,3.278
302,2025-10-26 17:10:00,2.391
303,2025-10-26 17:20:00,2.437
304,2025-10-26 17:30:00,3.269
305,2025-10-26 17:40:00,3.339
306,2025-10-26 17:50:00,2.331
307,2025-10-26 18:00:00,3.069
308,2025-10-26 18:10:00,3.128
309,2025-10-26 18:20:00,2.769
310,2025-10-26 18:30:00,2.915
311,2025-10-26 18:40:00,2.629
312,2025-10-26 18:50:00,2.915
313,2025-10-26 19:00:00,3.328
314,2025-10-26 19:10:00,2.504
315,2025-10-26 19:20:00,2.703
316,2025-10-26 19:30:00,3.184
317,2025-10-26 19:40:00,2.835
318,2025-10-26 19:50:00,2.824
319,2025-10-26 20:00:00,2.787
320,2025-10-26 20:10:00,2.711
321,2025-10-26 20:20:00,3.160
322,2025-10-26 20:30:00,2.936
323,2025-10-26 20:40:00,2.500
324,2025-10-26 20:50:00,2.952
325,2025-10-26 21:00:00,2.875
326,2025-10-26 21:10:00,2.510
327,2025-10-26 21:20:00,2.927
328,2025-10-26 21:30:00,2.785
329,2025-10-26 21:40:00,2.870
330,2025-10-26 21:50:00,2.959
331,2025-10-26 22:00:00,2.678
332,2025-10-26 22:10:00,2.784
333,2025-10-26 22:20:00,3.266
334,2025-10-26 22:30:00,2.837
335,2025-10-26 22:40:00,2.618
336,2025-10-26 22:50:00,2.861
337,2025-10-26 23:00:00,2.740
338,2025-10-26 23:10:00,2.907
339,2025-10-26 23:20:00,2.800
340,2025-10-26 23:30:00,2.341
341,2025-10-26 23:40:00,3.199
342,2025-10-26 23:50:00,2.896
343,2025-10-27 00:00:00,2.391
344,2025-10-27 00:10:00,2.991
345,2025-10-27 00:20:00,3.045
346,2025-10-27 00:30:00,2.826
347,2025-10-27 00:40:00,3.055
348,2025-10-27 00:50:00,2.957
349,2025-10-27 01:00:00,2.789
350,2025-10-27 01:10:00,2.962
351,2025-10-27 01:20:00,2.686
352,2025-10-27 01:30:00,2.795
353,2025-10-27 01:40:00,3.341
354,2025-10-27 01:50:00,2.647
355,2025-10-27 02:00:00,2.713
356,2025-10-27 02:10:00,2.851
357,2025-10-27 02:20:00,2.341
358,2025-10-27 02:30:00,3.144
359,2025-10-27 02:40:00,3.274
360,2025-10-27 02:50:00,2.496
361,2025-10-27 03:00:00,2.813
362,2025-10-27 03:10:00,2.742
363,2025-10-27 03:20:00,2.728
364,2025-10-27 03:30:00,3.205
365,2025-10-27 03:40:00,2.906
366,2025-10-27 03:50:00,2.552
367,2025-10-27 04:00:00,2.895
368,2025-10-27 04:10:00,2.975
369,2025-10-27 04:20:00,3.005
370,2025-10-27 04:30:00,3.076
371,2025-10-27 04:40:00,2.575
372,2025-10-27 04:50:00,2.793
373,2025-10-27 05:00:00,3.329
374,2025-10-27 05:10:00,2.620
375,2025-10-27 05:20:00,2.379
376,2025-10-27 05:30:00,3.138
377,2025-10-27 05:40:00,3.288
378,2025-10-27 05:50:00,2.248
379,2025-10-27 06:00:00,2.573
380,2025-10-27 06:10:00,3.313
381,2025-10-27 06:20:00,3.592
382,2025-10-27 06:30:00,3.044
383,2025-10-27 06:40:00,2.091
384,2025-10-27 06:50:00,2.470
385,2025-10-27 07:00:00,3.274
386,2025-10-27 07:10:00,3.543
387,2025-10-27 07:20:00,2.439
388,2025-10-27 07:30:00,2.446
389,2025-10-27 07:40:00,2.550
390,2025-10-27 07:50:00,2.686
391,2025-10-27 08:00:00,2.949
392,2025-10-27 08:10:00,3.133
