,Time,1
S/N,,958907
Type,,TGP-4020
Description,,"C7,5"
Property,,Temperature
1,2025-10-11 21:16:00,-6.122 °C
2,2025-10-11 21:26:00,-6.094 °C
3,2025-10-11 21:36:00,-6.230 °C
4,2025-10-11 21:46:00,-6.373 °C
5,2025-10-11 21:56:00,-6.503 °C
6,2025-10-11 22:06:00,-6.641 °C
7,2025-10-11 22:16:00,-6.768 °C
8,2025-10-11 22:26:00,-6.828 °C
9,2025-10-11 22:36:00,-6.743 °C
10,2025-10-11 22:46:00,-6.329 °C
11,2025-10-11 22:56:00,-6.033 °C
12,2025-10-11 23:06:00,-6.164 °C
13,2025-10-11 23:16:00,-6.299 °C
14,2025-10-11 23:26:00,-6.436 °C
15,2025-10-11 23:36:00,-6.568 °C
16,2025-10-11 23:46:00,-6.705 °C
17,2025-10-11 23:56:00,-6.799 °C
18,2025-10-12 00:06:00,-6.824 °C
19,2025-10-12 00:16:00,-6.676 °C
20,2025-10-12 00:26:00,-6.063 °C
21,2025-10-12 00:36:00,-5.473 °C
22,2025-10-12 00:46:00,-6.270 °C
23,2025-10-12 00:56:00,-6.307 °C
24,2025-10-12 01:06:00,-6.415 °C
25,2025-10-12 01:16:00,-6.522 °C
26,2025-10-12 01:26:00,-6.641 °C
27,2025-10-12 01:36:00,-6.745 °C
28,2025-10-12 01:46:00,-6.816 °C
29,2025-10-12 01:56:00,-6.778 °C
30,2025-10-12 02:06:00,-6.509 °C
31,2025-10-12 02:16:00,-6.071 °C
32,2025-10-12 02:26:00,-6.126 °C
33,2025-10-12 02:36:00,-6.238 °C
34,2025-10-12 02:46:00,-6.371 °C
35,2025-10-12 02:56:00,-6.532 °C
36,2025-10-12 03:06:00,-6.680 °C
37,2025-10-12 03:16:00,-6.793 °C
38,2025-10-12 03:26:00,-6.837 °C
39,2025-10-12 03:36:00,-6.718 °C
40,2025-10-12 03:46:00,-6.299 °C
41,2025-10-12 03:56:00,-6.052 °C
42,2025-10-12 04:06:00,-6.185 °C
43,2025-10-12 04:16:00,-6.314 °C
44,2025-10-12 04:26:00,-6.446 °C
45,2025-10-12 04:36:00,-6.607 °C
46,2025-10-12 04:46:00,-6.751 °C
47,2025-10-12 04:56:00,-6.847 °C
48,2025-10-12 05:06:00,-6.753 °C
49,2025-10-12 05:16:00,-6.312 °C
50,2025-10-12 05:26:00,-6.058 °C
51,2025-10-12 05:36:00,-6.189 °C
52,2025-10-12 05:46:00,-6.331 °C
53,2025-10-12 05:56:00,-6.484 °C
54,2025-10-12 06:06:00,-6.643 °C
55,2025-10-12 06:16:00,-6.776 °C
56,2025-10-12 06:26:00,-6.839 °C
57,2025-10-12 06:36:00,-6.732 °C
58,2025-10-12 06:46:00,-6.291 °C
59,2025-10-12 06:56:00,-6.065 °C
60,2025-10-12 07:06:00,-6.202 °C
61,2025-10-12 07:16:00,-6.326 °C
62,2025-10-12 07:26:00,-6.473 °C
63,2025-10-12 07:36:00,-6.630 °C
64,2025-10-12 07:46:00,-6.772 °C
65,2025-10-12 07:56:00,-6.855 °C
66,2025-10-12 08:06:00,-6.678 °C
67,2025-10-12 08:16:00,-6.194 °C
68,2025-10-12 08:26:00,-6.153 °C
69,2025-10-12 08:36:00,-5.763 °C
70,2025-10-12 08:46:00,-6.385 °C
71,2025-10-12 08:56:00,-6.415 °C
72,2025-10-12 09:06:00,-6.545 °C
73,2025-10-12 09:16:00,-6.678 °C
74,2025-10-12 09:26:00,-6.793 °C
75,2025-10-12 09:36:00,-6.809 °C
76,2025-10-12 09:46:00,-6.657 °C
77,2025-10-12 09:56:00,-6.187 °C
78,2025-10-12 10:06:00,-6.079 °C
79,2025-10-12 10:16:00,-6.219 °C
80,2025-10-12 10:26:00,-6.369 °C
81,2025-10-12 10:36:00,-6.528 °C
82,2025-10-12 10:46:00,-6.676 °C
83,2025-10-12 10:56:00,-6.795 °C
84,2025-10-12 11:06:00,-6.832 °C
85,2025-10-12 11:16:00,-6.672 °C
86,2025-10-12 11:26:00,-6.225 °C
87,2025-10-12 11:36:00,-6.088 °C
88,2025-10-12 11:46:00,-6.219 °C
89,2025-10-12 11:56:00,-6.383 °C
90,2025-10-12 12:06:00,-6.536 °C
91,2025-10-12 12:16:00,-6.682 °C
92,2025-10-12 12:26:00,-6.801 °C
93,2025-10-12 12:36:00,-6.837 °C
94,2025-10-12 12:46:00,-6.559 °C
95,2025-10-12 12:56:00,-6.069 °C
96,2025-10-12 13:06:00,-6.158 °C
97,2025-10-12 13:16:00,-6.320 °C
98,2025-10-12 13:26:00,-6.476 °C
99,2025-10-12 13:36:00,-6.641 °C
100,2025-10-12 13:46:00,-6.776 °C
101,2025-10-12 13:56:00,-6.847 °C
102,2025-10-12 14:06:00,-6.693 °C
103,2025-10-12 14:16:00,-6.143 °C
104,2025-10-12 14:26:00,-6.116 °C
105,2025-10-12 14:36:00,-6.278 °C
106,2025-10-12 14:46:00,-6.452 °C
107,2025-10-12 14:56:00,-6.630 °C
108,2025-10-12 15:06:00,-6.770 °C
109,2025-10-12 15:16:00,-6.841 °C
110,2025-10-12 15:26:00,-6.737 °C
111,2025-10-12 15:36:00,-6.284 °C
112,2025-10-12 15:46:00,-6.077 °C
113,2025-10-12 15:56:00,-6.223 °C
114,2025-10-12 16:06:00,-6.387 °C
115,2025-10-12 16:16:00,-6.566 °C
116,2025-10-12 16:26:00,-6.728 °C
117,2025-10-12 16:36:00,-6.362 °C
118,2025-10-12 16:46:00,-6.616 °C
119,2025-10-12 16:56:00,-6.632 °C
120,2025-10-12 17:06:00,-6.749 °C
121,2025-10-12 17:16:00,-6.832 °C
122,2025-10-12 17:26:00,-6.787 °C
123,2025-10-12 17:36:00,-6.360 °C
124,2025-10-12 17:46:00,-6.062 °C
125,2025-10-12 17:56:00,-6.198 °C
126,2025-10-12 18:06:00,-6.368 °C
127,2025-10-12 18:16:00,-6.520 °C
128,2025-10-12 18:26:00,-6.682 °C
129,2025-10-12 18:36:00,-6.820 °C
130,2025-10-12 18:46:00,-6.843 °C
131,2025-10-12 18:56:00,-6.522 °C
132,2025-10-12 19:06:00,-6.062 °C
133,2025-10-12 19:16:00,-6.166 °C
134,2025-10-12 19:26:00,-6.322 °C
135,2025-10-12 19:36:00,-6.492 °C
136,2025-10-12 19:46:00,-6.635 °C
137,2025-10-12 19:56:00,-6.778 °C
138,2025-10-12 20:06:00,-6.836 °C
139,2025-10-12 20:16:00,-6.718 °C
140,2025-10-12 20:26:00,-6.177 °C
141,2025-10-12 20:36:00,-6.107 °C
142,2025-10-12 20:46:00,-6.257 °C
143,2025-10-12 20:56:00,-6.425 °C
144,2025-10-12 21:06:00,-6.584 °C
145,2025-10-12 21:16:00,-6.745 °C
146,2025-10-12 21:26:00,-6.837 °C
147,2025-10-12 21:36:00,-6.787 °C
148,2025-10-12 21:46:00,-6.362 °C
149,2025-10-12 21:56:00,-6.065 °C
150,2025-10-12 22:06:00,-6.192 °C
151,2025-10-12 22:16:00,-6.349 °C
152,2025-10-12 22:26:00,-6.528 °C
153,2025-10-12 22:36:00,-6.701 °C
154,2025-10-12 22:46:00,-6.832 °C
155,2025-10-12 22:56:00,-6.830 °C
156,2025-10-12 23:06:00,-6.576 °C
157,2025-10-12 23:16:00,-6.128 °C
158,2025-10-12 23:26:00,-6.145 °C
159,2025-10-12 23:36:00,-6.291 °C
160,2025-10-12 23:46:00,-6.457 °C
161,2025-10-12 23:56:00,-6.614 °C
162,2025-10-13 00:06:00,-6.758 °C
