,Time,1
S/N,,956209
Type,,TGP-4020
Description,,B_35
Property,,Temperature
1,2025-10-11 21:14:00,-6.056 °C
2,2025-10-11 21:24:00,-6.242 °C
3,2025-10-11 21:34:00,-6.452 °C
4,2025-10-11 21:44:00,-6.651 °C
5,2025-10-11 21:54:00,-6.807 °C
6,2025-10-11 22:04:00,-6.901 °C
7,2025-10-11 22:14:00,-6.805 °C
8,2025-10-11 22:24:00,-6.253 °C
9,2025-10-11 22:34:00,-5.812 °C
10,2025-10-11 22:44:00,-5.957 °C
11,2025-10-11 22:54:00,-6.134 °C
12,2025-10-11 23:04:00,-6.349 °C
13,2025-10-11 23:14:00,-6.551 °C
14,2025-10-11 23:24:00,-6.732 °C
15,2025-10-11 23:34:00,-6.872 °C
16,2025-10-11 23:44:00,-6.919 °C
17,2025-10-11 23:54:00,-6.683 °C
18,2025-10-12 00:04:00,-6.063 °C
19,2025-10-12 00:14:00,-5.840 °C
20,2025-10-12 00:24:00,-6.020 °C
21,2025-10-12 00:34:00,-5.667 °C
22,2025-10-12 00:44:00,-6.701 °C
23,2025-10-12 00:54:00,-6.628 °C
24,2025-10-12 01:04:00,-6.737 °C
25,2025-10-12 01:14:00,-6.834 °C
26,2025-10-12 01:24:00,-6.901 °C
27,2025-10-12 01:34:00,-6.826 °C
28,2025-10-12 01:44:00,-6.400 °C
29,2025-10-12 01:54:00,-5.840 °C
30,2025-10-12 02:04:00,-5.922 °C
31,2025-10-12 02:14:00,-6.077 °C
32,2025-10-12 02:24:00,-6.286 °C
33,2025-10-12 02:34:00,-6.457 °C
34,2025-10-12 02:44:00,-6.649 °C
35,2025-10-12 02:54:00,-6.841 °C
36,2025-10-12 03:04:00,-6.920 °C
37,2025-10-12 03:14:00,-6.758 °C
38,2025-10-12 03:24:00,-6.149 °C
39,2025-10-12 03:34:00,-5.833 °C
40,2025-10-12 03:44:00,-5.991 °C
41,2025-10-12 03:54:00,-6.160 °C
42,2025-10-12 04:04:00,-6.366 °C
43,2025-10-12 04:14:00,-6.561 °C
44,2025-10-12 04:24:00,-6.732 °C
45,2025-10-12 04:34:00,-6.903 °C
46,2025-10-12 04:44:00,-6.876 °C
47,2025-10-12 04:54:00,-6.392 °C
48,2025-10-12 05:04:00,-5.793 °C
49,2025-10-12 05:14:00,-5.980 °C
50,2025-10-12 05:24:00,-6.168 °C
51,2025-10-12 05:34:00,-6.371 °C
52,2025-10-12 05:44:00,-6.582 °C
53,2025-10-12 05:54:00,-6.780 °C
54,2025-10-12 06:04:00,-6.917 °C
55,2025-10-12 06:14:00,-6.824 °C
56,2025-10-12 06:24:00,-6.244 °C
57,2025-10-12 06:34:00,-5.812 °C
58,2025-10-12 06:44:00,-5.984 °C
59,2025-10-12 06:54:00,-6.179 °C
60,2025-10-12 07:04:00,-6.392 °C
61,2025-10-12 07:14:00,-6.572 °C
62,2025-10-12 07:24:00,-6.766 °C
63,2025-10-12 07:34:00,-6.899 °C
64,2025-10-12 07:44:00,-6.851 °C
65,2025-10-12 07:54:00,-6.196 °C
66,2025-10-12 08:04:00,-5.837 °C
67,2025-10-12 08:14:00,-6.026 °C
68,2025-10-12 08:24:00,-6.229 °C
69,2025-10-12 08:34:00,-5.769 °C
70,2025-10-12 08:44:00,-6.824 °C
71,2025-10-12 08:54:00,-6.749 °C
72,2025-10-12 09:04:00,-6.857 °C
73,2025-10-12 09:14:00,-6.886 °C
74,2025-10-12 09:24:00,-6.687 °C
75,2025-10-12 09:34:00,-6.009 °C
76,2025-10-12 09:44:00,-5.857 °C
77,2025-10-12 09:54:00,-6.039 °C
78,2025-10-12 10:04:00,-6.204 °C
79,2025-10-12 10:14:00,-6.419 °C
80,2025-10-12 10:24:00,-6.637 °C
81,2025-10-12 10:34:00,-6.826 °C
82,2025-10-12 10:44:00,-6.917 °C
83,2025-10-12 10:54:00,-6.726 °C
84,2025-10-12 11:04:00,-6.080 °C
85,2025-10-12 11:14:00,-5.850 °C
86,2025-10-12 11:24:00,-6.022 °C
87,2025-10-12 11:34:00,-6.211 °C
88,2025-10-12 11:44:00,-6.413 °C
89,2025-10-12 11:54:00,-6.651 °C
90,2025-10-12 12:04:00,-6.822 °C
91,2025-10-12 12:14:00,-6.903 °C
92,2025-10-12 12:24:00,-6.716 °C
93,2025-10-12 12:34:00,-5.988 °C
94,2025-10-12 12:44:00,-5.893 °C
95,2025-10-12 12:54:00,-6.086 °C
96,2025-10-12 13:04:00,-6.320 °C
97,2025-10-12 13:14:00,-6.564 °C
98,2025-10-12 13:24:00,-6.766 °C
99,2025-10-12 13:34:00,-6.903 °C
100,2025-10-12 13:44:00,-6.839 °C
101,2025-10-12 13:54:00,-6.189 °C
102,2025-10-12 14:04:00,-5.833 °C
103,2025-10-12 14:14:00,-6.048 °C
104,2025-10-12 14:24:00,-6.255 °C
105,2025-10-12 14:34:00,-6.497 °C
106,2025-10-12 14:44:00,-6.735 °C
107,2025-10-12 14:54:00,-6.905 °C
108,2025-10-12 15:04:00,-6.859 °C
109,2025-10-12 15:14:00,-6.229 °C
110,2025-10-12 15:24:00,-5.812 °C
111,2025-10-12 15:34:00,-5.990 °C
112,2025-10-12 15:44:00,-6.192 °C
113,2025-10-12 15:54:00,-6.419 °C
114,2025-10-12 16:04:00,-6.649 °C
115,2025-10-12 16:14:00,-6.859 °C
116,2025-10-12 16:24:00,-6.901 °C
117,2025-10-12 16:34:00,-6.379 °C
118,2025-10-12 16:44:00,-7.062 °C
119,2025-10-12 16:54:00,-6.915 °C
120,2025-10-12 17:04:00,-6.872 °C
121,2025-10-12 17:14:00,-6.402 °C
122,2025-10-12 17:24:00,-5.808 °C
123,2025-10-12 17:34:00,-5.973 °C
124,2025-10-12 17:44:00,-6.153 °C
125,2025-10-12 17:54:00,-6.373 °C
126,2025-10-12 18:04:00,-6.624 °C
127,2025-10-12 18:14:00,-6.810 °C
128,2025-10-12 18:24:00,-6.909 °C
129,2025-10-12 18:34:00,-6.718 °C
130,2025-10-12 18:44:00,-5.959 °C
131,2025-10-12 18:54:00,-5.912 °C
132,2025-10-12 19:04:00,-6.115 °C
133,2025-10-12 19:14:00,-6.324 °C
134,2025-10-12 19:24:00,-6.561 °C
135,2025-10-12 19:34:00,-6.780 °C
136,2025-10-12 19:44:00,-6.890 °C
137,2025-10-12 19:54:00,-6.836 °C
138,2025-10-12 20:04:00,-6.192 °C
139,2025-10-12 20:14:00,-5.823 °C
140,2025-10-12 20:24:00,-6.018 °C
141,2025-10-12 20:34:00,-6.232 °C
142,2025-10-12 20:44:00,-6.465 °C
143,2025-10-12 20:54:00,-6.703 °C
144,2025-10-12 21:04:00,-6.870 °C
145,2025-10-12 21:14:00,-6.915 °C
146,2025-10-12 21:24:00,-6.467 °C
147,2025-10-12 21:34:00,-5.793 °C
148,2025-10-12 21:44:00,-5.978 °C
149,2025-10-12 21:54:00,-6.166 °C
150,2025-10-12 22:04:00,-6.366 °C
151,2025-10-12 22:14:00,-6.595 °C
152,2025-10-12 22:24:00,-6.824 °C
153,2025-10-12 22:34:00,-6.934 °C
154,2025-10-12 22:44:00,-6.710 °C
155,2025-10-12 22:54:00,-5.935 °C
156,2025-10-12 23:04:00,-5.895 °C
157,2025-10-12 23:14:00,-6.080 °C
158,2025-10-12 23:24:00,-6.293 °C
159,2025-10-12 23:34:00,-6.513 °C
160,2025-10-12 23:44:00,-6.743 °C
161,2025-10-12 23:54:00,-6.884 °C
162,2025-10-13 00:04:00,-6.872 °C
163,2025-10-13 00:14:00,-6.345 °C
164,2025-10-13 00:24:00,-5.812 °C
165,2025-10-13 00:34:00,-6.758 °C
166,2025-10-13 00:44:00,-7.248 °C
167,2025-10-13 00:54:00,-6.907 °C
168,2025-10-13 01:04:00,-6.308 °C
169,2025-10-13 01:14:00,-5.827 °C
170,2025-10-13 01:24:00,-5.957 °C
171,2025-10-13 01:34:00,-6.139 °C
172,2025-10-13 01:44:00,-6.337 °C
173,2025-10-13 01:54:00,-6.561 °C
174,2025-10-13 02:04:00,-6.791 °C
175,2025-10-13 02:14:00,-6.915 °C
176,2025-10-13 02:24:00,-6.799 °C
177,2025-10-13 02:34:00,-6.048 °C
178,2025-10-13 02:44:00,-5.867 °C
179,2025-10-13 02:54:00,-6.046 °C
180,2025-10-13 03:04:00,-6.251 °C
181,2025-10-13 03:14:00,-6.463 °C
182,2025-10-13 03:24:00,-6.707 °C
183,2025-10-13 03:34:00,-6.884 °C
184,2025-10-13 03:44:00,-6.890 °C
185,2025-10-13 03:54:00,-6.419 °C
186,2025-10-13 04:04:00,-5.799 °C
187,2025-10-13 04:14:00,-5.965 °C
188,2025-10-13 04:24:00,-6.191 °C
189,2025-10-13 04:34:00,-6.408 °C
190,2025-10-13 04:44:00,-6.635 °C
191,2025-10-13 04:54:00,-6.809 °C
192,2025-10-13 05:04:00,-6.915 °C
193,2025-10-13 05:14:00,-6.242 °C
194,2025-10-13 05:24:00,-6.166 °C
195,2025-10-13 05:34:00,-6.189 °C
196,2025-10-13 05:44:00,-6.191 °C
197,2025-10-13 05:54:00,-6.187 °C
198,2025-10-13 06:04:00,-6.181 °C
199,2025-10-13 06:14:00,-6.170 °C
200,2025-10-13 06:24:00,-6.153 °C
201,2025-10-13 06:34:00,-6.128 °C
202,2025-10-13 06:44:00,-6.101 °C
203,2025-10-13 06:54:00,-6.067 °C
204,2025-10-13 07:04:00,-6.035 °C
205,2025-10-13 07:14:00,-5.999 °C
206,2025-10-13 07:24:00,-5.959 °C
207,2025-10-13 07:34:00,-5.916 °C
208,2025-10-13 07:44:00,-5.874 °C
209,2025-10-13 07:54:00,-5.831 °C
210,2025-10-13 08:04:00,-5.786 °C
211,2025-10-13 08:14:00,-5.741 °C
212,2025-10-13 08:24:00,-5.696 °C
213,2025-10-13 08:34:00,-5.650 °C
214,2025-10-13 08:44:00,-5.604 °C
215,2025-10-13 08:54:00,-5.555 °C
216,2025-10-13 09:04:00,-5.506 °C
217,2025-10-13 09:14:00,-5.459 °C
218,2025-10-13 09:24:00,-5.413 °C
219,2025-10-13 09:34:00,-5.366 °C
220,2025-10-13 09:44:00,-5.318 °C
221,2025-10-13 09:54:00,-5.271 °C
222,2025-10-13 10:04:00,-5.225 °C
223,2025-10-13 10:14:00,-5.180 °C
224,2025-10-13 10:24:00,-5.134 °C
225,2025-10-13 10:34:00,-5.087 °C
226,2025-10-13 10:44:00,-5.041 °C
227,2025-10-13 10:54:00,-4.993 °C
228,2025-10-13 11:04:00,-4.948 °C
229,2025-10-13 11:14:00,-4.906 °C
230,2025-10-13 11:24:00,-4.858 °C
231,2025-10-13 11:34:00,-4.814 °C
232,2025-10-13 11:44:00,-4.768 °C
233,2025-10-13 11:54:00,-4.722 °C
234,2025-10-13 12:04:00,-4.678 °C
235,2025-10-13 12:14:00,-4.633 °C
236,2025-10-13 12:24:00,-4.589 °C
237,2025-10-13 12:34:00,-4.545 °C
238,2025-10-13 12:44:00,-4.501 °C
239,2025-10-13 12:54:00,-4.458 °C
240,2025-10-13 13:04:00,-4.412 °C
241,2025-10-13 13:14:00,-4.366 °C
242,2025-10-13 13:24:00,-4.324 °C
243,2025-10-13 13:34:00,-4.282 °C
244,2025-10-13 13:44:00,-4.239 °C
245,2025-10-13 13:54:00,-4.197 °C
246,2025-10-13 14:04:00,-4.153 °C
247,2025-10-13 14:14:00,-4.113 °C
248,2025-10-13 14:24:00,-4.071 °C
249,2025-10-13 14:34:00,-4.030 °C
250,2025-10-13 14:44:00,-3.990 °C
251,2025-10-13 14:54:00,-3.948 °C
252,2025-10-13 15:04:00,-3.907 °C
253,2025-10-13 15:14:00,-3.867 °C
254,2025-10-13 15:24:00,-3.829 °C
255,2025-10-13 15:34:00,-3.789 °C
256,2025-10-13 15:44:00,-3.750 °C
257,2025-10-13 15:54:00,-3.710 °C
258,2025-10-13 16:04:00,-3.672 °C
259,2025-10-13 16:14:00,-3.634 °C
260,2025-10-13 16:24:00,-3.595 °C
261,2025-10-13 16:34:00,-3.557 °C
262,2025-10-13 16:44:00,-3.521 °C
263,2025-10-13 16:54:00,-3.485 °C
264,2025-10-13 17:04:00,-3.450 °C
265,2025-10-13 17:14:00,-3.416 °C
266,2025-10-13 17:24:00,-3.380 °C
267,2025-10-13 17:34:00,-3.344 °C
268,2025-10-13 17:44:00,-3.310 °C
269,2025-10-13 17:54:00,-3.276 °C
270,2025-10-13 18:04:00,-3.244 °C
271,2025-10-13 18:14:00,-3.208 °C
272,2025-10-13 18:24:00,-3.175 °C
273,2025-10-13 18:34:00,-3.141 °C
274,2025-10-13 18:44:00,-3.111 °C
275,2025-10-13 18:54:00,-3.079 °C
276,2025-10-13 19:04:00,-3.047 °C
277,2025-10-13 19:14:00,-3.013 °C
278,2025-10-13 19:24:00,-2.981 °C
279,2025-10-13 19:34:00,-2.951 °C
280,2025-10-13 19:44:00,-2.921 °C
281,2025-10-13 19:54:00,-2.891 °C
282,2025-10-13 20:04:00,-2.859 °C
283,2025-10-13 20:14:00,-2.827 °C
284,2025-10-13 20:24:00,-2.799 °C
285,2025-10-13 20:34:00,-2.770 °C
286,2025-10-13 20:44:00,-2.740 °C
287,2025-10-13 20:54:00,-2.710 °C
288,2025-10-13 21:04:00,-2.680 °C
289,2025-10-13 21:14:00,-2.652 °C
290,2025-10-13 21:24:00,-2.624 °C
291,2025-10-13 21:34:00,-2.597 °C
292,2025-10-13 21:44:00,-2.567 °C
293,2025-10-13 21:54:00,-2.539 °C
294,2025-10-13 22:04:00,-2.511 °C
295,2025-10-13 22:14:00,-2.485 °C
296,2025-10-13 22:24:00,-2.458 °C
297,2025-10-13 22:34:00,-2.430 °C
298,2025-10-13 22:44:00,-2.404 °C
299,2025-10-13 22:54:00,-2.376 °C
300,2025-10-13 23:04:00,-2.350 °C
301,2025-10-13 23:14:00,-2.325 °C
302,2025-10-13 23:24:00,-2.301 °C
303,2025-10-13 23:34:00,-2.273 °C
304,2025-10-13 23:44:00,-2.246 °C
305,2025-10-13 23:54:00,-2.222 °C
306,2025-10-14 00:04:00,-2.198 °C
307,2025-10-14 00:14:00,-2.175 °C
308,2025-10-14 00:24:00,-2.150 °C
309,2025-10-14 00:34:00,-2.126 °C
310,2025-10-14 00:44:00,-2.100 °C
311,2025-10-14 00:54:00,-2.075 °C
312,2025-10-14 01:04:00,-2.053 °C
313,2025-10-14 01:14:00,-2.030 °C
314,2025-10-14 01:24:00,-2.006 °C
315,2025-10-14 01:34:00,-1.983 °C
316,2025-10-14 01:44:00,-1.960 °C
317,2025-10-14 01:54:00,-1.938 °C
318,2025-10-14 02:04:00,-1.917 °C
319,2025-10-14 02:14:00,-1.894 °C
320,2025-10-14 02:24:00,-1.872 °C
321,2025-10-14 02:34:00,-1.849 °C
322,2025-10-14 02:44:00,-1.827 °C
323,2025-10-14 02:54:00,-1.808 °C
324,2025-10-14 03:04:00,-1.787 °C
325,2025-10-14 03:14:00,-1.764 °C
326,2025-10-14 03:24:00,-1.742 °C
327,2025-10-14 03:34:00,-1.723 °C
328,2025-10-14 03:44:00,-1.702 °C
329,2025-10-14 03:54:00,-1.683 °C
330,2025-10-14 04:04:00,-1.662 °C
331,2025-10-14 04:14:00,-1.641 °C
332,2025-10-14 04:24:00,-1.621 °C
333,2025-10-14 04:34:00,-1.603 °C
334,2025-10-14 04:44:00,-1.584 °C
335,2025-10-14 04:54:00,-1.564 °C
336,2025-10-14 05:04:00,-1.546 °C
337,2025-10-14 05:14:00,-1.526 °C
338,2025-10-14 05:24:00,-1.507 °C
339,2025-10-14 05:34:00,-1.489 °C
340,2025-10-14 05:44:00,-1.471 °C
341,2025-10-14 05:54:00,-1.453 °C
342,2025-10-14 06:04:00,-1.434 °C
343,2025-10-14 06:14:00,-1.415 °C
344,2025-10-14 06:24:00,-1.396 °C
345,2025-10-14 06:34:00,-1.379 °C
346,2025-10-14 06:44:00,-1.364 °C
347,2025-10-14 06:54:00,-1.345 °C
348,2025-10-14 07:04:00,-1.326 °C
349,2025-10-14 07:14:00,-1.307 °C
350,2025-10-14 07:24:00,-1.292 °C
351,2025-10-14 07:34:00,-1.276 °C
352,2025-10-14 07:44:00,-1.261 °C
353,2025-10-14 07:54:00,-1.242 °C
354,2025-10-14 08:04:00,-1.225 °C
355,2025-10-14 08:14:00,-1.209 °C
356,2025-10-14 08:24:00,-1.195 °C
357,2025-10-14 08:34:00,-1.178 °C
358,2025-10-14 08:44:00,-1.163 °C
359,2025-10-14 08:54:00,-1.149 °C
360,2025-10-14 09:04:00,-1.134 °C
