,Time,1
S/N,,959012
Type,,TGP-4020
Description,,F0
Property,,Temperature
1,2025-10-11 22:34:00,-6.778 °C
2,2025-10-11 22:44:00,-4.963 °C
3,2025-10-11 22:54:00,-5.130 °C
4,2025-10-11 23:04:00,-5.347 °C
5,2025-10-11 23:14:00,-5.609 °C
6,2025-10-11 23:24:00,-5.948 °C
7,2025-10-11 23:34:00,-6.402 °C
8,2025-10-11 23:44:00,-7.143 °C
9,2025-10-11 23:54:00,-8.335 °C
10,2025-10-12 00:04:00,-8.622 °C
11,2025-10-12 00:14:00,-5.664 °C
12,2025-10-12 00:24:00,-5.011 °C
13,2025-10-12 00:34:00,-4.792 °C
14,2025-10-12 00:44:00,-5.752 °C
15,2025-10-12 00:54:00,-5.735 °C
16,2025-10-12 01:04:00,-5.959 °C
17,2025-10-12 01:14:00,-6.307 °C
18,2025-10-12 01:24:00,-6.847 °C
19,2025-10-12 01:34:00,-7.730 °C
20,2025-10-12 01:44:00,-9.043 °C
21,2025-10-12 01:54:00,-7.410 °C
22,2025-10-12 02:04:00,-4.954 °C
23,2025-10-12 02:14:00,-5.083 °C
24,2025-10-12 02:24:00,-5.280 °C
25,2025-10-12 02:34:00,-5.480 °C
26,2025-10-12 02:44:00,-5.773 °C
27,2025-10-12 02:54:00,-6.215 °C
28,2025-10-12 03:04:00,-6.942 °C
29,2025-10-12 03:14:00,-8.104 °C
30,2025-10-12 03:24:00,-8.917 °C
31,2025-10-12 03:34:00,-6.105 °C
32,2025-10-12 03:44:00,-5.000 °C
33,2025-10-12 03:54:00,-5.152 °C
34,2025-10-12 04:04:00,-5.364 °C
35,2025-10-12 04:14:00,-5.628 °C
36,2025-10-12 04:24:00,-5.961 °C
37,2025-10-12 04:34:00,-6.497 °C
38,2025-10-12 04:44:00,-7.524 °C
39,2025-10-12 04:54:00,-9.137 °C
40,2025-10-12 05:04:00,-6.680 °C
41,2025-10-12 05:14:00,-4.985 °C
42,2025-10-12 05:24:00,-5.156 °C
43,2025-10-12 05:34:00,-5.366 °C
44,2025-10-12 05:44:00,-5.660 °C
45,2025-10-12 05:54:00,-6.046 °C
46,2025-10-12 06:04:00,-6.683 °C
47,2025-10-12 06:14:00,-7.793 °C
48,2025-10-12 06:24:00,-9.210 °C
49,2025-10-12 06:34:00,-6.387 °C
50,2025-10-12 06:44:00,-4.987 °C
51,2025-10-12 06:54:00,-5.169 °C
