,Time,1
S/N,,956209
Type,,TGP-4020
Description,,B_35
Property,,Temperature
1,2025-11-08 16:44:00,21.800 °C
2,2025-11-08 16:54:00,21.794 °C
3,2025-11-08 17:04:00,21.776 °C
4,2025-11-08 17:14:00,21.735 °C
5,2025-11-08 17:24:00,21.730 °C
6,2025-11-08 17:34:00,21.731 °C
7,2025-11-08 17:44:00,21.734 °C
8,2025-11-08 17:54:00,21.737 °C
9,2025-11-08 18:04:00,21.738 °C
10,2025-11-08 18:14:00,21.738 °C
11,2025-11-08 18:24:00,21.738 °C
12,2025-11-08 18:34:00,21.735 °C
13,2025-11-08 18:44:00,21.731 °C
14,2025-11-08 18:54:00,21.727 °C
15,2025-11-08 19:04:00,21.725 °C
16,2025-11-08 19:14:00,21.724 °C
17,2025-11-08 19:24:00,21.722 °C
18,2025-11-08 19:34:00,21.722 °C
19,2025-11-08 19:44:00,21.721 °C
20,2025-11-08 19:54:00,21.721 °C
21,2025-11-08 20:04:00,21.718 °C
22,2025-11-08 20:14:00,21.718 °C
23,2025-11-08 20:24:00,21.714 °C
24,2025-11-08 20:34:00,21.722 °C
25,2025-11-08 20:44:00,21.735 °C
26,2025-11-08 20:54:00,21.751 °C
27,2025-11-08 21:04:00,21.766 °C
28,2025-11-08 21:14:00,21.774 °C
29,2025-11-08 21:24:00,21.782 °C
30,2025-11-08 21:34:00,21.786 °C
31,2025-11-08 21:44:00,21.789 °C
32,2025-11-08 21:54:00,21.790 °C
33,2025-11-08 22:04:00,21.790 °C
34,2025-11-08 22:14:00,21.787 °C
35,2025-11-08 22:24:00,21.782 °C
36,2025-11-08 22:34:00,21.776 °C
37,2025-11-08 22:44:00,21.771 °C
38,2025-11-08 22:54:00,21.769 °C
39,2025-11-08 23:04:00,21.766 °C
40,2025-11-08 23:14:00,21.761 °C
41,2025-11-08 23:24:00,21.758 °C
42,2025-11-08 23:34:00,21.754 °C
43,2025-11-08 23:44:00,21.751 °C
44,2025-11-08 23:54:00,21.748 °C
45,2025-11-09 00:04:00,21.743 °C
46,2025-11-09 00:14:00,21.744 °C
47,2025-11-09 00:24:00,21.745 °C
48,2025-11-09 00:34:00,21.747 °C
49,2025-11-09 00:44:00,21.747 °C
50,2025-11-09 00:54:00,21.754 °C
51,2025-11-09 01:04:00,21.763 °C
52,2025-11-09 01:14:00,21.767 °C
53,2025-11-09 01:24:00,21.771 °C
54,2025-11-09 01:34:00,21.774 °C
55,2025-11-09 01:44:00,21.773 °C
56,2025-11-09 01:54:00,21.771 °C
57,2025-11-09 02:04:00,21.769 °C
58,2025-11-09 02:14:00,21.766 °C
59,2025-11-09 02:24:00,21.763 °C
60,2025-11-09 02:34:00,21.758 °C
61,2025-11-09 02:44:00,21.757 °C
62,2025-11-09 02:54:00,21.753 °C
63,2025-11-09 03:04:00,21.748 °C
64,2025-11-09 03:14:00,21.745 °C
65,2025-11-09 03:24:00,21.754 °C
66,2025-11-09 03:34:00,21.763 °C
67,2025-11-09 03:44:00,21.770 °C
68,2025-11-09 03:54:00,21.774 °C
69,2025-11-09 04:04:00,21.777 °C
70,2025-11-09 04:14:00,21.779 °C
71,2025-11-09 04:24:00,21.777 °C
72,2025-11-09 04:34:00,21.774 °C
73,2025-11-09 04:44:00,21.770 °C
74,2025-11-09 04:54:00,21.767 °C
75,2025-11-09 05:04:00,21.763 °C
76,2025-11-09 05:14:00,21.758 °C
77,2025-11-09 05:24:00,21.760 °C
78,2025-11-09 05:34:00,21.770 °C
79,2025-11-09 05:44:00,21.780 °C
80,2025-11-09 05:54:00,21.787 °C
81,2025-11-09 06:04:00,21.792 °C
82,2025-11-09 06:14:00,21.793 °C
83,2025-11-09 06:24:00,21.794 °C
84,2025-11-09 06:34:00,21.792 °C
85,2025-11-09 06:44:00,21.789 °C
86,2025-11-09 06:54:00,21.783 °C
87,2025-11-09 07:04:00,21.773 °C
88,2025-11-09 07:14:00,21.761 °C
89,2025-11-09 07:24:00,21.750 °C
90,2025-11-09 07:34:00,21.743 °C
91,2025-11-09 07:44:00,21.738 °C
92,2025-11-09 07:54:00,21.734 °C
93,2025-11-09 08:04:00,21.731 °C
94,2025-11-09 08:14:00,21.730 °C
95,2025-11-09 08:24:00,21.727 °C
96,2025-11-09 08:34:00,21.725 °C
97,2025-11-09 08:44:00,21.740 °C
98,2025-11-09 08:54:00,21.760 °C
99,2025-11-09 09:04:00,21.777 °C
100,2025-11-09 09:14:00,21.794 °C
101,2025-11-09 09:24:00,21.809 °C
102,2025-11-09 09:34:00,21.819 °C
103,2025-11-09 09:44:00,21.826 °C
104,2025-11-09 09:54:00,21.831 °C
105,2025-11-09 10:04:00,21.832 °C
106,2025-11-09 10:14:00,21.832 °C
107,2025-11-09 10:24:00,21.828 °C
108,2025-11-09 10:34:00,21.822 °C
109,2025-11-09 10:44:00,21.815 °C
110,2025-11-09 10:54:00,21.806 °C
111,2025-11-09 11:04:00,21.797 °C
112,2025-11-09 11:14:00,21.789 °C
113,2025-11-09 11:24:00,21.782 °C
114,2025-11-09 11:34:00,21.770 °C
115,2025-11-09 11:44:00,21.760 °C
116,2025-11-09 11:54:00,21.757 °C
117,2025-11-09 12:04:00,21.761 °C
118,2025-11-09 12:14:00,21.771 °C
119,2025-11-09 12:24:00,21.780 °C
120,2025-11-09 12:34:00,21.784 °C
121,2025-11-09 12:44:00,21.784 °C
122,2025-11-09 12:54:00,21.786 °C
123,2025-11-09 13:04:00,21.786 °C
124,2025-11-09 13:14:00,21.783 °C
125,2025-11-09 13:24:00,19.549 °C
126,2025-11-09 13:34:00,18.801 °C
127,2025-11-09 13:44:00,18.335 °C
128,2025-11-09 13:54:00,18.019 °C
129,2025-11-09 14:04:00,17.870 °C
130,2025-11-09 14:14:00,17.718 °C
131,2025-11-09 14:24:00,17.620 °C
132,2025-11-09 14:34:00,17.454 °C
133,2025-11-09 14:44:00,19.737 °C
134,2025-11-09 14:54:00,3.055 °C
135,2025-11-09 15:04:00,-0.011 °C
136,2025-11-09 15:14:00,-1.564 °C
137,2025-11-09 15:24:00,-2.011 °C
138,2025-11-09 15:34:00,-2.404 °C
139,2025-11-09 15:44:00,-3.111 °C
140,2025-11-09 15:54:00,-3.834 °C
141,2025-11-09 16:04:00,-3.153 °C
142,2025-11-09 16:14:00,-3.871 °C
143,2025-11-09 16:24:00,-4.180 °C
144,2025-11-09 16:34:00,-4.564 °C
145,2025-11-09 16:44:00,-4.808 °C
146,2025-11-09 16:54:00,-4.624 °C
147,2025-11-09 17:04:00,-4.793 °C
148,2025-11-09 17:14:00,-5.061 °C
149,2025-11-09 17:24:00,-5.280 °C
150,2025-11-09 17:34:00,-5.456 °C
151,2025-11-09 17:44:00,-5.411 °C
152,2025-11-09 17:54:00,-5.236 °C
153,2025-11-09 18:04:00,-5.428 °C
154,2025-11-09 18:14:00,-5.607 °C
155,2025-11-09 18:24:00,-5.758 °C
156,2025-11-09 18:34:00,-5.816 °C
157,2025-11-09 18:44:00,-5.532 °C
158,2025-11-09 18:54:00,-5.604 °C
159,2025-11-09 19:04:00,-5.767 °C
160,2025-11-09 19:14:00,-5.914 °C
161,2025-11-09 19:24:00,-5.940 °C
162,2025-11-09 19:34:00,-5.744 °C
163,2025-11-09 19:44:00,-5.679 °C
164,2025-11-09 19:54:00,-5.846 °C
165,2025-11-09 20:04:00,-5.984 °C
166,2025-11-09 20:14:00,-6.073 °C
167,2025-11-09 20:24:00,-5.897 °C
168,2025-11-09 20:34:00,-5.684 °C
169,2025-11-09 20:44:00,-5.833 °C
170,2025-11-09 20:54:00,-5.986 °C
171,2025-11-09 21:04:00,-6.069 °C
172,2025-11-09 21:14:00,-6.048 °C
173,2025-11-09 21:24:00,-5.729 °C
174,2025-11-09 21:34:00,-5.807 °C
175,2025-11-09 21:44:00,-5.971 °C
176,2025-11-09 21:54:00,-6.067 °C
177,2025-11-09 22:04:00,-6.088 °C
178,2025-11-09 22:14:00,-5.869 °C
179,2025-11-09 22:24:00,-5.765 °C
180,2025-11-09 22:34:00,-5.933 °C
181,2025-11-09 22:44:00,-6.062 °C
182,2025-11-09 22:54:00,-6.120 °C
183,2025-11-09 23:04:00,-5.999 °C
184,2025-11-09 23:14:00,-5.722 °C
185,2025-11-09 23:24:00,-5.886 °C
186,2025-11-09 23:34:00,-6.033 °C
187,2025-11-09 23:44:00,-6.105 °C
188,2025-11-09 23:54:00,-5.602 °C
189,2025-11-10 00:04:00,-4.797 °C
190,2025-11-10 00:14:00,-5.650 °C
191,2025-11-10 00:24:00,-5.863 °C
192,2025-11-10 00:34:00,-6.014 °C
193,2025-11-10 00:44:00,-6.080 °C
194,2025-11-10 00:54:00,-5.991 °C
195,2025-11-10 01:04:00,-5.716 °C
196,2025-11-10 01:14:00,-5.850 °C
197,2025-11-10 01:24:00,-5.999 °C
198,2025-11-10 01:34:00,-6.099 °C
199,2025-11-10 01:44:00,-6.063 °C
200,2025-11-10 01:54:00,-5.775 °C
201,2025-11-10 02:04:00,-5.827 °C
202,2025-11-10 02:14:00,-5.993 °C
203,2025-11-10 02:24:00,-6.101 °C
204,2025-11-10 02:34:00,-6.099 °C
205,2025-11-10 02:44:00,-5.816 °C
206,2025-11-10 02:54:00,-5.799 °C
207,2025-11-10 03:04:00,-5.952 °C
208,2025-11-10 03:14:00,-6.071 °C
209,2025-11-10 03:24:00,-6.107 °C
210,2025-11-10 03:34:00,-5.957 °C
211,2025-11-10 03:44:00,-5.735 °C
212,2025-11-10 03:54:00,-5.906 °C
213,2025-11-10 04:04:00,-6.060 °C
214,2025-11-10 04:14:00,-6.120 °C
215,2025-11-10 04:24:00,-6.014 °C
216,2025-11-10 04:34:00,-5.731 °C
217,2025-11-10 04:44:00,-5.886 °C
218,2025-11-10 04:54:00,-6.029 °C
219,2025-11-10 05:04:00,-6.118 °C
220,2025-11-10 05:14:00,-6.073 °C
221,2025-11-10 05:24:00,-5.748 °C
222,2025-11-10 05:34:00,-5.869 °C
223,2025-11-10 05:44:00,-6.027 °C
224,2025-11-10 05:54:00,-6.130 °C
225,2025-11-10 06:04:00,-6.073 °C
226,2025-11-10 06:14:00,-5.756 °C
227,2025-11-10 06:24:00,-5.891 °C
228,2025-11-10 06:34:00,-6.033 °C
229,2025-11-10 06:44:00,-6.118 °C
230,2025-11-10 06:54:00,-6.079 °C
231,2025-11-10 07:04:00,-5.756 °C
232,2025-11-10 07:14:00,-5.874 °C
233,2025-11-10 07:24:00,-6.044 °C
234,2025-11-10 07:34:00,-6.128 °C
235,2025-11-10 07:44:00,-6.058 °C
236,2025-11-10 07:54:00,-5.741 °C
237,2025-11-10 08:04:00,-4.838 °C
238,2025-11-10 08:14:00,-5.744 °C
239,2025-11-10 08:24:00,-5.963 °C
240,2025-11-10 08:34:00,-6.060 °C
241,2025-11-10 08:44:00,-6.007 °C
242,2025-11-10 08:54:00,-5.720 °C
243,2025-11-10 09:04:00,-5.842 °C
244,2025-11-10 09:14:00,-6.005 °C
245,2025-11-10 09:24:00,-6.111 °C
246,2025-11-10 09:34:00,-6.060 °C
247,2025-11-10 09:44:00,-5.761 °C
248,2025-11-10 09:54:00,-5.865 °C
249,2025-11-10 10:04:00,-6.018 °C
250,2025-11-10 10:14:00,-6.116 °C
251,2025-11-10 10:24:00,-6.067 °C
252,2025-11-10 10:34:00,-5.776 °C
253,2025-11-10 10:44:00,-5.861 °C
254,2025-11-10 10:54:00,-6.012 °C
255,2025-11-10 11:04:00,-6.120 °C
256,2025-11-10 11:14:00,-6.092 °C
257,2025-11-10 11:24:00,-5.758 °C
258,2025-11-10 11:34:00,-5.876 °C
259,2025-11-10 11:44:00,-6.043 °C
260,2025-11-10 11:54:00,-6.130 °C
261,2025-11-10 12:04:00,-6.077 °C
262,2025-11-10 12:14:00,-5.746 °C
263,2025-11-10 12:24:00,-5.901 °C
264,2025-11-10 12:34:00,-6.056 °C
265,2025-11-10 12:44:00,-6.156 °C
266,2025-11-10 12:54:00,-5.976 °C
267,2025-11-10 13:04:00,-5.793 °C
268,2025-11-10 13:14:00,-5.948 °C
269,2025-11-10 13:24:00,-6.092 °C
270,2025-11-10 13:34:00,-6.156 °C
271,2025-11-10 13:44:00,-5.886 °C
272,2025-11-10 13:54:00,-5.812 °C
273,2025-11-10 14:04:00,-5.971 °C
274,2025-11-10 14:14:00,-6.088 °C
275,2025-11-10 14:24:00,-6.145 °C
276,2025-11-10 14:34:00,-5.927 °C
277,2025-11-10 14:44:00,-5.801 °C
278,2025-11-10 14:54:00,-5.963 °C
279,2025-11-10 15:04:00,-6.103 °C
280,2025-11-10 15:14:00,-6.145 °C
281,2025-11-10 15:24:00,-5.831 °C
282,2025-11-10 15:34:00,-5.801 °C
283,2025-11-10 15:44:00,-5.967 °C
284,2025-11-10 15:54:00,-6.115 °C
285,2025-11-10 16:04:00,-5.252 °C
286,2025-11-10 16:14:00,-5.927 °C
287,2025-11-10 16:24:00,-6.075 °C
288,2025-11-10 16:34:00,-6.098 °C
289,2025-11-10 16:44:00,-5.810 °C
290,2025-11-10 16:54:00,-5.823 °C
291,2025-11-10 17:04:00,-5.991 °C
292,2025-11-10 17:14:00,-6.103 °C
293,2025-11-10 17:24:00,-6.116 °C
294,2025-11-10 17:34:00,-5.782 °C
295,2025-11-10 17:44:00,-5.839 °C
296,2025-11-10 17:54:00,-5.997 °C
297,2025-11-10 18:04:00,-6.141 °C
298,2025-11-10 18:14:00,-6.111 °C
299,2025-11-10 18:24:00,-5.769 °C
300,2025-11-10 18:34:00,-5.844 °C
301,2025-11-10 18:44:00,-6.018 °C
302,2025-11-10 18:54:00,-6.124 °C
303,2025-11-10 19:04:00,-6.120 °C
304,2025-11-10 19:14:00,-5.788 °C
305,2025-11-10 19:24:00,-5.863 °C
306,2025-11-10 19:34:00,-6.033 °C
307,2025-11-10 19:44:00,-6.132 °C
308,2025-11-10 19:54:00,-6.099 °C
309,2025-11-10 20:04:00,-5.788 °C
310,2025-11-10 20:14:00,-5.865 °C
311,2025-11-10 20:24:00,-6.039 °C
312,2025-11-10 20:34:00,-6.134 °C
313,2025-11-10 20:44:00,-6.115 °C
314,2025-11-10 20:54:00,-5.776 °C
315,2025-11-10 21:04:00,-5.848 °C
316,2025-11-10 21:14:00,-6.016 °C
317,2025-11-10 21:24:00,-6.122 °C
318,2025-11-10 21:34:00,-6.124 °C
319,2025-11-10 21:44:00,-5.827 °C
320,2025-11-10 21:54:00,-5.818 °C
321,2025-11-10 22:04:00,-5.988 °C
322,2025-11-10 22:14:00,-6.109 °C
323,2025-11-10 22:24:00,-6.137 °C
324,2025-11-10 22:34:00,-5.852 °C
325,2025-11-10 22:44:00,-5.839 °C
326,2025-11-10 22:54:00,-5.990 °C
327,2025-11-10 23:04:00,-6.113 °C
328,2025-11-10 23:14:00,-6.153 °C
329,2025-11-10 23:24:00,-5.850 °C
330,2025-11-10 23:34:00,-5.829 °C
331,2025-11-10 23:44:00,-5.986 °C
332,2025-11-10 23:54:00,-6.111 °C
333,2025-11-11 00:04:00,-5.273 °C
334,2025-11-11 00:14:00,-5.931 °C
335,2025-11-11 00:24:00,-6.071 °C
336,2025-11-11 00:34:00,-6.101 °C
337,2025-11-11 00:44:00,-5.812 °C
338,2025-11-11 00:54:00,-5.837 °C
339,2025-11-11 01:04:00,-6.014 °C
340,2025-11-11 01:14:00,-6.122 °C
341,2025-11-11 01:24:00,-6.130 °C
342,2025-11-11 01:34:00,-5.820 °C
343,2025-11-11 01:44:00,-5.825 °C
344,2025-11-11 01:54:00,-6.009 °C
345,2025-11-11 02:04:00,-6.111 °C
346,2025-11-11 02:14:00,-6.130 °C
347,2025-11-11 02:24:00,-5.878 °C
348,2025-11-11 02:34:00,-5.820 °C
349,2025-11-11 02:44:00,-5.978 °C
350,2025-11-11 02:54:00,-6.124 °C
351,2025-11-11 03:04:00,-6.128 °C
352,2025-11-11 03:14:00,-5.871 °C
353,2025-11-11 03:24:00,-5.840 °C
354,2025-11-11 03:34:00,-5.982 °C
355,2025-11-11 03:44:00,-6.105 °C
356,2025-11-11 03:54:00,-6.132 °C
357,2025-11-11 04:04:00,-5.908 °C
358,2025-11-11 04:14:00,-5.801 °C
359,2025-11-11 04:24:00,-5.963 °C
360,2025-11-11 04:34:00,-6.090 °C
361,2025-11-11 04:44:00,-6.164 °C
362,2025-11-11 04:54:00,-5.988 °C
363,2025-11-11 05:04:00,-5.776 °C
364,2025-11-11 05:14:00,-5.974 °C
365,2025-11-11 05:24:00,-6.098 °C
366,2025-11-11 05:34:00,-6.162 °C
