,Time,1
S/N,,958943
Type,,TGP-4020
Description,,A_0
Property,,Temperature
1,2025-11-17 16:16:00,21.691 °C
2,2025-11-17 16:26:00,21.735 °C
3,2025-11-17 16:36:00,21.774 °C
4,2025-11-17 16:46:00,21.738 °C
5,2025-11-17 16:56:00,21.747 °C
6,2025-11-17 17:06:00,21.766 °C
7,2025-11-17 17:16:00,21.790 °C
8,2025-11-17 17:26:00,21.871 °C
9,2025-11-17 17:36:00,21.965 °C
10,2025-11-17 17:46:00,22.018 °C
11,2025-11-17 17:56:00,22.056 °C
12,2025-11-17 18:06:00,22.092 °C
13,2025-11-17 18:16:00,22.126 °C
14,2025-11-17 18:26:00,22.161 °C
15,2025-11-17 18:36:00,22.191 °C
16,2025-11-17 18:46:00,22.226 °C
17,2025-11-17 18:56:00,22.256 °C
18,2025-11-17 19:06:00,22.284 °C
19,2025-11-17 19:16:00,22.311 °C
20,2025-11-17 19:26:00,22.333 °C
21,2025-11-17 19:36:00,22.357 °C
22,2025-11-17 19:46:00,22.380 °C
23,2025-11-17 19:56:00,22.402 °C
24,2025-11-17 20:06:00,22.424 °C
25,2025-11-17 20:16:00,22.441 °C
26,2025-11-17 20:26:00,22.461 °C
27,2025-11-17 20:36:00,22.482 °C
28,2025-11-17 20:46:00,22.496 °C
29,2025-11-17 20:56:00,22.513 °C
30,2025-11-17 21:06:00,22.531 °C
31,2025-11-17 21:16:00,22.545 °C
32,2025-11-17 21:26:00,22.560 °C
33,2025-11-17 21:36:00,22.575 °C
34,2025-11-17 21:46:00,22.591 °C
35,2025-11-17 21:56:00,22.603 °C
36,2025-11-17 22:06:00,22.616 °C
37,2025-11-17 22:16:00,22.627 °C
38,2025-11-17 22:26:00,22.633 °C
39,2025-11-17 22:36:00,22.630 °C
40,2025-11-17 22:46:00,22.641 °C
41,2025-11-17 22:56:00,22.648 °C
42,2025-11-17 23:06:00,22.630 °C
43,2025-11-17 23:16:00,22.603 °C
44,2025-11-17 23:26:00,22.570 °C
45,2025-11-17 23:36:00,22.535 °C
46,2025-11-17 23:46:00,22.499 °C
47,2025-11-17 23:56:00,22.461 °C
48,2025-11-18 00:06:00,22.427 °C
49,2025-11-18 00:16:00,22.392 °C
50,2025-11-18 00:26:00,22.359 °C
51,2025-11-18 00:36:00,22.327 °C
52,2025-11-18 00:46:00,22.295 °C
53,2025-11-18 00:56:00,22.263 °C
54,2025-11-18 01:06:00,22.233 °C
55,2025-11-18 01:16:00,22.201 °C
56,2025-11-18 01:26:00,22.171 °C
57,2025-11-18 01:36:00,22.141 °C
58,2025-11-18 01:46:00,22.112 °C
59,2025-11-18 01:56:00,22.084 °C
60,2025-11-18 02:06:00,22.057 °C
61,2025-11-18 02:16:00,22.031 °C
62,2025-11-18 02:26:00,22.007 °C
63,2025-11-18 02:36:00,21.982 °C
64,2025-11-18 02:46:00,21.957 °C
65,2025-11-18 02:56:00,21.937 °C
66,2025-11-18 03:06:00,21.931 °C
67,2025-11-18 03:16:00,21.923 °C
68,2025-11-18 03:26:00,21.910 °C
69,2025-11-18 03:36:00,21.895 °C
70,2025-11-18 03:46:00,21.885 °C
71,2025-11-18 03:56:00,21.908 °C
72,2025-11-18 04:06:00,21.949 °C
73,2025-11-18 04:16:00,21.982 °C
74,2025-11-18 04:26:00,21.992 °C
75,2025-11-18 04:36:00,21.986 °C
76,2025-11-18 04:46:00,21.975 °C
77,2025-11-18 04:56:00,21.959 °C
78,2025-11-18 05:06:00,21.943 °C
79,2025-11-18 05:16:00,21.927 °C
80,2025-11-18 05:26:00,21.908 °C
81,2025-11-18 05:36:00,21.891 °C
82,2025-11-18 05:46:00,21.871 °C
83,2025-11-18 05:56:00,21.856 °C
84,2025-11-18 06:06:00,21.875 °C
85,2025-11-18 06:16:00,21.893 °C
86,2025-11-18 06:26:00,21.854 °C
87,2025-11-18 06:36:00,21.812 °C
88,2025-11-18 06:46:00,21.763 °C
89,2025-11-18 06:56:00,21.727 °C
90,2025-11-18 07:06:00,21.682 °C
91,2025-11-18 07:16:00,21.655 °C
92,2025-11-18 07:26:00,21.626 °C
93,2025-11-18 07:36:00,21.588 °C
94,2025-11-18 07:46:00,21.544 °C
95,2025-11-18 07:56:00,21.503 °C
96,2025-11-18 08:06:00,21.469 °C
97,2025-11-18 08:16:00,21.436 °C
98,2025-11-18 08:26:00,21.404 °C
99,2025-11-18 08:36:00,21.361 °C
100,2025-11-18 08:46:00,21.323 °C
101,2025-11-18 08:56:00,21.302 °C
102,2025-11-18 09:06:00,21.270 °C
103,2025-11-18 09:16:00,21.244 °C
104,2025-11-18 09:26:00,16.353 °C
105,2025-11-18 09:36:00,15.826 °C
106,2025-11-18 09:46:00,15.345 °C
107,2025-11-18 09:56:00,15.118 °C
108,2025-11-18 10:06:00,15.025 °C
109,2025-11-18 10:16:00,14.944 °C
110,2025-11-18 10:26:00,2.539 °C
111,2025-11-18 10:36:00,-1.936 °C
112,2025-11-18 10:46:00,-2.675 °C
113,2025-11-18 10:56:00,-3.187 °C
114,2025-11-18 11:06:00,-4.379 °C
115,2025-11-18 11:16:00,-5.236 °C
116,2025-11-18 11:26:00,-5.793 °C
117,2025-11-18 11:36:00,-5.516 °C
118,2025-11-18 11:46:00,-5.997 °C
119,2025-11-18 11:56:00,-5.997 °C
120,2025-11-18 12:06:00,-5.293 °C
121,2025-11-18 12:16:00,-5.609 °C
122,2025-11-18 12:26:00,-5.990 °C
123,2025-11-18 12:36:00,-6.320 °C
124,2025-11-18 12:46:00,-6.566 °C
125,2025-11-18 12:56:00,-5.709 °C
126,2025-11-18 13:06:00,-5.667 °C
127,2025-11-18 13:16:00,-5.946 °C
128,2025-11-18 13:26:00,-6.242 °C
129,2025-11-18 13:36:00,-6.530 °C
130,2025-11-18 13:46:00,-6.545 °C
131,2025-11-18 13:56:00,-5.587 °C
132,2025-11-18 14:06:00,-5.839 °C
133,2025-11-18 14:16:00,-6.118 °C
134,2025-11-18 14:26:00,-6.394 °C
135,2025-11-18 14:36:00,-6.622 °C
136,2025-11-18 14:46:00,-6.236 °C
137,2025-11-18 14:56:00,-5.686 °C
138,2025-11-18 15:06:00,-5.954 °C
139,2025-11-18 15:16:00,-6.249 °C
140,2025-11-18 15:26:00,-6.543 °C
141,2025-11-18 15:36:00,-6.635 °C
142,2025-11-18 15:46:00,-5.835 °C
143,2025-11-18 15:56:00,-5.797 °C
