,Time,1
S/N,,959034
Type,,TGP-4020
Description,,B_15
Property,,Temperature
1,2025-11-27 22:22:00,-6.601 °C
2,2025-11-27 22:32:00,-6.714 °C
3,2025-11-27 22:42:00,-6.637 °C
4,2025-11-27 22:52:00,-6.356 °C
5,2025-11-27 23:02:00,-6.473 °C
6,2025-11-27 23:12:00,-6.593 °C
7,2025-11-27 23:22:00,-6.707 °C
8,2025-11-27 23:32:00,-6.685 °C
9,2025-11-27 23:42:00,-6.360 °C
10,2025-11-27 23:52:00,-6.482 °C
11,2025-11-28 00:02:00,-6.607 °C
12,2025-11-28 00:12:00,-6.728 °C
13,2025-11-28 00:22:00,-6.664 °C
14,2025-11-28 00:32:00,-6.635 °C
15,2025-11-28 00:42:00,-6.839 °C
16,2025-11-28 00:52:00,-6.820 °C
17,2025-11-28 01:02:00,-6.440 °C
18,2025-11-28 01:12:00,-6.519 °C
19,2025-11-28 01:22:00,-6.624 °C
20,2025-11-28 01:32:00,-6.735 °C
21,2025-11-28 01:42:00,-6.789 °C
22,2025-11-28 01:52:00,-6.429 °C
23,2025-11-28 02:02:00,-6.478 °C
24,2025-11-28 02:12:00,-6.601 °C
25,2025-11-28 02:22:00,-6.728 °C
26,2025-11-28 02:32:00,-6.772 °C
27,2025-11-28 02:42:00,-6.406 °C
28,2025-11-28 02:52:00,-6.478 °C
29,2025-11-28 03:02:00,-6.589 °C
30,2025-11-28 03:12:00,-6.716 °C
31,2025-11-28 03:22:00,-6.780 °C
32,2025-11-28 03:32:00,-6.429 °C
33,2025-11-28 03:42:00,-6.475 °C
34,2025-11-28 03:52:00,-6.599 °C
35,2025-11-28 04:02:00,-6.728 °C
36,2025-11-28 04:12:00,-6.762 °C
37,2025-11-28 04:22:00,-6.410 °C
38,2025-11-28 04:32:00,-6.478 °C
39,2025-11-28 04:42:00,-6.599 °C
40,2025-11-28 04:52:00,-6.733 °C
41,2025-11-28 05:02:00,-6.766 °C
42,2025-11-28 05:12:00,-6.389 °C
43,2025-11-28 05:22:00,-6.515 °C
44,2025-11-28 05:32:00,-6.637 °C
45,2025-11-28 05:42:00,-6.764 °C
46,2025-11-28 05:52:00,-6.660 °C
47,2025-11-28 06:02:00,-6.411 °C
48,2025-11-28 06:12:00,-6.543 °C
49,2025-11-28 06:22:00,-6.670 °C
50,2025-11-28 06:32:00,-6.782 °C
51,2025-11-28 06:42:00,-6.509 °C
52,2025-11-28 06:52:00,-6.442 °C
53,2025-11-28 07:02:00,-6.559 °C
54,2025-11-28 07:12:00,-6.693 °C
55,2025-11-28 07:22:00,-6.780 °C
56,2025-11-28 07:32:00,-6.429 °C
57,2025-11-28 07:42:00,-6.465 °C
58,2025-11-28 07:52:00,-6.578 °C
59,2025-11-28 08:02:00,-6.708 °C
60,2025-11-28 08:12:00,-6.743 °C
61,2025-11-28 08:22:00,-6.373 °C
62,2025-11-28 08:32:00,-6.618 °C
63,2025-11-28 08:42:00,-6.888 °C
64,2025-11-28 08:52:00,-6.584 °C
65,2025-11-28 09:02:00,-6.497 °C
66,2025-11-28 09:12:00,-6.603 °C
67,2025-11-28 09:22:00,-6.714 °C
68,2025-11-28 09:32:00,-6.791 °C
69,2025-11-28 09:42:00,-6.434 °C
70,2025-11-28 09:52:00,-6.478 °C
71,2025-11-28 10:02:00,-6.593 °C
72,2025-11-28 10:12:00,-6.716 °C
73,2025-11-28 10:22:00,-6.751 °C
74,2025-11-28 10:32:00,-6.584 °C
75,2025-11-28 10:42:00,-6.607 °C
76,2025-11-28 10:52:00,-6.307 °C
77,2025-11-28 11:02:00,-6.316 °C
78,2025-11-28 11:12:00,-6.396 °C
79,2025-11-28 11:22:00,-6.488 °C
80,2025-11-28 11:32:00,-6.534 °C
81,2025-11-28 11:42:00,-6.400 °C
82,2025-11-28 11:52:00,-6.215 °C
83,2025-11-28 12:02:00,-6.312 °C
84,2025-11-28 12:12:00,-6.312 °C
85,2025-11-28 12:22:00,-6.200 °C
86,2025-11-28 12:32:00,-6.248 °C
87,2025-11-28 12:42:00,-6.368 °C
88,2025-11-28 12:52:00,-6.469 °C
89,2025-11-28 13:02:00,-6.450 °C
90,2025-11-28 13:12:00,-6.166 °C
91,2025-11-28 13:22:00,-6.284 °C
92,2025-11-28 13:32:00,-6.438 °C
93,2025-11-28 13:42:00,-6.478 °C
94,2025-11-28 13:52:00,-6.162 °C
95,2025-11-28 14:02:00,-6.187 °C
96,2025-11-28 14:12:00,-6.389 °C
97,2025-11-28 14:22:00,-6.400 °C
98,2025-11-28 14:32:00,-6.436 °C
99,2025-11-28 14:42:00,-6.455 °C
100,2025-11-28 14:52:00,-6.452 °C
101,2025-11-28 15:02:00,-6.417 °C
102,2025-11-28 15:12:00,-6.274 °C
103,2025-11-28 15:22:00,-6.160 °C
104,2025-11-28 15:32:00,-6.217 °C
105,2025-11-28 15:42:00,-6.293 °C
106,2025-11-28 15:52:00,-6.381 °C
107,2025-11-28 16:02:00,-6.461 °C
108,2025-11-28 16:12:00,-6.509 °C
109,2025-11-28 16:22:00,-6.497 °C
110,2025-11-28 16:32:00,-6.381 °C
111,2025-11-28 16:42:00,-6.572 °C
112,2025-11-28 16:52:00,-6.444 °C
113,2025-11-28 17:02:00,-6.187 °C
114,2025-11-28 17:12:00,-6.232 °C
115,2025-11-28 17:22:00,-6.326 °C
116,2025-11-28 17:32:00,-6.417 °C
117,2025-11-28 17:42:00,-6.505 °C
118,2025-11-28 17:52:00,-6.497 °C
119,2025-11-28 18:02:00,-6.227 °C
120,2025-11-28 18:12:00,-6.219 °C
121,2025-11-28 18:22:00,-6.347 °C
122,2025-11-28 18:32:00,-6.469 °C
123,2025-11-28 18:42:00,-6.520 °C
124,2025-11-28 18:52:00,-6.356 °C
125,2025-11-28 19:02:00,-6.181 °C
126,2025-11-28 19:12:00,-6.289 °C
127,2025-11-28 19:22:00,-6.417 °C
128,2025-11-28 19:32:00,-6.505 °C
129,2025-11-28 19:42:00,-6.492 °C
130,2025-11-28 19:52:00,-6.181 °C
131,2025-11-28 20:02:00,-6.248 °C
132,2025-11-28 20:12:00,-6.368 °C
133,2025-11-28 20:22:00,-6.469 °C
134,2025-11-28 20:32:00,-6.538 °C
135,2025-11-28 20:42:00,-6.267 °C
136,2025-11-28 20:52:00,-6.215 °C
137,2025-11-28 21:02:00,-6.329 °C
138,2025-11-28 21:12:00,-6.448 °C
139,2025-11-28 21:22:00,-6.538 °C
140,2025-11-28 21:32:00,-6.377 °C
141,2025-11-28 21:42:00,-6.189 °C
142,2025-11-28 21:52:00,-6.297 °C
143,2025-11-28 22:02:00,-6.413 °C
144,2025-11-28 22:12:00,-6.517 °C
145,2025-11-28 22:22:00,-6.471 °C
146,2025-11-28 22:32:00,-6.170 °C
147,2025-11-28 22:42:00,-6.257 °C
148,2025-11-28 22:52:00,-6.373 °C
149,2025-11-28 23:02:00,-6.482 °C
150,2025-11-28 23:12:00,-6.524 °C
151,2025-11-28 23:22:00,-6.230 °C
152,2025-11-28 23:32:00,-6.223 °C
153,2025-11-28 23:42:00,-6.354 °C
154,2025-11-28 23:52:00,-6.484 °C
155,2025-11-29 00:02:00,-6.519 °C
156,2025-11-29 00:12:00,-6.259 °C
157,2025-11-29 00:22:00,-6.223 °C
158,2025-11-29 00:32:00,-6.362 °C
159,2025-11-29 00:42:00,-6.545 °C
160,2025-11-29 00:52:00,-6.189 °C
161,2025-11-29 01:02:00,-6.236 °C
162,2025-11-29 01:12:00,-6.345 °C
163,2025-11-29 01:22:00,-6.461 °C
164,2025-11-29 01:32:00,-6.524 °C
165,2025-11-29 01:42:00,-6.307 °C
166,2025-11-29 01:52:00,-6.198 °C
167,2025-11-29 02:02:00,-6.314 °C
168,2025-11-29 02:12:00,-6.434 °C
169,2025-11-29 02:22:00,-6.524 °C
170,2025-11-29 02:32:00,-6.387 °C
171,2025-11-29 02:42:00,-6.181 °C
172,2025-11-29 02:52:00,-6.299 °C
173,2025-11-29 03:02:00,-6.411 °C
174,2025-11-29 03:12:00,-6.517 °C
175,2025-11-29 03:22:00,-6.453 °C
176,2025-11-29 03:32:00,-6.156 °C
177,2025-11-29 03:42:00,-6.272 °C
178,2025-11-29 03:52:00,-6.406 °C
179,2025-11-29 04:02:00,-6.515 °C
180,2025-11-29 04:12:00,-6.482 °C
181,2025-11-29 04:22:00,-6.160 °C
182,2025-11-29 04:32:00,-6.268 °C
183,2025-11-29 04:42:00,-6.400 °C
184,2025-11-29 04:52:00,-6.511 °C
185,2025-11-29 05:02:00,-6.469 °C
186,2025-11-29 05:12:00,-6.158 °C
187,2025-11-29 05:22:00,-6.276 °C
188,2025-11-29 05:32:00,-6.413 °C
189,2025-11-29 05:42:00,-6.524 °C
190,2025-11-29 05:52:00,-6.400 °C
191,2025-11-29 06:02:00,-6.153 °C
192,2025-11-29 06:12:00,-6.109 °C
193,2025-11-29 06:22:00,-6.236 °C
194,2025-11-29 06:32:00,-6.299 °C
195,2025-11-29 06:42:00,-6.314 °C
196,2025-11-29 06:52:00,-6.310 °C
197,2025-11-29 07:02:00,-6.293 °C
198,2025-11-29 07:12:00,-6.261 °C
199,2025-11-29 07:22:00,-6.211 °C
200,2025-11-29 07:32:00,-6.151 °C
201,2025-11-29 07:42:00,-6.084 °C
202,2025-11-29 07:52:00,-6.016 °C
203,2025-11-29 08:02:00,-5.944 °C
204,2025-11-29 08:12:00,-5.869 °C
205,2025-11-29 08:22:00,-5.795 °C
206,2025-11-29 08:32:00,-5.726 °C
207,2025-11-29 08:42:00,-5.658 °C
208,2025-11-29 08:52:00,-5.590 °C
209,2025-11-29 09:02:00,-5.523 °C
210,2025-11-29 09:12:00,-5.459 °C
211,2025-11-29 09:22:00,-5.390 °C
212,2025-11-29 09:32:00,-5.333 °C
213,2025-11-29 09:42:00,-5.273 °C
214,2025-11-29 09:52:00,-5.213 °C
215,2025-11-29 10:02:00,-5.156 °C
